candidate_id,coin_regime,episodes,positive_episodes,negative_episodes,median_episode_profit,worst_episode_profit,best_episode_profit,episode_win_rate
ADXDM-sideways,BEAR,25,16,9,0.00451825,-0.0278504,3.9484231,0.64
ADXDM-sideways,BULL,18,13,5,0.40074399,-0.01376679,5.72561108,0.722222222222
ADXDM-sideways,SIDEWAYS,96,80,16,0.354933395,-33.52617807,5.0937626,0.833333333333
ADXDM-sideways,TRANSITION,50,34,16,0.00554112,-33.49493565,5.69438103,0.68
ADXDM-transition,BEAR,48,36,12,0.19177204,-27.4352128,7.6889198,0.75
ADXDM-transition,BULL,28,18,10,0.0007968,-29.68424169,4.0527345,0.642857142857
ADXDM-transition,SIDEWAYS,69,53,16,0.2264683,-31.82186073,8.126583,0.768115942029
ADXDM-transition,TRANSITION,91,66,25,0.0272616,-29.79365849,4.6028559,0.725274725275
ADXMomentum-sideways,BEAR,5,1,4,-2.27934963,-9.88898528,1.21821888,0.2
ADXMomentum-sideways,BULL,3,2,1,1.22205685,-3.16891172,1.24940876,0.666666666667
ADXMomentum-sideways,SIDEWAYS,6,4,2,1.225789075,-3.18749871,1.24231636,0.666666666667
ADXMomentum-sideways,TRANSITION,4,4,0,1.2525987,1.227688,2.45225501,1
ADXMomentum-transition,BEAR,2,2,0,1.23939679,1.23355108,1.2452425,1
ADXMomentum-transition,BULL,2,1,1,-4.024112715,-9.27695756,1.22873213,0.5
ADXMomentum-transition,SIDEWAYS,2,1,1,-2.28071285,-5.7809132,1.2194875,0.5
ADXMomentum-transition,TRANSITION,3,2,1,1.22281496,-3.6037098,1.22919336,0.666666666667
ADX_15M_USDT-sideways,BEAR,66,49,17,1.711084845,-20.5755171,27.0683339,0.742424242424
ADX_15M_USDT-sideways,BULL,68,46,22,1.0300869,-54.97995692,40.82345325,0.676470588235
ADX_15M_USDT-sideways,SIDEWAYS,203,143,60,1.792214,-74.97568193,37.98307318,0.704433497537
ADX_15M_USDT-sideways,TRANSITION,175,135,40,1.16722112,-30.13682778,20.5695034,0.771428571429
ADX_15M_USDT-transition,BEAR,114,74,40,0.20585535,-28.1082598,14.7278991,0.649122807018
ADX_15M_USDT-transition,BULL,95,46,49,-0.0014796,-21.10969665,20.32731291,0.484210526316
ADX_15M_USDT-transition,SIDEWAYS,166,92,74,0.00899604,-27.5180221,24.80740266,0.55421686747
