strategy_id,implementation_id,canonical_sha256,recovery_startup_candle_count,recovery_state,derivation_basis
BB_RPB_TSL,BB_RPB_TSL:875dd8fd2b6f,sha256_875dd8fd2b6fcbe88161034786f83f609327cbbd6ba4aea08c615f7e3eb4a6e9,200,recovery_frozen,canonical corpus static audit longest literal indicator period 200
BB_RPB_TSL_2,BB_RPB_TSL_2:8d6f406ddaab,sha256_8d6f406ddaab4e67dc3af236aba3f5ef963b960171cfeb8304b2e8a6be29c335,200,recovery_frozen,canonical corpus static audit longest literal indicator period 200
BB_RPB_TSL_BI,BB_RPB_TSL_BI:4af2eaa00931,sha256_4af2eaa00931dad682ec6365206eef6e1c3c19d8ce969abe487af850b16182e7,200,recovery_frozen,canonical corpus static audit longest literal indicator period 200
BB_RPB_TSL_BIV1,BB_RPB_TSL_BIV1:b5d7bc12de5f,sha256_b5d7bc12de5f2da4a520d17d2bdb012213b7b34f488e6b0532144f99d8840783,200,recovery_frozen,canonical corpus static audit longest literal indicator period 200
MultiRSI,MultiRSI:1d2302ab0c34,sha256_1d2302ab0c34086f8efee370718a629b9fbe2bd4c9ee0fcea5f7ad8f78d71ce1,200,recovery_frozen,canonical corpus static audit longest literal indicator period 200
epretrace,epretrace:bfb8ac548394,sha256_bfb8ac5483941664cbdd2d382a4b6f85b0ca153a937908e8b6576d749c04f327,200,recovery_frozen,canonical corpus static audit longest literal indicator period 200
pmaxTest,pmaxTest:d9473ef6b6df,sha256_d9473ef6b6df40ef66891435291e09bb1cf2b380ebaf1a42e729c794ffe6ed2f,112,recovery_frozen,canonical corpus static audit longest literal indicator period 112
