candidate_id,coin_regime,episodes,positive_episodes,negative_episodes,median_episode_profit,worst_episode_profit,best_episode_profit,episode_win_rate
ADXDM-downtrend,BEAR,89,70,19,0.4818944,-38.06779805,12.44744617,0.786516853933
BB_RPB_TSL_RNG_2-transition,TRANSITION,12,8,4,2.36887132,-0.70400494,6.54889771,0.666666666667
BB_RTR-sideways,SIDEWAYS,21,15,6,2.68373943,-0.51463641,17.88756246,0.714285714286
BB_RTR-transition,TRANSITION,18,12,6,2.589737875,-8.12716836,6.380296,0.666666666667
BigTrader-sideways,SIDEWAYS,9,9,0,4.18077675,3.21300526,7.0638652,1
BigTrader-transition,TRANSITION,7,7,0,3.20228508,1.45795648,3.9609483,1
Cenderawasih_3_kucoin-sideways,SIDEWAYS,10,5,5,-0.057659185,-2.7170757,2.6084898,0.5
CryptoFrog_nateema-transition,TRANSITION,98,66,32,1.223799695,-19.63683406,10.3554591,0.673469387755
CustomStoplossWithPSAR-downtrend,BEAR,41,20,21,-1.83438032,-449.32007527,3298.71171451,0.487804878049
E0V1E_protections-sideways,SIDEWAYS,11,8,3,4.85278757,-0.87067564,15.8737495,0.727272727273
FSampleStrategy-sideways,SIDEWAYS,111,35,76,-12.35774225,-57.04076387,265.29778762,0.315315315315
FSampleStrategy-sideways,TRANSITION,1,0,1,-13.76107813,-13.76107813,-13.76107813,0
FSampleStrategy-trend,BEAR,12,6,6,0.196297195,-9.22143876,18.38393734,0.5
FSampleStrategy-trend,BULL,115,20,95,-8.58855179,-49.57893091,163.52057414,0.173913043478
FastSupertrend_optim3_rsi_80-trend,BEAR,188,80,108,-5.31045156,-111.11075677,183.26175645,0.425531914894
FastSupertrend_optim3_rsi_80-trend,BULL,175,77,98,-5.0184335,-52.41494075,309.37798564,0.44
FastSupertrend_optim3_rsi_80-trend,TRANSITION,2,2,0,6.31746421,3.8420525,8.79287592,1
FastSupertrend_optim3_rsi_80-uptrend,BEAR,6,2,4,-9.673210705,-21.8733108,4.61031956,0.333333333333
FastSupertrend_optim3_rsi_80-uptrend,BULL,192,90,102,-1.27544004,-92.66110203,313.45264224,0.46875
FastSupertrend_optim3_rsi_80-uptrend,TRANSITION,4,4,0,4.923605775,2.42227264,5.47633091,1
GodCard-downtrend,BEAR,35,31,4,0.57801451,-11.07730925,3.8723421,0.885714285714
GodCard-sideways,SIDEWAYS,24,24,0,0.472388395,0.02910804,5.70233046,1
Hacklemost-sideways,SIDEWAYS,5,5,0,2.8901496,1.5545068,7.36762813,1
Hammer-transition,TRANSITION,17,11,6,1.77359026,-25.61473754,10.89630889,0.647058823529
MFI2-downtrend,BEAR,58,46,12,6.121430005,-48.82865645,60.4167513,0.793103448276
NFI46Z-downtrend,BEAR,34,27,7,0.63011828,-5.56959186,5.49468606,0.794117647059
NostalgiaForInfinityX-transition,TRANSITION,9,7,2,1.98416782,-21.5794969,7.51124839,0.777777777778
OversoldReversion-downtrend,BEAR,33,28,5,12.71802074,-34.10031026,57.98505854,0.848484848485
SARCross-sideways,SIDEWAYS,14,13,1,5.02773993,-0.003099,10.39311802,0.928571428571
SARCross-transition,TRANSITION,12,10,2,1.24180714,-0.0163185,4.87832697,0.833333333333
SimpleBollinger-downtrend,BEAR,27,25,2,1.73512345,-2.398e-05,5.01877191,0.925925925926
Squeeze001-downtrend,BEAR,43,32,11,1.97281276,-33.1405125,17.15396869,0.744186046512
TheRealPullbackV2-sideways,SIDEWAYS,37,29,8,1.97741489,-4.62994434,13.62664245,0.783783783784
adxbbrsi2-transition,TRANSITION,39,29,10,0.0539244,-39.5963105,6.87851983,0.74358974359
cryptotank-downtrend,BEAR,96,79,17,5.907118145,-145.71957253,51.7261584,0.822916666667
cryptotank-sideways,SIDEWAYS,43,36,7,8.13227779,-90.8472027,26.09732918,0.837209302326
cryptotank-transition,BEAR,1,1,0,4.84399228,4.84399228,4.84399228,1
cryptotank-transition,TRANSITION,60,54,6,6.47450739,-78.67615847,36.33966318,0.9
eltoro1_4-transition,BEAR,2,2,0,3.55856901,3.51588014,3.60125788,1
eltoro1_4-transition,TRANSITION,108,92,16,3.06086261,-33.96651678,16.74693619,0.851851851852
eltoro1_4_simple-downtrend,BEAR,150,114,36,4.67368482,-81.83039319,32.74668726,0.76
