candidate_id,btc_regime,episodes,positive_episodes,negative_episodes,median_episode_profit,worst_episode_profit,best_episode_profit,episode_win_rate
ADXDM-downtrend,BEAR,26,21,5,0.348210685,-68.48398191,14.49228318,0.807692307692
BB_RPB_TSL_RNG_2-transition,TRANSITION,9,5,4,2.22079921,-0.70400494,14.25692961,0.555555555556
BB_RTR-sideways,SIDEWAYS,9,7,2,6.09231937,-0.32894874,17.01115605,0.777777777778
BB_RTR-transition,TRANSITION,12,8,4,2.65849261,-4.53037494,6.380296,0.666666666667
BigTrader-sideways,SIDEWAYS,4,4,0,7.65033583,3.23762778,24.2126662,1
BigTrader-transition,TRANSITION,5,5,0,3.41022939,2.9810471,7.5023043,1
Cenderawasih_3_kucoin-sideways,SIDEWAYS,5,2,3,-0.99105776,-4.19386266,4.44157026,0.4
CryptoFrog_nateema-transition,BEAR,1,1,0,1.28054689,1.28054689,1.28054689,1
CryptoFrog_nateema-transition,SIDEWAYS,1,1,0,0.52291608,0.52291608,0.52291608,1
CryptoFrog_nateema-transition,TRANSITION,39,27,12,1.6440144,-31.68695514,12.60273199,0.692307692308
CustomStoplossWithPSAR-downtrend,BEAR,16,5,11,-71.469129005,-1451.82875933,6370.47000098,0.3125
E0V1E_protections-sideways,SIDEWAYS,5,4,1,5.63538107,-0.86400776,34.0941627,0.8
FSampleStrategy-sideways,SIDEWAYS,35,15,20,-11.1476706,-193.10242141,389.92091844,0.428571428571
FSampleStrategy-sideways,TRANSITION,1,0,1,-31.62800659,-31.62800659,-31.62800659,0
FSampleStrategy-trend,BEAR,11,5,6,-1.24070589,-9.22143876,18.38393734,0.454545454545
FSampleStrategy-trend,BULL,28,8,20,-8.144946365,-81.38836542,190.4366405,0.285714285714
FastSupertrend_optim3_rsi_80-trend,BEAR,43,16,27,-15.58346048,-192.1152547,732.18763438,0.372093023256
FastSupertrend_optim3_rsi_80-trend,BULL,34,14,20,-8.398063055,-106.04052067,875.42769287,0.411764705882
FastSupertrend_optim3_rsi_80-trend,TRANSITION,1,1,0,7.55258225,7.55258225,7.55258225,1
FastSupertrend_optim3_rsi_80-uptrend,BEAR,2,1,1,-5.54751213,-12.5854336,1.49040934,0.5
FastSupertrend_optim3_rsi_80-uptrend,BULL,38,19,19,0.617539845,-197.51705612,1075.05476328,0.5
GodCard-downtrend,BEAR,14,12,2,0.535449805,-10.65253788,13.27812838,0.857142857143
GodCard-sideways,SIDEWAYS,12,12,0,0.52222438,0.23408994,16.07667143,1
Hacklemost-sideways,SIDEWAYS,3,3,0,1.8519228,1.5545068,13.77112121,1
Hammer-transition,TRANSITION,9,6,3,2.60064343,-15.4746028,15.73876814,0.666666666667
MFI2-downtrend,BEAR,17,16,1,12.34227099,-23.96762918,129.0612921,0.941176470588
NFI46Z-downtrend,BEAR,15,13,2,0.63060043,-8.59244531,14.83157456,0.866666666667
NostalgiaForInfinityX-transition,TRANSITION,9,7,2,1.98416782,-21.5794969,7.51124839,0.777777777778
OversoldReversion-downtrend,BEAR,10,9,1,13.23138315,-66.16070985,302.98774092,0.9
SARCross-sideways,SIDEWAYS,6,6,0,9.87382582,5.11474336,18.01162159,1
SARCross-transition,TRANSITION,8,6,2,0.812888745,-0.0163185,9.93625231,0.75
SimpleBollinger-downtrend,BEAR,14,14,0,2.487807305,9.83e-06,20.15045949,1
Squeeze001-downtrend,BEAR,14,11,3,5.02077959,-12.5533779,39.66916012,0.785714285714
TheRealPullbackV2-sideways,SIDEWAYS,17,12,5,1.97741489,-6.11479088,26.47909574,0.705882352941
adxbbrsi2-transition,TRANSITION,24,18,6,0.42314358,-34.5819862,9.04721329,0.75
cryptotank-downtrend,BEAR,23,17,6,9.72765919,-212.47655949,85.78788629,0.739130434783
cryptotank-sideways,SIDEWAYS,17,14,3,11.98467999,-320.9497318,59.63376818,0.823529411765
cryptotank-sideways,TRANSITION,1,1,0,8.08519554,8.08519554,8.08519554,1
cryptotank-transition,TRANSITION,24,19,5,10.729914275,-75.73838367,84.63782028,0.791666666667
eltoro1_4-transition,BEAR,1,1,0,6.53908934,6.53908934,6.53908934,1
eltoro1_4-transition,TRANSITION,45,35,10,5.3335711,-57.06519204,40.06548381,0.777777777778
eltoro1_4_simple-downtrend,BEAR,37,29,8,14.99397642,-173.10121031,85.97795301,0.783783783784
