candidate_id,btc_regime,trades,long_trades,short_trades,profit_abs,mean_profit_ratio,wins,gross_profit,gross_loss,mean_duration_minutes,active_dates,profit_factor,win_rate
ADXDM-downtrend,BEAR,198,198,0,-113.19661397,-0.00442298641603,149,185.85598341,299.05259738,1653.81313131,107,0.621482592154,0.752525252525
BB_RPB_TSL_RNG_2-transition,TRANSITION,20,20,0,23.07488087,0.0092586073977,8,27.46435867,4.3894778,35.75,10,6.25686241539,0.4
BB_RTR-sideways,SIDEWAYS,37,37,0,62.72012211,0.0133228106202,25,67.41905074,4.69892863,55.5405405405,12,14.3477494656,0.675675675676
BB_RTR-transition,TRANSITION,37,37,0,27.6379354,0.0059763769413,18,45.60395788,17.96602248,59.1891891892,15,2.53834469654,0.486486486486
BigTrader-sideways,SIDEWAYS,12,12,0,42.75096564,0.0283201994016,12,42.75096564,0,60.8333333333,5,inf,1
BigTrader-transition,TRANSITION,7,7,0,21.66547323,0.0247887197893,7,21.66547323,0,441.428571429,5,inf,1
Cenderawasih_3_kucoin-sideways,SIDEWAYS,14,14,0,-0.79608226,-0.000440271705161,5,9.77513696,10.57121922,18.5714285714,6,0.924693430017,0.357142857143
CryptoFrog_nateema-transition,BEAR,1,1,0,1.28054689,0.0100091197914,1,1.28054689,0,35,1,inf,1
CryptoFrog_nateema-transition,SIDEWAYS,1,1,0,0.52291608,0.0040592736199,1,0.52291608,0,55,1,inf,1
CryptoFrog_nateema-transition,TRANSITION,303,303,0,-36.97752093,-0.000858394720329,235,361.11261054,398.09013147,231.930693069,80,0.907112691306,0.775577557756
CustomStoplossWithPSAR-downtrend,BEAR,55,55,0,6740.3238608,0.950126642445,21,10188.0538874,3447.73002659,447321.818182,31,2.95500338159,0.381818181818
E0V1E_protections-sideways,SIDEWAYS,16,16,0,56.16874352,0.0278153886095,12,59.61858896,3.44984544,15.9375,7,17.2815246355,0.75
FSampleStrategy-sideways,SIDEWAYS,198,188,10,1802.61522488,0.0564274140557,39,3940.02461474,2137.40938986,30950.3030303,101,1.843364511,0.19696969697
FSampleStrategy-sideways,TRANSITION,3,3,0,-31.62800659,-0.0508018969562,0,0,31.62800659,280,1,0,0
FSampleStrategy-trend,BEAR,17,3,14,-1.19908316,-0.000640633763134,9,65.71107968,66.91016284,5594.11764706,17,0.982079207267,0.529411764706
FSampleStrategy-trend,BULL,193,193,0,427.78876481,0.0185199559231,24,1824.75467675,1396.96591194,18622.0725389,98,1.30622706048,0.124352331606
FastSupertrend_optim3_rsi_80-trend,BEAR,2284,0,2284,1123.4223924,0.00265264348374,1751,11676.7125381,10553.2901457,1000.98073555,324,1.10645233637,0.766637478109
FastSupertrend_optim3_rsi_80-trend,BULL,1818,1818,0,971.68328773,0.00313326073896,1410,7780.0559359,6808.37264817,1204.75247525,403,1.14271887541,0.775577557756
FastSupertrend_optim3_rsi_80-trend,TRANSITION,2,0,2,7.55258225,0.0200797062312,2,7.55258225,0,2550,1,inf,1
FastSupertrend_optim3_rsi_80-uptrend,BEAR,2,0,2,-11.09502426,-0.044902925872,1,1.49040934,12.5854336,720,2,0.118423360479,0.5
FastSupertrend_optim3_rsi_80-uptrend,BULL,2890,1818,1072,1312.21956743,0.00276300081383,2211,10888.1040312,9575.88446375,1195.84775087,538,1.13703377191,0.765051903114
GodCard-downtrend,BEAR,42,42,0,8.31542349,0.0016236098048,38,30.41851945,22.10309596,272.380952381,23,1.37621080346,0.904761904762
GodCard-sideways,SIDEWAYS,32,32,0,36.46413549,0.00905603830318,32,36.46413549,0,10.9375,21,inf,1
Hacklemost-sideways,SIDEWAYS,8,8,0,17.17755081,0.0172483280878,8,17.17755081,0,67.5,4,inf,1
Hammer-transition,TRANSITION,19,19,0,21.32280142,0.00906614751414,12,46.95831469,25.63551327,323.947368421,13,1.83176807093,0.631578947368
MFI2-downtrend,BEAR,165,165,0,382.16670441,0.0167057079126,130,738.27501385,356.10830944,454.424242424,51,2.07317547577,0.787878787879
NFI46Z-downtrend,BEAR,66,66,0,20.33341971,0.00248621472484,54,66.11966182,45.78624211,98.3333333333,32,1.44409453087,0.818181818182
NostalgiaForInfinityX-transition,TRANSITION,11,11,0,-14.38059584,-0.01032777224,9,23.97335666,38.3539525,3678.63636364,9,0.625055700843,0.818181818182
OversoldReversion-downtrend,BEAR,89,89,0,462.78357508,0.0561663734702,61,669.32048288,206.5369078,4320,52,3.24068221031,0.685393258427
SARCross-sideways,SIDEWAYS,16,16,0,65.87753774,0.0323745116356,15,65.88063674,0.003099,1553.4375,8,21258.6759406,0.9375
SARCross-transition,TRANSITION,13,13,0,21.23082669,0.0130934721267,11,21.25965015,0.02882346,338.461538462,10,737.581475298,0.846153846154
SimpleBollinger-downtrend,BEAR,28,28,0,58.08661142,0.0163596149302,26,58.08665354,4.212e-05,1656.25,22,1379075.3452,0.928571428571
Squeeze001-downtrend,BEAR,70,70,0,93.29845207,0.0103678498386,54,157.6654898,64.36703773,904.142857143,41,2.44947562231,0.771428571429
