strategy_id,trades,dollar_gain_usd,benchmark_matched_trades,benchmark_dollar_gain_usd,excess_dollar_gain_usd
FastSupertrend_optim3_rsi_80-uptrend,1629,9395.77995832,1629,-3046.42158998,12442.2015483
FastSupertrend_optim3_rsi_80-trend,2130,8158.31120513,2130,2824.36820929,5333.94299583
FSampleStrategy-sideways,169,4060.53691765,169,9007.26340344,-4946.72648579
CustomStoplossWithPSAR-downtrend,19,2399.22380257,19,2846.9706935,-447.746890936
cryptotank-downtrend,240,1158.14530375,240,-2666.60167149,3824.74697524
MFI2-downtrend,50,1027.38751104,50,714.135232198,313.25227884
OversoldReversion-downtrend,18,966.159767817,18,967.690757967,-1.5309901502
cryptotank-transition,83,615.208818061,83,-875.171429362,1490.38024742
SARCross-sideways,15,521.16139221,15,487.443804797,33.7175874128
BigTrader-sideways,17,505.017647744,17,388.315436504,116.70221124
E0V1E_protections-sideways,16,501.331268074,16,314.747987484,186.58328059
TheRealPullbackV2-sideways,43,481.050089904,43,537.71295321,-56.6628633062
Hammer-transition,19,442.6951175,19,393.30689291,49.3882245898
cryptotank-sideways,146,429.554483192,146,-2011.75968406,2441.31416725
CryptoFrog_nateema-transition,210,404.443224892,210,1050.95051643,-646.507291537
BB_RTR-transition,41,377.780829229,41,548.453441326,-170.672612097
adxbbrsi2-transition,63,297.906822391,63,228.315537104,69.5912852867
ADXDM-downtrend,91,293.412321132,91,359.922774003,-66.5104528707
BB_RPB_TSL_RNG_2-transition,29,279.348616909,29,402.529482322,-123.180865413
SimpleBollinger-downtrend,10,240.288505873,10,255.050103486,-14.7615976136
BigTrader-transition,10,234.546095006,10,240.750117904,-6.20402289804
BB_RTR-sideways,46,219.489847312,46,401.03028885,-181.540441538
SARCross-transition,18,195.749380012,18,174.077758989,21.6716210236
NostalgiaForInfinityX-transition,13,172.324346798,13,191.911597012,-19.5872502141
Hacklemost-sideways,9,148.597932364,9,111.492120931,37.1058114329
GodCard-sideways,23,104.166548123,23,14.7458487224,89.420699401
NFI46Z-downtrend,55,100.712899084,55,147.106165062,-46.3932659783
GodCard-downtrend,28,92.2184377849,28,143.112041592,-50.8936038066
Squeeze001-downtrend,35,64.0147459446,35,-38.5265258623,102.541271807
Cenderawasih_3_kucoin-sideways,19,27.7216267157,19,250.417887412,-222.696260696
eltoro1_4-transition,180,25.5808166771,180,-558.213137071,583.793953748
eltoro1_4_simple-downtrend,209,-536.379462005,209,-483.408299291,-52.9711627134
FSampleStrategy-trend,115,-1690.73082288,115,-35.0343274936,-1655.69649539
