strategy_id,btc_regime,trades,episodes,mean_profit_ratio,mean_benchmark_return,benchmark_matched_episodes,excess_return,tier,dollar_gain_usd,benchmark_dollar_gain_usd,max_drawdown,episode_excess_lcb,excess_dollar_gain_usd,lcb_grade,profit_factor,worst_trade,liquidation_rate,forced_exit_rate,total_regime_days,sortino,annualized_return,drawdown_since_peak,sortino_pts,drawdown_pts,annualized_return_pts,liquidation_pts,profit_factor_pts,worst_trade_pts,freqforge_score
Squeeze001-downtrend,BEAR,35,6,0.00304832123546,-0.123063753562,21,0.126112074798,VALIDATION,64.0147459446,-2584.33882481,0.0295573823395,0.0537548341118,2648.35357075,A,1.27001526485,-0.236459058716,0,0,757,0.11459214725,0.0308657625756,0.236459058716,3.81973824168,40.885235321,7.71644064391,100,33.5007632427,76.3540941284,38.3191952244
TheRealPullbackV2-sideways,SIDEWAYS,43,8,0.0178166699965,-0.0743789657949,27,0.0921956357914,VALIDATION,481.050089904,-2008.23207646,0.0219243587291,0.0370297715075,2489.28216637,A,3.03903573208,-0.0368963461607,0,0,558,3.48997737133,0.314665381389,0.0368963461607,100,96.3103653839,55.7332690694,100,73.8963839953,96.3103653839,89.4582566443
adxbbrsi2-transition,TRANSITION,63,18,0.00662015160869,-0.084807122522,45,0.0914272741307,VALIDATION,297.906822391,-3816.32051349,2.14284331806e-05,0.0715096535409,4114.22733588,A,842.341220765,-8.57137327225e-05,0,0,333,1106.71869116,0.326534505023,8.57137327224e-05,100,99.9914286267,56.3267252512,100,100,99.9914286267,93.446008807
cryptotank-downtrend,BEAR,240,11,0.0231629060751,-0.0415019180351,50,0.0646648241102,VALIDATION,1158.14530375,-2075.09590176,0.00742532894138,0.0302771281474,3233.24120551,A,1.30805191245,-0.214728599022,0,0,1331,0.4155821689,0.317598073531,0.189257729664,13.8527389633,54.2969081344,55.8799036766,100,35.4025956223,78.5271400978,51.8123708979
cryptotank-sideways,SIDEWAYS,146,10,0.012272985234,-0.0746548849147,35,0.0869278701487,VALIDATION,429.554483192,-2612.92097201,0.0333414753965,0.052820233315,3042.47545521,A,1.165777818,-0.234793255549,0,0,741,0.259559754786,0.211588915472,0.212106973331,8.65199182621,46.9732566673,50.5794457736,100,28.2888909001,76.5206744451,46.9741855239
cryptotank-transition,TRANSITION,83,17,0.016627265353,-0.0567768570232,37,0.0734041223762,VALIDATION,615.208818061,-2100.74370986,0.0256291609713,0.00581310047645,2715.95252792,B,1.49197199397,-0.211006015785,0,0,271,0.786831218947,0.828602282629,0.209213338943,26.2277072982,47.6966652642,81.4301141314,100,44.5985996986,78.8993984215,58.0454100723
eltoro1_4-transition,BEAR,5,2,0.0251953217441,0.0115895582516,5,0.0136057634925,EXPLORATORY,125.97660872,57.9477912581,0,0.00490637208915,68.0288174623,B,inf,0.021168246795,0,0,30,-100,1.5327154061,0,100,100,92.6635770305,100,100,100,98.8995365546
eltoro1_4-transition,SIDEWAYS,1,1,0.0233575124306,0.0363425679645,1,-0.0129850555339,EXPLORATORY,23.3575124306,36.3425679645,0,,-12.9850555339,,inf,0.0233575124306,0,0,30,-100,0.284183067906,0,100,100,54.2091533953,100,100,100,93.1313730093
eltoro1_4-transition,TRANSITION,174,28,-0.00105772055106,-0.0595365952844,117,0.0584788747334,VALIDATION,-123.753304474,-6965.78164828,0.0220940890241,0.0444069839799,6842.0283438,A,0.970226459057,-0.251498501499,0,0.00574712643678,899,-0.0635175273118,-0.0502446675562,0.248176749286,0,37.9558126785,0,100,19.4045291811,74.8501498501,33.9144210727
eltoro1_4_simple-downtrend,BEAR,209,14,-0.00662196866673,-0.0159076783634,81,0.00928570969667,VALIDATION,-536.379462005,-1288.52194744,0.019715514937,-0.015194008919,752.142485431,C,0.931030612741,-0.250442361509,0,0.00956937799043,1718,-0.407100781549,-0.113957219809,0.229494582908,0,42.626354273,0,100,18.6206122548,74.9557638491,35.0142261786
