btc_regime,rank,strategy_id,excess_return,trades,episodes
BEAR,1,OversoldReversion-downtrend,0.329640995993,18,5
BEAR,2,CustomStoplossWithPSAR-downtrend,0.284407180776,19,7
BEAR,3,MFI2-downtrend,0.148342051542,50,6
BEAR,4,Squeeze001-downtrend,0.126112074798,35,6
BEAR,5,SimpleBollinger-downtrend,0.122907286535,10,5
BEAR,6,NFI46Z-downtrend,0.119990429391,55,8
BEAR,7,GodCard-downtrend,0.0835050992109,28,7
BEAR,8,ADXDM-downtrend,0.067867946897,91,11
BEAR,9,cryptotank-downtrend,0.0646648241102,240,11
BEAR,10,FastSupertrend_optim3_rsi_80-trend,0.0328030067156,1108,16
BEAR,11,eltoro1_4_simple-downtrend,0.00928570969667,209,14
BULL,1,FastSupertrend_optim3_rsi_80-uptrend,0.0132853241474,1625,15
BULL,2,FastSupertrend_optim3_rsi_80-trend,-0.0271866033525,1018,14
BULL,3,FSampleStrategy-trend,-0.147677188497,106,12
SIDEWAYS,1,BB_RTR-sideways,0.0955992281332,46,6
SIDEWAYS,2,TheRealPullbackV2-sideways,0.0921956357914,43,8
SIDEWAYS,3,cryptotank-sideways,0.0869278701487,146,10
SIDEWAYS,4,GodCard-sideways,0.0721883683053,23,8
SIDEWAYS,5,FSampleStrategy-sideways,0.0304908023356,168,19
TRANSITION,1,adxbbrsi2-transition,0.0914272741307,63,18
TRANSITION,2,cryptotank-transition,0.0734041223762,83,17
TRANSITION,3,eltoro1_4-transition,0.0584788747334,174,28
TRANSITION,4,CryptoFrog_nateema-transition,0.0549676253199,209,21
TRANSITION,5,BB_RTR-transition,0.0365391752414,41,6
TRANSITION,6,SARCross-transition,0.00821505637464,18,5
