total_trades,trade_count_long,trade_count_short,profit_total,profit_total_abs,cagr,sharpe,sortino,calmar,sqn,profit_factor,expectancy,expectancy_ratio,winrate,wins,losses,draws,max_drawdown_account,max_drawdown_abs,market_change,starting_balance,final_balance,trades_per_day,strategy_id,source
786,786,0,-0.15694544245,-156.94544245,-0.044465831385,-0.362584690374,-0.220357011883,-0.591195640292,-0.9268,0.808387994623,-0.199676135433,-0.0558792483518,0.713740458015,561,224,1,0.370205912944,433.28839814,,1000,843.05455755,0.573722627737,ADXDM,baseline
45,45,0,-0.03283259499,-32.83259499,-0.00885475595618,-0.123846997238,-0.116396140129,-0.992824928909,-1.3091,0.539771243273,-0.729613222,-0.132954974166,0.711111111111,32,13,0,0.0461167189512,46.28954199,,1000,967.16740501,0.0328467153285,ADXMomentum,baseline
5588,5588,0,-0.78107632948,-781.07632948,-0.332826832173,-2.29091413985,-1.63889062775,-1.27176306111,-2.1974,0.874132189815,-0.139777439062,-0.0397322610389,0.685576234789,3831,1756,1,0.856471932454,1302.44604716,,1000,218.92367052,4.07883211679,ADX_15M_USDT,baseline
4102,4102,0,-0.14697223235,-146.97223235,-0.0414672066826,-0.113864109986,-0.0703294952425,-0.246573507934,-0.1275,0.986506351895,-0.0358294081789,-0.00567329828725,0.686494392979,2816,1280,6,0.831217622336,3726.51984902,,1000,853.02776765,2.99416058394,ADX_15M_USDT2,baseline
320,320,0,1.63544853691,1635.44853691,0.294569824333,0.516986762478,5.77522032938,13.4953329614,2.0692,1.98762358881,5.11077667784,0.68825018845,0.303125,97,223,0,0.168997057758,518.25462602,,1000,2635.44853691,0.233576642336,ActionZone,baseline
8120,8120,0,-0.88138425191,-881.38425191,-0.433330423494,-15.4447574914,-22.9781830983,-1.39426277849,-12.29,0.642870907096,-0.10854485861,-0.243481115556,0.318226600985,2584,5536,0,0.881549123713,882.51240301,,1000,118.61574809,5.92700729927,AdaptiveMAStrategy,baseline
194,90,104,-0.25194105431,-251.94105431,-0.0744208603195,-0.0896577858251,-0.255833303363,-0.585393422241,-0.4604,0.892781153425,-1.2986652284,-0.0729530296286,0.319587628866,62,132,0,0.600173712278,1042.66529417,,1000,748.05894569,0.141605839416,AdaptiveRegime,baseline
105,105,0,2.0983440487,2098.3440487,0.351600700231,0.278086756283,1.0472531117,13.8145136473,1.9368,1.97865873302,19.9842290352,0.540592443003,0.447619047619,47,58,0,0.21181999955,743.87531418,,1000,3098.3440487,0.0766423357664,AdaptiveRegimeLong,baseline
3660,3660,0,-0.63447889373,-634.47889373,-0.235196846734,-0.998234541136,-1.00371870586,-1.03378430488,-1.1831,0.928369782604,-0.173354888997,-0.0374590809006,0.477049180328,1746,1914,0,0.855880457941,1867.37919274,,1000,365.52110627,2.67153284672,AdxSmas,baseline
2967,0,2967,-0.8259326732,-825.9326732,-0.372361836544,-3.59607041595,-3.81119072162,-1.38067011339,-4.7334,0.764657381104,-0.278372994001,-0.106923441278,0.545669025952,1619,1348,0,0.83421998119,834.21998119,,1000,174.0673268,2.16569343066,AdxSmasS,baseline
