strategy_id,regimes_covered,worst_regime,worst_regime_return,median_regime_excess_return,regime_consistency
CombinedBinHAndClucV6H,4,TRANSITION,-0.00269102074694,-0.00160004482323,0
RsiDivergenceStrategy,4,TRANSITION,-0.00270893488066,-0.00240412733317,0
Combined_NFIv7_SMA,4,BEAR,-0.00271152321456,0.0015375860448,0.75
Combined_NFIv7_SMA_bAdBoY_20211204,4,BEAR,-0.00271152321456,0.0015375860448,0.75
NostalgiaForInfinityV7_SMAv2,4,BEAR,-0.00271152321456,0.0015375860448,0.75
NostalgiaForInfinityV7_SMA,4,BEAR,-0.00271152321456,0.0015375860448,0.75
CryptoFrog,4,SIDEWAYS,-0.00278667022628,-0.00215144361489,0
BBRSITV,4,TRANSITION,-0.00280166492313,-0.00145387304076,0.25
Strategy002,4,BULL,-0.00281236806929,-0.00236156842327,0
StochRSITEMA,4,BULL,-0.00282435202551,-0.002333329563,0
MFI,4,BULL,-0.00282866559974,-0.00248808324378,0
CombinedBinHAndClucV8,4,TRANSITION,-0.00284459492956,-0.00203434390695,0
SMAOffsetProtectOptV1HO1,4,SIDEWAYS,-0.00286283882062,-0.00187968860479,0
MoneyFlowStrategy,4,BULL,-0.002872718573,-0.00242693013025,0
RSI_EMA_strategy,4,BEAR,-0.00287375752779,-0.00266008832407,0
CTIBS,4,TRANSITION,-0.0029176274023,-0.00154356811935,0.25
ClucHAnix_hhll,4,TRANSITION,-0.00291923256623,0.00124960425525,0.75
BuyRegions,4,SIDEWAYS,-0.00292164962562,-0.00204055660912,0
momentum_wick,4,TRANSITION,-0.00293179677547,0.000464529273247,0.5
Strategy004,4,TRANSITION,-0.00293193945905,-0.00196804413307,0
NostalgiaForInfinityV6,4,BEAR,-0.00296586027283,-0.00100050544027,0.25
NostalgiaForInfinityV6HO,4,BEAR,-0.00296586027283,-0.00100050544027,0.25
quantumfirst,4,SIDEWAYS,-0.00297507502478,-0.00229963686708,0
botbaby,4,BULL,-0.0030078541997,-0.00261250447507,0
Nostalgia,4,BEAR,-0.00305497138245,-0.000476691913089,0.5
FrostAuraM31hStrategy,4,SIDEWAYS,-0.00308167306753,0.00117198202094,0.75
cryptotankV2,4,BULL,-0.00309558358569,-0.00261364892957,0
NostalgiaForInfinityV5,4,BEAR,-0.00313402769636,-2.59492050477e-05,0.5
MyStratV1,4,BEAR,-0.00313789229083,-0.00108428064716,0.25
NostalgiaForInfinityV7,4,BEAR,-0.00313789229083,-0.00108428064716,0.25
ZaratustraDCA2_07,4,TRANSITION,-0.00314752560523,-0.0014301841728,0.25
CMCWinner,4,BULL,-0.00316136790057,-0.00245701851543,0
ADXDM,4,TRANSITION,-0.00321518123861,-0.001033976989,0.25
BollingerBounce,4,TRANSITION,-0.00323430715295,0.000155983485468,0.5
cryptotankV5,4,SIDEWAYS,-0.00323930769051,-0.0015015479987,0
TemaPure,4,BULL,-0.00331548248804,-0.00197338911215,0
CombinedBinHAndClucV6,4,TRANSITION,-0.0034695775713,-0.00225338385971,0
SmoothOperator,4,BULL,-0.00348685325808,-0.00306840407622,0
NWEv6_new,4,BULL,-0.00350701232865,-0.00313432100915,0
thetank4TV,4,TRANSITION,-0.00351825707048,-0.00317835147169,0
XtraThicc,4,BULL,-0.00358580485124,-0.00323218606218,0
HourBasedStrategy_5m,4,SIDEWAYS,-0.00358796458579,-0.00337369295988,0
NFI5MOHO_WIP,4,SIDEWAYS,-0.00358948357195,-0.000299320772017,0.5
NormalizerStrategy,4,BULL,-0.00361221632697,-0.00125906056173,0
MultiFactorConfluenceStrategy,4,BEAR,-0.00366558496106,-0.00273510169259,0
ClucHAnix_5m1,4,TRANSITION,-0.00373022889253,0.000636372358975,0.5
IchimokuStrategy,4,BULL,-0.00377885159017,-0.00248894996464,0
MarketChyperHyperStrategy,4,BEAR,-0.00404770721989,-0.0023291495559,0
HourBasedStrategy,4,TRANSITION,-0.00411034389361,-0.00393379697955,0
Fakebuy,4,TRANSITION,-0.00413949273266,5.9881998556e-05,0.5
Test_MAMA4,4,BULL,-0.00424740958951,-0.00268246833204,0
RSIDirectionalWithTrend,4,BULL,-0.00444598187299,-0.00269743669826,0
Ichimoku,4,SIDEWAYS,-0.00444658042827,-0.00382977048506,0
NFI5MOHO2,4,SIDEWAYS,-0.00451390147286,0.00027549945835,0.5
multi_tf,4,SIDEWAYS,-0.0045175766888,-0.00319607177539,0
ReinforcedAverageStrategy,4,TRANSITION,-0.00454915155896,-0.00097841175509,0.25
tbtest,4,SIDEWAYS,-0.00455663059972,-0.00349487479025,0
