strategy_id,trades,dollar_gain_usd,benchmark_matched_trades,benchmark_dollar_gain_usd,excess_dollar_gain_usd
ElliotV5_SMA,172,1815.24520332,172,1112.87548186,702.369721468
ClucHAnix_5M_E0V1E,1254,1794.91862064,1254,-233.780733861,2028.6993545
BollingerBounce,350,1778.13749719,350,1843.64983484,-65.5123376557
NostalgiaForInfinityV7_SMA,190,1741.0448171,190,1163.79559515,577.249221946
NostalgiaForInfinityV7_SMAv2,190,1741.0448171,190,1163.79559515,577.249221946
Combined_NFIv7_SMA_bAdBoY_20211204,190,1741.0448171,190,1163.79559515,577.249221946
Combined_NFIv7_SMA,190,1741.0448171,190,1163.79559515,577.249221946
ElliotV8_original,141,1726.92777159,141,665.043486108,1061.88428548
NASOSv5_mod2,56,1712.46821594,56,719.116899533,993.351316402
CombinedBinHClucAndMADV3,289,1694.56728997,289,874.141803665,820.425486309
CombinedBinHAndClucV4,518,1666.36131557,518,1193.71007288,472.651242693
ZaratustraDCA2_07,2795,1652.66207275,2795,2602.00035302,-949.338280272
Combined_NFIv6_SMA,194,1646.99291258,194,1200.5355843,446.457328283
RalliV1,152,1644.13067027,152,1231.43618576,412.694484505
NFI5MOHO,89,1639.81592988,89,1184.8878694,454.928060477
WaveTrendStra,3013,1637.78099708,3013,7136.09624266,-5498.31524558
RalliV1_disable56,151,1633.72428341,151,1223.62047207,410.103811344
Nostalgia,175,1610.16946951,175,1719.72773817,-109.558268654
Trend_Strength_Directional,2090,1591.46983045,2090,-2343.4329205,3934.90275095
Freqtrade_backtest_validation_freqtrade1,3249,1590.29030088,3249,7628.77011253,-6038.47981165
ClucHAnix_5m_old,581,1561.67245751,581,256.534647918,1305.1378096
ClucHAnix_5m,581,1561.67245751,581,256.534647918,1305.1378096
CryptoFrog_nateema,1574,1554.03490827,1574,4214.77025954,-2660.73535127
CombinedBinHAndClucV5,519,1547.42160287,519,1068.06201899,479.359583874
ElliotV5HO,200,1531.90879141,200,1206.17831578,325.73047563
E0V1EN,119,1531.51745924,119,597.710770321,933.806688923
Elliotv8,149,1520.30086759,149,708.000585925,812.300281665
NotAnotherSMAOffsetStrategy,198,1519.8396947,198,1555.00814002,-35.1684453205
SMAOffsetProtectOptV1HO1,315,1516.77638899,315,1883.7693669,-366.992977906
NotAnotherSMAOffsetStrategyHOv3,223,1499.26419984,223,272.822983682,1226.44121616
NostalgiaForInfinityX,63,1482.618597,63,1538.54196354,-55.9233665404
ElliotV8HO,127,1427.30792311,127,620.077601916,807.23032119
NotAnotherSMAOffsetStrategyHO,162,1405.74932971,162,325.441782052,1080.30754765
OversoldReversion,24,1387.59276189,24,1370.15850263,17.4342592568
BB_RTR,162,1387.39434096,162,1188.28907297,199.105267993
E0V1E,54,1381.64522296,54,1129.06059563,252.584627331
E0V1E_protections,54,1381.64522296,54,1129.06059563,252.584627331
NostalgiaForInfinityV7,148,1340.86828885,148,1262.16053965,78.7077491962
MyStratV1,148,1340.86828885,148,1262.16053965,78.7077491962
NotAnotherSMAOffsetStrategy_uzi,145,1325.90053068,145,1029.72068938,296.179841302
SMAOffsetV2,153,1316.45257127,153,2042.33676821,-725.884196943
ElliotV8_original_ichiv2OH,127,1279.97779318,127,330.370427367,949.607365815
ElliotV7,141,1270.23196818,141,808.83098688,461.400981304
CombinedBinHAndClucV8XHO,211,1254.75820488,211,1325.81213428,-71.0539294003
CombinedBinHAndClucV8,198,1246.87797294,198,1649.5292221,-402.651249165
CombinedBinHAndClucV5Hyperoptable,470,1246.7950201,470,852.533256827,394.261763272
FBB_DWT,177,1237.20319573,177,2648.75818722,-1411.55499148
BinClucMadDevelop,247,1222.40394047,247,1263.02771207,-40.6237715964
ElliotV5HOMod2,106,1205.35339867,106,626.790614769,578.562783897
SARCross,58,1192.92188789,58,1127.53278619,65.3891016999
NostalgiaForInfinityV6HO,157,1174.19917445,157,1248.66765713,-74.4684826791
NostalgiaForInfinityV6,157,1174.19917445,157,1248.66765713,-74.4684826791
NFI46OffsetHOA1,216,1166.73113756,216,950.823881685,215.907255871
NFI47V2,80,1143.18903698,80,1144.89164644,-1.70260945794
Squeeze001,99,1142.1951784,99,954.171714024,188.02346438
ClucHAnix_hhll,436,1134.30490153,436,438.376128823,695.928772705
BigTrader,42,1116.86138344,42,695.264249083,421.597134356
NotAnotherSMAOffsetStrategyModHO,301,1089.69840454,301,1038.72928172,50.9691228213
NotAnotherSMAOffsetStrategyModHO_LamineDz_20210901,301,1089.6984045,301,1038.72928172,50.9691227835
NostalgiaForInfinityV3,275,1070.87866701,275,1312.62755898,-241.748891966
DoubleEMACrossoverWithTrend,1364,1065.55252636,1364,3814.34289006,-2748.7903637
Obelisk_TradePro_Ichi_v2_1,1876,1060.86882438,1876,-11385.5256046,12446.394429
NotAnotherSMAOffsetStrategyX1,145,1029.59656129,145,734.577820953,295.01874034
CombinedBinHAndClucV7,200,1024.24951902,200,935.959113444,88.290405581
NostalgiaForInfinityV5,122,1007.84835067,122,865.46869564,142.379655029
BigZ03,208,979.535786507,208,809.291938831,170.243847676
CombinedBinHAndClucV8XH,161,979.077337333,161,1114.10119651,-135.023859174
BB_RPB_TSL_RNG,131,978.961590687,131,1190.74259929,-211.781008602
BB_RPB_TSL_RNG_TBS,131,978.961590687,131,1190.74259929,-211.781008602
NostalgiaForInfinityV7_SMAv2_1,100,969.690625664,100,335.678738832,634.011886832
SMAOG,146,967.180998402,146,577.33088879,389.850109612
ElliotV4,194,963.001587081,194,298.112445288,664.889141793
NFINextMOHO,353,947.539804816,353,1392.16812935,-444.628324537
BBRSITV,133,923.943829544,133,984.479024481,-60.5351949373
NFI7MOHO,507,910.065369223,507,1084.55339928,-174.488030053
VWAP,157,909.709956822,157,966.126240808,-56.4162839861
BB_RPB_TSL_RNG_2,131,893.13452352,131,1116.32025885,-223.185735333
SMAOffsetProtectOptV1,71,883.915569413,71,844.015029651,39.9005397616
MacheteV8bRallimod2,60,859.851777172,60,591.755155008,268.096622165
NostalgiaForInfinityV4HO,70,853.602343512,70,800.059195409,53.5431481038
BinClucMad,676,831.35673432,676,822.542206732,8.81452758819
PolymarketMeanReversionStrategy,64,820.682396448,64,1269.98361167,-449.301215226
MultiMA_TSL,67,804.094228037,67,764.263862884,39.8303651535
Dyna_opti,106,796.411662829,106,1564.31217328,-767.900510449
SMAOPv1_TTF,86,794.740371918,86,822.407686321,-27.6673144026
NostalgiaForInfinityV1,961,791.124048352,961,2542.14233024,-1751.01828189
SMAOffset_Hippocritical_dca_protections,63,780.090185709,63,-105.923095432,886.013281141
SMAOffset_Hippocritical_dca_old,63,780.090185709,63,-105.923095432,886.013281141
SMAOffset_Hippocritical_dca,63,780.090185709,63,-105.923095432,886.013281141
BinClucMadSMADevelop,250,778.777527585,250,1378.11806478,-599.340537192
NFI46Offset,196,771.486651472,196,723.517824664,47.9688268082
CoreStrategy,169,769.99156078,169,1171.82711112,-401.83555034
SMAIP3,92,753.273030724,92,579.46817997,173.804850754
Hacklemost,45,739.074128816,45,447.009476679,292.064652137
SMAOffsetProtectOpt,59,732.040262146,59,710.631451705,21.4088104411
bestV2,87,716.338853434,87,705.981824545,10.3570288896
PowerTower,1280,709.770264244,1280,815.119213485,-105.34894924
SMAIP3v2,119,707.827229103,119,577.975010083,129.85221902
ElliotV2,92,684.591037185,92,473.72456932,210.866467865
MultiMA_TSL3b,27,640.237657577,27,672.490990229,-32.253332652
E0V1E2,54,637.382299192,54,1330.06677316,-692.684473971
CombinedBinHAndClucV2,109,603.43574667,109,663.750507535,-60.3147608651
CombinedBinHClucAndMADV5,432,602.39244243,432,442.818573034,159.573869395
ElliotV531,206,597.305838343,206,336.098998357,261.206839986
MAC,19,572.867866019,19,1872.01327544,-1299.14540942
EMABounce,13,555.091747459,13,495.78252036,59.3092270992
TheRealPullbackV2,188,549.999145072,188,1604.8027393,-1054.80359422
adaptive,118,529.541845032,118,98.3639979148,431.177847117
CombinedBinHClucAndMADV6,425,522.250175139,425,419.795407131,102.454768008
CombinedBinHAndClucV8Hyper,326,504.253502938,326,800.795150132,-296.541647194
CombinedBinHAndCluc2021Bull,678,492.389998009,678,705.894077605,-213.504079596
StarRise,47,491.574048294,47,212.825487469,278.748560825
SMAOffsetProtectOptV1Mod,65,460.619204163,65,124.318376896,336.300827267
MultiOffsetLamboV0,70,456.525178519,70,401.688145562,54.8370329566
SMAOffsetProtectOptV1Mod2,65,455.591811434,65,67.1892641029,388.402547331
SMAOffsetProtectOptV1_kkeue_20210619,65,455.591811434,65,67.1892641029,388.402547331
MACDCCI,2,452.391040543,2,457.748827158,-5.35778661565
E0V1E_ewo,63,420.222098718,63,1754.32401539,-1334.10191667
CombinedBinHAndClucV6H,454,401.038862343,454,970.804009728,-569.765147385
NFI46,19,375.878310682,19,310.009993028,65.8683176545
SMAOffsetProtectOptV0,77,371.53322968,77,354.111260223,17.4219694577
BigDrop,2330,342.87154967,2330,1253.92123094,-911.049681269
FLAGS,94,334.162039589,94,501.861979949,-167.69994036
NostalgiaForInfinityV4,70,332.680567312,70,291.891327619,40.7892396929
PolymarketMomentumStrategy,401,304.968940699,401,-217.12298239,522.091923089
twinturboV8,22,295.692225748,22,103.112309876,192.579915872
BB_RPB_TSL_RNG_VWAP,231,293.164025701,231,961.786126305,-668.622100604
CombinedBinHAndClucV6,442,282.788826074,442,1205.91758897,-923.128762896
SmartMoneyStrategy,52,270.451464398,52,376.498002404,-106.046538006
NostalgiaForInfinityNextGen,37,269.096618781,37,298.122203468,-29.0255846867
InverseV2,241,255.033673339,241,608.232291405,-353.198618066
GodCard,107,235.310349163,107,812.400339194,-577.089990031
ZScoreMeanReversionStrategy,19,215.105093328,19,193.207437137,21.8976561909
NostalgiaForInfinityV5MultiOffsetAndHO,449,210.133204783,449,389.148483118,-179.015278335
SMA_BBRSI,202,206.124913162,202,22.6273184776,183.497594685
Cenderawasih_30m,7,194.841037536,7,139.323745908,55.517291628
ClucHAnix_5m1,614,183.388532721,614,-164.445381086,347.833913807
NFINextMOHO2,433,181.058671226,433,203.02437837,-21.9657071444
UltimateMomentumIndicator,2843,180.883251108,2843,5882.89240283,-5702.00915172
E0V1E_strs,22,177.409622718,22,178.120647594,-0.711024875866
CombinedBinHClucAndMADV9,758,169.422440167,758,9.23397080883,160.188469359
NASOSv5,207,156.943899051,207,-494.225882059,651.169781109
JustROCR4,11,141.575027888,11,68.575656872,72.999371016
SimpleBollinger,30,123.765842089,30,169.996493871,-46.2306517822
SwingHigh,473,106.093748884,473,-665.051051352,771.144800236
Cenderawasih_3_kucoin,44,99.6344861301,44,608.929266403,-509.294780273
Ichimoku_v12,25,85.0135579131,25,-714.247618135,799.261176049
MACDTurn,16,74.6785390342,16,3.36791969903,71.3106193352
BigZ07Next,477,74.1448916595,477,170.681847923,-96.5369562632
KAMACCIRSI_new,36,49.2441150629,36,169.386730138,-120.142615075
DonchianBounce,10,47.0553781828,10,-4.05979768209,51.1151758649
MADisplaceV3,142,39.2175007871,142,717.841111973,-678.623611186
TEMABounce,1,37.1652605879,1,57.8340774582,-20.6688168703
KeltnerChannels,43,36.1706009496,43,85.2550920482,-49.0844910986
Fakebuy,147,36.1485578293,147,80.7520057492,-44.60344792
NostalgiaForInfinityV5MultiOffsetAndHO2,356,15.0629966119,356,252.944603205,-237.881606593
PRICEFOLLOWING,87,0.391031397947,87,297.173521388,-296.78248999
RobotradingBody,928,-4.46075488632,928,1749.37790217,-1753.83865706
MeanReversionTrend,20,-8.09724481675,20,137.689287486,-145.786532302
