strategy_id,trades,dollar_gain_usd,benchmark_matched_trades,benchmark_dollar_gain_usd,excess_dollar_gain_usd
FrostAuraM31hStrategy,763,-4265.05457173,763,-4591.29634613,326.241774408
TrendBreakout,120,-4274.19008546,120,1065.21242227,-5339.40250773
RSIv2,1873,-4290.83189046,1873,-8252.14756404,3961.31567358
Saturn5,831,-4395.31160198,831,-6572.20652198,2176.89492
momentum_long,2514,-4492.31581425,2514,-5197.44093364,705.12511939
TemaMaster,1809,-4572.46485919,1809,-2402.70380146,-2169.76105773
SampleStrategyV2,1699,-4615.4713249,1699,-4486.77706084,-128.694264054
Squeeze002,2708,-4648.89285655,2708,-2970.61445424,-1678.27840231
BinHV27_short,1566,-4664.4219995,1566,835.39413473,-5499.81613423
gettinMoist,3065,-4678.01956374,3065,1987.78773777,-6665.8073015
STRATEGY_RSI_BB_CROSS,2001,-4690.14655697,2001,-1420.27814457,-3269.86841241
cryptotankV5,1245,-4726.82406744,1245,-2557.92670407,-2168.89736337
Schism4,2215,-4773.12142597,2215,-5160.94289431,387.82146834
SqueezeOff,3056,-4775.53871421,3056,-3535.7972313,-1239.74148291
Schism2,1828,-4785.9595875,1828,-5864.93407243,1078.97448493
STRATEGY_RSI_BB_BOUNDS_CROSS,2439,-4941.28258654,2439,-452.068491751,-4489.21409479
bbandrsi,2070,-5044.43220748,2070,-800.642018738,-4243.79018874
AlmgrenChrissStrategy,970,-5114.96244385,970,4447.40162051,-9562.36406437
HilbertSineWave,1212,-5144.67536232,1212,7881.8279271,-13026.5032894
Roth01,3083,-5316.33864827,3083,-2296.88495473,-3019.45369353
TRIX_spot,3881,-5332.12767792,3881,2035.48027514,-7367.60795306
cryptotankV2,1706,-5376.62354533,1706,-863.681385157,-4512.94216017
BinHV27,3727,-5453.28737324,3727,2009.86486646,-7463.1522397
MACDStrategyETC,2392,-5502.63156707,2392,-3919.07258632,-1583.55898075
hansencandlepatternV1,4554,-5503.78473255,4554,3814.47203877,-9318.25677132
CMCWinner,2076,-5577.19900129,2076,-927.475090102,-4649.72391119
BollingerBounceStrategy,3875,-5578.46669781,3875,2235.34907168,-7813.81576949
BinHV27F,1834,-5580.39095669,1834,2569.79531495,-8150.18627164
cryptohassle,2968,-5642.68764459,2968,-6992.57243521,1349.88479062
Schism3,1917,-5653.20162196,1917,-5752.23650883,99.0348868707
FrayStratBTC,2092,-5680.41803244,2092,-2582.45754717,-3097.96048527
MarketChyperHyperStrategy,1205,-5704.4144256,1205,-2497.70273965,-3206.71168595
ultratank,816,-5808.37997704,816,-8503.93211919,2695.55214216
ADX_15M_USDT2,1564,-5829.72495427,1564,-6564.65503721,734.930082938
DWT_short,1845,-5861.80587007,1845,1802.18867958,-7663.99454965
Quickie,1810,-5873.4542439,1810,-5849.58084964,-23.8733942592
moonhouse,45,-6011.05010248,45,-4074.22219229,-1936.82791019
thetank4TV,1116,-6035.89048848,1116,-2461.75206063,-3574.13842785
EMA520015_V17,2729,-6304.43177733,2729,-6249.22352113,-55.2082561983
Strategy005,1849,-6311.12970453,1849,-4657.33829621,-1653.79140832
momentum_wick,2731,-6453.4354085,2731,-5212.40939836,-1241.02601014
SimpleHopt,3056,-6497.26141155,3056,-10741.1391224,4243.87771081
AwesomeMacd,1544,-6517.04551286,1544,-3249.33362311,-3267.71188975
EMA50,2812,-6533.12903043,2812,-4672.98111153,-1860.1479189
FrostAuraM315mStrategy,2741,-6580.82403712,2741,-4693.39117779,-1887.43285934
KAMACCIRSI,2384,-6585.12576732,2384,-5803.90157603,-781.224191285
Obelisk_TradePro_Ichi_v2_2,3804,-6616.77193197,3804,-3971.42217404,-2645.34975793
BinHV27_werkkrew,3806,-6622.40259146,3806,-1094.2636047,-5528.13898675
BBRSIStrategy,2531,-6847.67659134,2531,-8762.45955322,1914.78296188
OmaGann,3666,-6902.7226495,3666,-5953.53952048,-949.183129021
NFI46Frog,5569,-6976.68020893,5569,3932.04422483,-10908.7244338
slope_is_dopeCT,1886,-7041.74595173,1886,-7512.61238012,470.866428389
EMABreakout,2720,-7058.29408578,2720,-4245.63375874,-2812.66032704
TDSequentialStrategy,1476,-7238.61956438,1476,7443.28322298,-14681.9027874
MACDStrategy,3553,-7267.37322232,3553,-4154.82488127,-3112.54834105
Patterns2,2103,-7305.99167524,2103,-5526.48227994,-1779.5093953
EMAVolume,5191,-7410.34798915,5191,3060.31825809,-10470.6662472
NFI4Frog,5559,-7593.22568431,5559,3338.99701836,-10932.2227027
bbrsi,1574,-7617.48098618,1574,-6369.68889491,-1247.79209127
FlawlessVictory,3726,-7625.46288742,3726,-514.254397538,-7111.20848988
CryptoFrogNFIHO1A,6199,-7673.1190041,6199,1208.15781752,-8881.27682162
TemaPureNeat,3684,-7710.43820761,3684,-1844.50328655,-5865.93492106
fahmibah,3381,-7762.65144396,3381,-6675.22308934,-1087.42835462
Strategy001_custom_exit,4228,-7857.56646278,4228,-622.067036901,-7235.49942588
Strategy001_custom_sell,4228,-7857.56646278,4228,-622.067036901,-7235.49942588
NFI46FrogZ,5685,-7906.60817011,5685,2099.18918431,-10005.7973544
TemaPure,2961,-7956.63673164,2961,-1504.95478801,-6451.68194363
TrendFutures,211,-7993.80799197,211,1559.68368262,-9553.49167458
NormalizerStrategy,1191,-8234.31569406,1191,-6870.51181515,-1363.80387891
HourBasedStrategy,2668,-8235.20031428,2668,2276.30147105,-10511.5017853
Divergences,3174,-8250.02916296,3174,-553.469091066,-7696.56007189
BigPete,2684,-8261.61123568,2684,-4451.48083241,-3810.13040327
RSI_BB,4550,-8426.32694888,4550,208.406255915,-8634.7332048
FOttStrategy,1488,-8473.0271598,1488,-527.853431454,-7945.17372835
botbaby,4025,-8801.20614122,4025,1783.47126314,-10584.6774044
XtraThicc,2727,-8852.17146332,2727,17.7192883181,-8869.89075164
CryptoFrog,3294,-8946.54884064,3294,-1443.35028738,-7503.19855326
SmoothOperator,5564,-9152.09678849,5564,7855.17466469,-17007.2714532
SqueezeMomentum,5229,-9223.18194624,5229,152.718295255,-9375.90024149
ADX_15M_USDT,2998,-9289.25718623,2998,-8666.29484993,-622.962336301
TemaPureTwo,3957,-9469.67120302,3957,-3028.87343128,-6440.79777174
CryptoFrogHO,11047,-9493.57968131,11047,6489.84123574,-15983.420917
Chandemtwo,5102,-9522.05043573,5102,-588.610882169,-8933.43955356
LuxOSC,4617,-9712.08871586,4617,-752.840650993,-8959.24806487
CryptoFrogNFI,6266,-9727.43206184,6266,2764.54153515,-12491.973597
Bandtastic,6312,-9787.03292352,6312,-798.704949798,-8988.32797372
MACDRL,3244,-9844.95304933,3244,-3916.43014227,-5928.52290706
AdaptiveMAStrategy,4484,-9860.37362626,4484,-633.994652867,-9226.37897339
MultiFactorConfluenceStrategy,1471,-9975.18823754,1471,-6158.24072976,-3816.94750778
Chandem,4356,-10326.9368192,4356,-2572.26344759,-7754.67337161
TD,5592,-10354.5309086,5592,-7819.87373271,-2534.65717592
quantumfirst,4651,-10355.4078339,4651,1155.3392855,-11510.7471194
SampleStrategy,3789,-10449.9811024,3789,-7626.9858328,-2822.9952696
Martin,3789,-10449.9811024,3789,-7626.9858328,-2822.9952696
Sar,3789,-10449.9811024,3789,-7626.9858328,-2822.9952696
stoploss,3789,-10449.9811024,3789,-7626.9858328,-2822.9952696
Seb,3578,-10480.6682178,3578,-8295.12359927,-2185.54461853
Strategy001,3578,-10480.6682178,3578,-8295.12359927,-2185.54461853
EMABBRSI,3215,-10562.5274452,3215,-10514.8805926,-47.6468525482
BollingerBandStrategy,4139,-10654.1610651,4139,-4079.98436341,-6574.17670166
CryptoFrogOffset,5946,-10779.0429949,5946,3838.42740537,-14617.4704003
NWEv6_new,2164,-10821.213922,2164,-3984.99191291,-6836.22200905
MoneyFlowStrategy,5252,-10928.7618432,5252,1981.56547494,-12910.3273182
Candle2,1807,-11029.6702314,1807,12945.2391442,-23974.9093756
Apollo11,1421,-11087.1070198,1421,-8969.80221879,-2117.30480099
MACDRSI200,3736,-11778.4052862,3736,-4930.57911737,-6847.82616881
BbandRsiRolling,4918,-12023.0726173,4918,-7192.94186143,-4830.13075592
FrostAuraM115mStrategy,7884,-12144.4088522,7884,1324.22262575,-13468.631478
BuyRegions,4496,-12318.7533402,4496,-3057.24035314,-9261.51298705
bbrsi1_strategy,6262,-12708.6536294,6262,-3988.55692868,-8720.09670075
BBRSINaiveStrategy,5393,-13001.9053576,5393,-15372.1946192,2370.28926159
CryptoFrogHO3A4,11687,-13118.3633505,11687,7904.76791567,-21023.1312661
BBRSIOptimizedStrategy,10016,-13166.8062786,10016,2020.76433745,-15187.5706161
MontrealStrategy,7480,-13323.4780408,7480,-4591.55600648,-8731.92203435
macd_recovery,3955,-13590.6290487,3955,-5859.64849246,-7730.98055627
CryptoFrogHO3A2,12931,-15664.3981401,12931,6711.7390025,-22376.1371426
CryptoFrogHO3A1,15241,-18436.7179944,15241,7846.24375126,-26282.9617456
VolatilitySystemV2,472,-18871.9224447,472,5680.70035808,-24552.6228027
CryptoFrogHO3A3,15996,-19123.4304573,15996,7210.26403677,-26333.6944941
CryptoFrogHO2A,15695,-20080.4267946,15695,9088.13406367,-29168.5608583
CryptoFrogHO2,15692,-20280.0022294,15692,9499.64697155,-29779.6492009
