strategy_id,trades,dollar_gain_usd,benchmark_matched_trades,benchmark_dollar_gain_usd,excess_dollar_gain_usd,source
CombinedBinHClucAndMADV3,1009,9212.9325664,1009,6551.57609472,2661.35647168,baseline
BinClucMad,1286,9207.54364601,1286,5077.97763649,4129.56600952,baseline
ReinforcedAverageStrategy,735,9179.94131643,735,7518.87757956,1661.06373688,baseline
FrostAuraM11hStrategy,1507,9123.68713045,1507,2993.91011018,6129.77702027,baseline
TrixStrategy,7147,8987.30978255,7147,16713.4963514,-7726.18656882,baseline
NotAnotherSMAOffsetStrategyHO,533,8880.3064915,533,3616.31612338,5263.99036812,baseline
EMAPriceCrossoverWithThreshold,1068,8675.57381588,1068,16783.0415698,-8107.46775388,baseline
SmartMoneyStrategyHyperopt,181,8670.43400868,181,9183.35700589,-512.922997215,baseline
CombinedBinHAndCluc2021,1887,8670.25802813,1887,11302.9585226,-2632.70049447,baseline
wavetrend_rsi,1141,8453.65743813,1141,4645.83315799,3807.82428014,baseline
MACD9fall,221,8408.62912792,221,4067.56989901,4341.05922891,baseline
BinClucMadDevelop,640,8395.4997226,640,5936.3137074,2459.1860152,baseline
MFIRSICross,7221,8347.78460672,7221,3447.70442419,4900.08018254,baseline
ClucHAnix,3193,8250.78936679,3193,-562.678131918,8813.46749871,baseline
TrailingBuyStratCluc,3193,8250.78936679,3193,-562.678131918,8813.46749871,baseline
NostalgiaForInfinityV2,487,8245.1596466,487,8043.78489577,201.374750832,baseline
SuperHV27_BTC,3014,8211.28544364,3014,3586.75351003,4624.53193362,baseline
FLAGS,154,8181.46343418,154,1888.81809975,6292.64533443,baseline
tbtest,2709,8087.44005503,2709,10900.9972361,-2813.5571811,baseline
abbas,2224,8065.13002236,2224,-5404.5161969,13469.6462193,baseline
NostalgiaForInfinityV1,1919,7964.33832508,1919,10180.1466541,-2215.80832907,baseline
CombinedBinHAndClucV3,1494,7898.80276633,1494,3652.17551165,4246.62725468,baseline
Schism2_ETH,6282,7833.97933183,6282,505.147005559,7328.83232627,baseline
binance,209,7752.58643262,209,6027.64690471,1724.93952791,baseline
