strategy_id,trades,dollar_gain_usd,benchmark_matched_trades,benchmark_dollar_gain_usd,excess_dollar_gain_usd,source
NASOSv5_antipump,429,680.922454232,429,364.804823596,316.117630635,baseline
StochasticCciStrategy,718,636.290537169,718,2632.78546284,-1996.49492567,baseline
BBRSIStrategy,7631,562.194448555,7631,-8515.79514722,9077.98959577,baseline
Ichimoku_v33,655,557.830412006,655,1382.64803893,-824.817626928,baseline
twinturboV8,88,526.677937425,88,372.222039209,154.455898216,baseline
twinturboV8_2,61,525.988386932,61,634.251651017,-108.263264085,baseline
DevDsl2Approx,282,508.304406067,282,977.458931292,-469.154525225,baseline
CombinedBinHAndClucHyper,3556,502.527079003,3556,-1508.50912319,2011.03620219,baseline
MACDCross,3899,464.986316691,3899,2348.78366183,-1883.79734513,baseline
MACDStrategyENJ,1137,458.080974427,1137,955.617294124,-497.536319697,baseline
SMA_BBRSI,406,421.53390172,406,-379.100470486,800.634372206,baseline
TEMABounce,9,405.094448958,9,106.030787742,299.063661216,baseline
RSIDirectionalWithTrend,454,393.267714963,454,1987.05710575,-1593.78939079,baseline
DonchianBounce,22,386.2112555,22,296.478286879,89.7329686208,baseline
hlhb,441,369.400630194,441,-4170.31371455,4539.71434474,baseline
MeanReversionTrend,36,361.418039365,36,462.221291487,-100.803252122,baseline
binance_shorts,90,331.676733116,90,95.0122155759,236.66451754,baseline
ultratank,1721,320.891711213,1721,-8668.2536004,8989.14531161,baseline
PRICEFOLLOWING,123,316.877461781,123,414.503829137,-97.6263673561,baseline
Cenderawasih_30m,14,313.91750141,14,320.620497541,-6.70299613119,baseline
MACDTurn,15,287.046342963,15,198.295980735,88.750362228,baseline
Fakebuy,182,283.14589462,182,178.364869839,104.781024781,baseline
KeltnerBounce,8,260.020492396,8,212.690968577,47.3295238191,baseline
SwingHigh,637,259.038327261,637,-945.524637436,1204.5629647,baseline
E0V1E_3,49,251.125394195,49,-120.793159936,371.918554131,baseline
ZScoreMeanReversionStrategy,15,234.015680507,15,327.806185242,-93.7905047345,baseline
SimpleHopt1Along,1280,216.242556901,1280,-13114.9474312,13331.1899881,baseline
adaptive,441,202.400553823,441,-825.798293212,1028.19884703,baseline
Schism4,5717,197.698038259,5717,-599.760540643,797.458578902,baseline
StarRise_V2,133,165.539288422,133,-196.088709281,361.627997704,baseline
StarRise_strat,133,165.539288422,133,-196.088709281,361.627997704,baseline
AdaptiveRegime,194,134.453153306,194,20216.4423864,-20081.9892331,baseline
TemaPureTwo,6454,132.261654567,6454,8891.75437806,-8759.49272349,baseline
FastSupertrend_ts_origstop_fix,1797,100.502089556,1797,24531.0535514,-24430.5514618,baseline
E0V1E_Shorts,89,77.6962632161,89,388.342907032,-310.646643816,baseline
MACDStrategyADA,2455,52.5197623044,2455,2041.72677205,-1989.20700975,baseline
TrixV21Strategy,640,33.7816710565,640,3593.47030354,-3559.68863248,baseline
KeltnerChannels,58,33.6168603352,58,22.587932483,11.0289278522,baseline
MACDStrategySOL,1041,32.3132438021,1041,983.659624673,-951.346380871,baseline
KAMACCIRSI_new,91,-54.0647487913,91,69.084454291,-123.149203082,baseline
BinMfiBTCv5003,124,-58.0581502902,124,165.016339344,-223.074489634,baseline
NostalgiaForInfinityNextGen_TSL,89,-72.4737581343,89,-110.796548176,38.322790042,baseline
MACDStrategyXRP,2564,-76.6765729032,2564,2284.33801066,-2361.01458356,baseline
Cenderawasih_3_kucoin,147,-115.675493908,147,406.941636036,-522.617129944,baseline
BuyOnly,1376,-121.951879085,1376,-2079.10133126,1957.14945217,baseline
TrixV23Strategy,664,-155.811201664,664,3220.6190104,-3376.43021207,baseline
TrixV15Strategy,749,-209.901232239,749,-1282.93198386,1073.03075162,baseline
RobotradingBody,1494,-241.22238525,1494,3353.61059424,-3594.83297949,baseline
PolymarketMeanReversionStrategy,83,-266.009126468,83,-153.182476917,-112.826649551,baseline
ADXMomentum,45,-266.830692312,45,-523.958847151,257.128154839,baseline
EMA520015_V17,4489,-427.904720585,4489,-9641.89285387,9213.98813329,baseline
Persia,3708,-478.289772722,3708,2763.82316685,-3242.11293957,baseline
BB_RPB_TSL_c7c477d_20211030,273,-487.867793418,273,159.66274914,-647.530542559,baseline
SwingHighToSky,3430,-531.07479028,3430,208.823625648,-739.898415928,baseline
TRIWAVE,2090,-575.354841014,2090,2438.81595702,-3014.17079804,baseline
RsiDivergenceStrategy,254,-620.656969633,254,109.140281871,-729.797251504,baseline
JustROCR2,85,-637.193851508,85,0,-637.193851508,baseline
Strategy002,570,-644.571357284,570,75.2473930514,-719.818750336,baseline
YOLO,174,-724.276925949,174,73.4686468688,-797.745572818,baseline
BigWill,1957,-737.210705205,1957,3170.13328314,-3907.34398834,baseline
BinHV45,579,-741.770890716,579,-610.283190035,-131.487700681,baseline
BBlower,902,-754.556340758,902,2046.29805498,-2800.85439574,baseline
BBRSI,433,-783.227150794,433,-1002.55048978,219.323338983,baseline
Obelisk_TradePro_Ichi_v1_1,2885,-795.73107107,2885,23931.4449184,-24727.1759895,baseline
TrendBreakout,202,-810.978842818,202,11234.7887526,-12045.7675954,baseline
FBB_KalmanSIMD,446,-832.822123141,446,1290.67012831,-2123.49225145,baseline
Fibbo,65,-867.556121323,65,-60.8260727507,-806.730048572,baseline
ClucHAnix_5mTB1,1874,-876.647916525,1874,-1799.59113141,922.94321488,baseline
ClucHAnix_5m1,1874,-876.647916525,1874,-1799.59113141,922.94321488,baseline
RSIv2,3084,-929.885834485,3084,-10872.0785517,9942.19271725,baseline
FSupertrendStrategyBTC,4495,-940.500290199,4495,-35112.7151224,34172.2148322,baseline
TouchEmaStrategy,679,-1010.14135478,679,-480.090483551,-530.050871226,baseline
ADXDM,786,-1026.01595559,786,-811.197444867,-214.818510723,baseline
ClucMay72018,1470,-1069.18609886,1470,-1093.68709721,24.5009983522,baseline
bb_rsi_opt_new,231,-1072.71045694,231,-612.700646908,-460.009810034,baseline
moonhouse,45,-1111.06274887,45,1759.43332523,-2870.49607411,baseline
BB_RPB_TSL_RNG_TBS_GOLD,643,-1124.39556657,643,1201.61300295,-2326.00856952,baseline
SuperTrend,838,-1175.05540659,838,915.406842589,-2090.46224918,baseline
JustROCR5,215,-1272.44086239,215,-0.745978204463,-1271.69488419,baseline
Combined_Indicators,2877,-1272.64150183,2877,-2955.54644338,1682.90494155,baseline
JustROCR4,27,-1379.33864712,27,-832.856477867,-546.482169257,baseline
gpt_reversal,255,-1451.23677757,255,336.636414204,-1787.87319177,baseline
GPTREV,255,-1451.23677757,255,336.636414204,-1787.87319177,baseline
Squeeze002,6171,-1463.03598627,6171,540.057918059,-2003.09390433,baseline
BbandRsi,10137,-1481.98512683,10137,14564.781091,-16046.7662178,baseline
CryptoFrogHO3A4,15438,-1487.91656784,15438,20950.4800746,-22438.3966424,baseline
cryptotankV5,2806,-1575.45116297,2806,2797.61445806,-4373.06562104,baseline
MarketChyperHyperStrategy,1922,-1587.79399621,1922,3741.44117133,-5329.23516754,baseline
XtraThicc,4990,-1593.11146183,4990,15875.2828591,-17468.3943209,baseline
FFT,1934,-1601.27138274,1934,6168.50924331,-7769.78062605,baseline
CryptoFrogNFI,9322,-1664.81246074,9322,13812.250253,-15477.0627137,baseline
RSIBB02,415,-1699.37526711,415,-841.694079492,-857.681187619,baseline
MACDStrategyAVAX,1386,-1727.72755697,1386,-36.0268973106,-1691.70065966,baseline
AwesomeMacd,2690,-1763.26643584,2690,992.851801342,-2756.11823718,baseline
FAdxSmaStrategy,556,-1763.35070679,556,639.230588053,-2402.58129484,baseline
LuxOSC,7465,-1822.98808837,7465,13627.8420376,-15450.8301259,baseline
dualwave,1748,-1846.71679473,1748,665.091819607,-2511.80861434,baseline
eltoro,2119,-1923.65652692,2119,1308.52512746,-3232.18165438,baseline
NostalgiaForInfinityNext_ChangeToTower_V6_Short,1051,-1980.26703998,1051,1438.60681656,-3418.87385654,baseline
thetank4TV,1560,-1995.47141188,1560,3010.44049243,-5005.91190431,baseline
Chandem,8423,-1998.24181794,8423,13097.4631153,-15095.7049332,baseline
BB_Strategy04,1574,-2021.34213762,1574,-4184.69385854,2163.35172092,baseline
cryptotankV2,3896,-2083.25184038,3896,5440.52633188,-7523.77817226,baseline
MultiFactorConfluenceStrategy,2974,-2101.07017111,2974,4542.25148657,-6643.32165768,baseline
Diamond,3439,-2105.96297433,3439,-1920.25573657,-185.707237761,baseline
GKD_HurstExponent,3167,-2194.14613883,3167,-14618.015663,12423.8695242,baseline
Best5m,759,-2216.01979406,759,8383.28467657,-10599.3044706,baseline
BinHV27_combined,1296,-2223.43800621,1296,1879.47127441,-4102.90928063,baseline
conny,2741,-2349.14090053,2741,7604.08748968,-9953.2283902,baseline
cryptohassle,4998,-2351.43599019,4998,-10189.4651073,7838.02911708,baseline
bbrsi4Freq,2404,-2402.61614967,2404,-1568.28714063,-834.329009033,baseline
BinHV27_short,2395,-2450.26553432,2395,-4251.76301385,1801.49747953,baseline
PolymarketMomentumStrategy,724,-2504.27071102,724,-3261.92703303,757.656322014,baseline
SimpleRSI_Shorts,6,-2574.56803918,6,601.343596878,-3175.91163606,baseline
Uptrend,223,-2578.30510456,223,-2430.03749995,-148.267604607,baseline
Strategy003,1772,-2583.95764894,1772,-1010.62775414,-1573.3298948,baseline
HEAD_SHOULDER,265,-2617.98596728,265,-105.232247944,-2512.75371934,baseline
ETCG_Shorts,802,-2843.73502663,802,2957.17213191,-5800.90715854,baseline
Roth03,1716,-2877.47252228,1716,-982.517269322,-1894.95525296,baseline
Strategy004,3165,-2898.4989127,3165,1814.23618083,-4712.73509353,baseline
SmoothScalp,4133,-2942.0759819,4133,-1390.75994564,-1551.31603626,baseline
Strategy005,2910,-3051.22403837,2910,-612.126098631,-2439.09793974,baseline
BinHV45_kanaxe,1778,-3053.27486256,1778,-3131.63404725,78.3591846923,baseline
BBRSIoriginal,1995,-3277.4705946,1995,-5540.45446593,2262.98387132,baseline
WTHO,2622,-3298.37017482,2622,25661.6810811,-28960.0512559,baseline
EMABreakout,6576,-3315.85150214,6576,1473.48415832,-4789.33566046,baseline
MACD003,2025,-3389.53212202,2025,-1621.30695924,-1768.22516278,baseline
LeoStrategy,778,-3441.97085025,778,-4038.58555302,596.614702771,baseline
BinHV45_stash,1680,-3442.04256988,1680,-3162.36755512,-279.675014754,baseline
SimpleHopt,6483,-3521.54417606,6483,-17509.2550717,13987.7108956,baseline
TouchEmaDelayStrategy,1156,-3523.86701882,1156,-2156.66872897,-1367.19828985,baseline
NSeq,3311,-3684.59852821,3311,-2512.89407151,-1171.70445669,baseline
TemaPure,5221,-3732.66750709,5221,6183.44836737,-9916.11587446,baseline
BollingerBounce_Shorts,792,-3778.05794889,792,2643.19709312,-6421.25504201,baseline
BinHV27,5944,-3873.54850901,5944,6655.80890907,-10529.3574181,baseline
eltoro1_4,1324,-3876.53931029,1324,-12651.0521302,8774.51281987,baseline
FSupertrendStrategy,4424,-3900.27820434,4424,-35553.1795743,31652.90137,baseline
MiniLambo,1737,-4155.00933437,1737,-325.428872251,-3829.58046212,baseline
MiniLambo_TBS,1737,-4155.00933437,1737,-325.428872251,-3829.58046212,baseline
KAMACCIRSI,6100,-4221.77897023,6100,-5191.7294721,969.95050187,baseline
TDSequentialStrategy,2287,-4232.08980294,2287,25938.085027,-30170.1748299,baseline
OmaGann,5855,-4247.81268085,5855,-8626.38527012,4378.57258927,baseline
CMCWinner,3120,-4508.33755439,3120,1398.0972763,-5906.43483069,baseline
BollingerBounceStrategy,5961,-4534.53667571,5961,6680.36215198,-11214.8988277,baseline
AdxSmas,3660,-4576.02573323,3660,-3870.0907638,-705.934969425,baseline
MomentumCCITrendStrategy,258,-4609.4608314,258,342.816084073,-4952.27691547,baseline
KamaFama_2_20250115,547,-4685.19477331,547,-1585.26193493,-3099.93283839,baseline
BigZ04_TSL3,765,-4734.55308617,765,857.245645711,-5591.79873188,baseline
BigZ04_TSL4,831,-4740.00430668,831,1033.25220343,-5773.25651011,baseline
FibonacciEMATrendStrategy,976,-4943.19625912,976,19383.9890124,-24327.1852715,baseline
Apollo11,3575,-5021.0836782,3575,-7148.38510032,2127.30142212,baseline
TRIX_spot,7250,-5250.02053264,7250,7231.27163319,-12481.2921658,baseline
SampleStrategyV2,3207,-5298.30253762,3207,-5912.56307636,614.260538743,baseline
CryptoFrogHO2,18312,-5323.34601934,18312,22753.0318588,-28076.3778781,baseline
GoldenCrossStrategy,3220,-5380.34682485,3220,1632.06157332,-7012.40839817,baseline
BBRSI2,12520,-5405.87798641,12520,12704.9197898,-18110.7977762,baseline
CryptoFrog,5326,-5418.27081362,5326,5462.72946896,-10881.0002826,baseline
JustROCR3,592,-5472.11237871,592,6.1703408185,-5478.28271953,baseline
NFI4Frog,7701,-5479.27178833,7701,9416.75455978,-14896.0263481,baseline
MACDStrategy_crossed,2721,-5508.35309994,2721,-5780.08462725,271.731527311,baseline
CombinedBinHAndClucHyperV3,1866,-5638.15154491,1866,-1861.67417796,-3776.47736695,baseline
Patterns2,3467,-5713.91771698,3467,-3790.23703264,-1923.68068434,baseline
HilbertSineWave,2543,-5927.48430472,2543,27796.722169,-33724.2064737,baseline
CryptoFrogHO2A,18321,-5994.19895361,18321,21817.2994798,-27811.4984334,baseline
RSI_EMA_strategy,2505,-6014.50155504,2505,233.466104613,-6247.96765965,baseline
BigZ03HO,8080,-6429.74008064,8080,-2000.59948784,-4429.14059281,baseline
slope_is_dopeCT,3976,-6611.94236468,3976,-8635.24219235,2023.29982768,baseline
quantumfirst,7581,-6655.09123591,7581,7358.87077011,-14013.962006,baseline
TD,9235,-6796.72621452,9235,-12117.4704014,5320.74418692,baseline
ichi,3282,-6849.82803074,3282,7889.82957313,-14739.6576039,baseline
BBRSIOptimizedStrategy,17756,-6853.33983461,17756,13103.8738654,-19957.2137,baseline
StochRSITEMA,2466,-6900.30799269,2466,-196.715798421,-6703.59219427,baseline
Chandemtwo,9547,-7087.65573648,9547,11032.1500988,-18119.8058353,baseline
BinHV27_werkkrew,6071,-7138.0195395,6071,-1710.37524496,-5427.64429454,baseline
STRATEGY_RSI_BB_BOUNDS_CROSS,3458,-7201.35651977,3458,-908.267503198,-6293.08901657,baseline
KeltnerBounce_Shorts,1632,-7360.90709221,1632,3893.46863512,-11254.3757273,baseline
NFI46Frog,7832,-7393.19691181,7832,8247.68137085,-15640.8782827,baseline
CryptoFrogHO3A3,23158,-7439.77156687,23158,18876.1258857,-26315.8974526,baseline
NFI46FrogZ,8186,-7714.01625144,8186,5591.40955548,-13305.4258069,baseline
Cluc4,5276,-7982.1796989,5276,12506.2812629,-20488.4609618,baseline
CryptoFrogHO3A1,22008,-8107.44070367,22008,18440.5901061,-26548.0308098,baseline
TemaPureNeat,6503,-8336.62623111,6503,633.760915878,-8970.38714699,baseline
MontrealStrategy,15663,-8670.97182311,15663,5421.42985923,-14092.4016823,baseline
HourBasedStrategy,6155,-8740.82992882,6155,21447.7691632,-30188.599092,baseline
EMAVolume,8669,-8846.68685152,8669,7854.10698979,-16700.7938413,baseline
TrendFutures,308,-8916.41817566,308,9773.89316986,-18690.3113455,baseline
CombinedBinHAndClucHyperV0,4158,-8975.20260889,4158,-6621.76433616,-2353.43827274,baseline
BBRSINaiveStrategy,11710,-9239.69929206,11710,-19725.6515814,10485.9522894,baseline
Candle2,4124,-9667.07059782,4124,44979.5279942,-54646.598592,baseline
ADX_15M_USDT,5588,-9901.49114374,5588,-10760.4106957,858.91955196,baseline
NormalizerStrategy,1702,-10424.4852791,1702,-11201.0085342,776.523255088,baseline
bbrsi1_strategy,13052,-10844.5822598,13052,-3504.60516431,-7339.97709546,baseline
CryptoFrogHO3A2,22851,-10948.9783812,22851,18415.9938481,-29364.9722293,baseline
TripleSuperTrendADXRSI,5954,-11010.1863301,5954,15563.9919436,-26574.1782738,baseline
CTIBS,3156,-11038.7768238,3156,-6418.51102201,-4620.26580183,baseline
Obelisk_TradePro_Ichi_v2_2,6914,-11060.097102,6914,-8086.96809569,-2973.12900629,baseline
macd_recovery,7823,-11109.8760406,7823,807.538615058,-11917.4146557,baseline
Bandtastic,18781,-11228.6549068,18781,11010.6989397,-22239.3538465,baseline
FReinforcedStrategy,4924,-11316.0581552,4924,1085.42810324,-12401.4862585,baseline
Divergences,4640,-11367.3069318,4640,3645.80820085,-15013.1151326,baseline
AdxSmasS,2967,-11797.6177745,2967,18205.844858,-30003.4626326,baseline
FrostAuraM115mStrategy,19138,-11819.059158,19138,17551.8433676,-29370.9025256,baseline
Sar,7210,-11966.0280298,7210,-9805.77651072,-2160.25151907,baseline
Martin,7210,-11966.0280298,7210,-9805.77651072,-2160.25151907,baseline
SampleStrategy,7210,-11966.0280298,7210,-9805.77651072,-2160.25151907,baseline
stoploss,7210,-11966.0280298,7210,-9805.77651072,-2160.25151907,baseline
bbrsi,2991,-11986.6016567,2991,-9785.86179593,-2200.73986077,baseline
UziChanTB2,8395,-12315.6670817,8395,-24518.5205016,12202.8534199,baseline
Strategy001,8019,-12320.3911669,8019,-10568.5279491,-1751.8632178,baseline
Seb,8019,-12320.3911669,8019,-10568.5279491,-1751.8632178,baseline
MACDRSI200,6657,-12355.4680168,6657,-1338.05489728,-11017.4131195,baseline
CryptoFrogOffset,8645,-12506.9697171,8645,9590.79015626,-22097.7598733,baseline
fahmibah,13776,-12542.1398657,13776,-16205.2398254,3663.09995972,baseline
NWEv6_new,4447,-12651.2834164,4447,725.94924527,-13377.2326616,baseline
FOttStrategy,3667,-13094.2564463,3667,20384.8272555,-33479.0837019,baseline
BigPete,11845,-13147.8421764,11845,-11265.4253365,-1882.41683989,baseline
SmoothOperator,8830,-13483.3635884,8830,16864.4810224,-30347.8446109,baseline
FrayStratBTC,5954,-13541.8271737,5954,-4276.94103604,-9264.88613767,baseline
momentum_long,10308,-13759.7788687,10308,-23267.244418,9507.46554936,baseline
MACDRL,7373,-15043.8350256,7373,616.872951058,-15660.7079766,baseline
momentum_wick,6459,-15332.9952883,6459,15643.9716004,-30976.9668887,baseline
MoneyFlowStrategy,11059,-15405.6659936,11059,12148.933392,-27554.5993856,baseline
EMABBRSI,5046,-15540.1538473,5046,-14033.5904998,-1506.56334741,baseline
Ichi,8756,-15750.8316586,8756,-24689.89813,8939.06647142,baseline
botbaby,6564,-15954.2265552,6564,3098.34178517,-19052.5683403,baseline
BollingerBandStrategy,8619,-16035.1757112,8619,-3362.28085296,-12672.8948582,baseline
MACDStrategy,13341,-16053.4901358,13341,-9958.47674339,-6095.01339239,baseline
Strategy001_custom_exit,10364,-16497.8870593,10364,-1659.01915171,-14838.8679076,baseline
Strategy001_custom_sell,10364,-16497.8870593,10364,-1659.01915171,-14838.8679076,baseline
ORBAlgo,9522,-17072.2806782,9522,-48.9702601829,-17023.310418,baseline
SqueezeMomentum,12629,-17119.2094739,12629,1914.07610015,-19033.2855741,baseline
AdaptiveMAStrategy,8120,-17137.3918741,8120,646.34101574,-17783.7328898,baseline
Simple,12301,-17209.9379646,12301,-35867.4225208,18657.4845561,baseline
GnF_V2,12403,-17223.256697,12403,19978.888492,-37202.145189,baseline
DWT_short,4614,-19257.3843415,4614,10645.4756297,-29902.8599712,baseline
Ichimoku,5980,-19299.9435863,5980,420.79552491,-19720.7391112,baseline
BinHV27F,5134,-19347.7711808,5134,6939.67800388,-26287.4491847,baseline
gettinMoist,12950,-19513.8362629,12950,7997.17036255,-27511.0066254,baseline
hansencandlepatternV1,9067,-20070.6826326,9067,-1018.4055847,-19052.2770479,baseline
STRATEGY_RSI_BB_CROSS,11544,-20894.18036,11544,-8181.1371163,-12713.0432437,baseline
AntigravityGridStrategy,12599,-21002.0056747,12599,6215.84822727,-27217.853902,baseline
BBRSIOptim2020Strategy,24035,-22579.4338898,24035,18763.8060744,-41343.2399641,baseline
TemaStrategy,11204,-22815.6073079,11204,767.294520599,-23582.9018285,baseline
MFI,14382,-23241.301777,14382,102.684067991,-23343.985845,baseline
Cluc4werk,3507,-23548.3878663,3507,3041.35372666,-26589.741593,baseline
Cluc7werk,2400,-23877.8304741,2400,680.840202236,-24558.6706763,baseline
FVGChannel,11611,-23965.8936748,11611,-36369.0642679,12403.1705931,baseline
IchimokuCloudBreakoutStrategy,4940,-24155.6349533,4940,16403.851991,-40559.4869444,baseline
CofiBitStrategy,19287,-24620.7974345,19287,10400.1429779,-35020.9404124,baseline
MACD_TRIPLE_MA,10227,-24784.8405454,10227,-3600.27769622,-21184.5628492,baseline
AlmgrenChrissStrategy,9621,-28232.7588974,9621,18908.4995555,-47141.2584529,baseline
Babico_SMA5xBBmid,70,21330.6840044,70,21544.0961047,-213.412100323,detail_5m
ActionZone,320,17773.8852346,320,21686.243188,-3912.35795339,detail_5m
AlligatorStrategy,1019,15924.9771486,1019,17329.0441897,-1404.06704105,detail_5m
AdaptiveRegimeLong,102,14035.2278201,102,15589.698271,-1554.47045089,detail_5m
AverageStrategy,1518,12547.8029735,1518,13337.636872,-789.833898465,detail_5m
ADX_15M_USDT2,4125,6132.88451867,4125,6500.49797945,-367.613460786,detail_5m
BB10fall,1600,6052.99642797,1600,7974.91443551,-1921.91800754,detail_5m
BBRSIv2,417,5334.48075259,417,5439.45464261,-104.973890014,detail_5m
AlligatorStrat,2727,3703.67634286,2727,3186.35224861,517.324094252,detail_5m
AdaptiveRegime,185,2580.64068233,185,17808.5247266,-15227.8840442,detail_5m
BBRSIStrategy,7893,1528.20575702,7893,2634.05031103,-1105.84455401,detail_5m
AwesomeMacd,2702,1028.49597091,2702,3783.6367498,-2755.14077889,detail_5m
ADXMomentum,44,-276.745996729,44,-374.444913353,97.6989166237,detail_5m
BBRSI,435,-363.31341193,435,141.479732363,-504.793144293,detail_5m
BB_Strategy04,1578,-1456.57907869,1578,58.796183656,-1515.37526235,detail_5m
BBRSIoriginal,1998,-3312.09889354,1998,-1286.66470482,-2025.43418872,detail_5m
AdxSmas,3660,-4576.02573172,3660,1195.83300145,-5771.85873317,detail_5m
Apollo11,3603,-5100.57167784,3603,2996.96817925,-8097.53985709,detail_5m
BBRSINaiveStrategy,11721,-8905.96847106,11721,-6484.88715855,-2421.08131251,detail_5m
ADX_15M_USDT,5588,-9901.12666072,5588,-4565.73755871,-5335.38910201,detail_5m
AdxSmasS,2967,-11797.6177743,2967,12707.330257,-24504.9480313,detail_5m
AntigravityGridStrategy,12662,-18260.5527481,12662,5703.43284028,-23963.9855884,detail_5m
AlmgrenChrissStrategy,10608,-24105.8352665,10608,19463.1626865,-43568.997953,detail_5m
BB_RSI,5988,-25317.7109684,5988,3543.74119345,-28861.4521619,detail_5m
BBRSI4cust,15392,-26751.0413032,15392,-17394.2068763,-9356.83442691,detail_5m
CustomStoplossWithPSAR,40,50935.9368012,40,53123.8605394,-2187.92373825,detail_5m
CrossEMAStrategy,2138,14870.6758898,2138,17917.1189222,-3046.44303237,detail_5m
EMAPriceCrossoverWithThreshold,1068,10258.9139144,1068,14446.7957383,-4187.88182393,detail_5m
FLAGS,154,8181.46343417,154,1845.62901659,6335.83441757,detail_5m
Chispei,2271,6388.76892138,2271,6517.88147099,-129.112549608,detail_5m
EmaCrossStrategy,1112,3864.30369986,1112,5018.96595674,-1154.66225688,detail_5m
DoubleEMACrossoverWithTrend,2613,3179.60880721,2613,6446.72124048,-3267.11243327,detail_5m
Cenderawasih_30m,14,313.91750141,14,320.620497541,-6.70299613177,detail_5m
BuyOnly,1386,-63.2812136123,1386,-252.654491579,189.373277967,detail_5m
BigWill,1957,-767.046665365,1957,3228.49085477,-3995.53752013,detail_5m
FAdxSmaStrategy,558,-1956.68103501,558,420.580069845,-2377.26110486,detail_5m
CMCWinner,3272,-3997.84321936,3272,2160.87638035,-6158.71959971,detail_5m
Candle2,4088,-4088.47427464,4088,26652.0083699,-30740.4826446,detail_5m
EMA520015_V17,4570,-4241.3149516,4570,1037.38841044,-5278.70336204,detail_5m
CTIBS,3260,-7095.44602847,3260,317.075024001,-7412.52105248,detail_5m
EMAVolume,8669,-8846.68685206,8669,7976.94315924,-16823.6300113,detail_5m
Bandtastic,18788,-10654.6456175,18788,16457.3240211,-27111.9696386,detail_5m
Divergences,4640,-11204.2603461,4640,1991.82035495,-13196.080701,detail_5m
FOttStrategy,3740,-12247.2881788,3740,19760.84368,-32008.1318587,detail_5m
EMABBRSI,5442,-12474.3556862,5442,-4118.07449289,-8356.28119333,detail_5m
FRAYSTRAT,7749,-24337.3140738,7749,4498.44400585,-28835.7580796,detail_5m
BbRoi,7677,-25525.518947,7677,-18609.8560599,-6915.66288703,detail_5m
EMA_Trailing_Stoploss,9295,-27039.6236852,9295,-5319.59468315,-21720.0290021,detail_5m
CompleteIndicatorStrategy2,4010,-31950.2680172,4010,1388.75294025,-33339.0209575,detail_5m
EDTMA_Long_Short_prot_CE_1h_3Lev_3mt_March,6510,-32384.1374731,6510,11605.3427189,-43989.480192,detail_5m
FSampleStrategy,665,14448.4230279,665,28068.7168477,-13620.2938197,detail_5m
FastSupertrend_optim3_rsi_75sell,9629,11851.453421,9629,19983.0493649,-8131.59594386,detail_5m
FastSupertrend_optim3_rsi_75,9621,11700.7734322,9621,20212.6351314,-8511.86169922,detail_5m
FastSupertrend_optim_quick,17478,11100.2704004,17478,20518.9431066,-9418.6727062,detail_5m
FastSupertrend_optim3_rsi_752,12165,10163.7961189,12165,11536.1197589,-1372.32364004,detail_5m
FastSupertrend_optim3_rsi_70,9932,8525.90642381,9932,15693.2725289,-7167.36610512,detail_5m
FastSupertrend_optim3,10697,7423.40736906,10697,18284.6956986,-10861.2883296,detail_5m
FastSupertrend_optim3_rsi_80,10651,7297.86682071,10651,18292.6327751,-10994.7659544,detail_5m
FlawlessVictory,6370,6663.31698715,6370,17875.6775474,-11212.3605603,detail_5m
FastSupertrendOpt,3605,4189.27328735,3605,1248.27851484,2940.99477251,detail_5m
FastSupertrend_optim3_rsi_75fix_signal,7153,4124.29015278,7153,13018.99486,-8894.70470717,detail_5m
FenixTopProfit,1602,4058.70899403,1602,37.9170907609,4020.79190327,detail_5m
Freqtrade_backtest_validation_freqtrade1,5378,2322.2549364,5378,10272.7760956,-7950.52115918,detail_5m
FastSupertrend_ts_origstop_fix,1798,-1.27613484132,1798,25340.6543888,-25341.9305237,detail_5m
Fibbo,65,-847.064208102,65,-112.298935443,-734.765272659,detail_5m
FSupertrendStrategyBTC,4495,-1183.74165393,4495,-7629.86728137,6446.12562744,detail_5m
FSupertrendStrategyETH,4495,-1183.74165393,4495,-7629.86728137,6446.12562744,detail_5m
FSupertrendStrategy,4426,-4175.72331367,4426,-8567.36601936,4391.64270569,detail_5m
FrostAuraM115mStrategy,19161,-11919.3763808,19161,18930.9590333,-30850.3354141,detail_5m
FrayStratBTC,6822,-13772.793224,6822,5396.59222841,-19169.3854524,detail_5m
FVGChannel,11686,-24907.5976208,11686,-14469.3913332,-10438.2062876,detail_5m
FastSupertrend_optim_quick3,14554,-26231.1096013,14554,6534.89120087,-32766.0008022,detail_5m
FastSupertrend_optim_quick5,16888,-26392.1606195,16888,6194.68435734,-32586.8449768,detail_5m
FastSupertrend_optim_quick4,14400,-26441.2342538,14400,9188.97642335,-35630.2106772,detail_5m
FastSupertrend_optim_quick2,13654,-26650.6217095,13654,1900.38844198,-28551.0101514,detail_5m
Ichimoku_v30,61,50286.5055532,61,50346.228547,-59.7229937768,detail_5m
Ichimoku_v32,162,31920.0248734,162,32314.8720094,-394.847136025,detail_5m
Ichimoku_SenkouSpanCross,172,21710.2076141,172,22526.2599377,-816.052323618,detail_5m
HansenSmaOffsetV1,67,21258.7239896,67,21534.0421685,-275.318178933,detail_5m
Ichimoku_v12,392,14484.9704242,392,11899.3322373,2585.63818688,detail_5m
GKD_FisherTransformMTF,2501,14149.0886412,2501,23338.5541537,-9189.46551259,detail_5m
