strategy_id,btc_regime,trades,long_trades,short_trades,profit_abs,mean_profit_ratio,wins,gross_profit,gross_loss,mean_duration_minutes,active_dates,profit_factor,win_rate
ClucHAnix_5M_E0V1E,BULL,1557,1557,0,730.70796358,0.00416311674785,1149,2945.43501726,2214.72705368,153.041104689,299,1.32993138471,0.73795761079
ClucHAnix_5M_E0V1E,SIDEWAYS,537,537,0,-108.19382685,-0.00220264392399,359,834.50745112,942.70127797,219.459962756,134,0.885229998751,0.66852886406
ClucHAnix_5M_E0V1E,TRANSITION,924,924,0,-138.14071065,-0.00123931379819,596,1540.76638884,1678.90709949,212.532467532,187,0.917719860323,0.645021645022
ClucHAnix_5m,BEAR,575,575,0,183.23765554,0.00164893885687,366,1215.19594815,1031.95829261,121.6,154,1.17756304383,0.63652173913
ClucHAnix_5m,BULL,961,961,0,595.15492147,0.00381215317357,567,1618.92840765,1023.77348618,80.7596253902,185,1.58133457206,0.590010405827
ClucHAnix_5m,SIDEWAYS,308,308,0,206.18022754,0.0029778790895,202,618.30318626,412.12295872,111.769480519,84,1.50028813775,0.655844155844
ClucHAnix_5m,TRANSITION,517,517,0,224.31853483,0.00218742083757,305,1003.34282741,779.02429258,120.473887814,124,1.2879480614,0.589941972921
ClucHAnix_5m1,BEAR,611,611,0,-47.57600189,-0.000119236630554,369,665.08756537,712.66356726,103.314238953,154,0.933241989523,0.603927986907
ClucHAnix_5m1,BULL,1066,1066,0,-57.67634677,-0.000145733885457,574,1148.39056853,1206.0669153,58.6726078799,185,0.952178153601,0.538461538462
ClucHAnix_5m1,SIDEWAYS,330,330,0,-20.02608361,-0.00100259378186,202,335.51404499,355.5401286,79.7424242424,84,0.943674195965,0.612121212121
ClucHAnix_5m1,TRANSITION,560,560,0,-12.52318989,-0.000520703528109,314,620.85903615,633.38222604,94.7410714286,125,0.980228068652,0.560714285714
ClucHAnix_5m_old,BEAR,575,575,0,183.23765554,0.00164893885687,366,1215.19594815,1031.95829261,121.6,154,1.17756304383,0.63652173913
ClucHAnix_5m_old,BULL,961,961,0,595.15492147,0.00381215317357,567,1618.92840765,1023.77348618,80.7596253902,185,1.58133457206,0.590010405827
ClucHAnix_5m_old,SIDEWAYS,308,308,0,206.18022754,0.0029778790895,202,618.30318626,412.12295872,111.769480519,84,1.50028813775,0.655844155844
