candidate_id,strategy_id,model,total_trades,trade_count_long,trade_count_short,profit_total,profit_total_abs,profit_factor,expectancy,max_drawdown_account,max_drawdown_abs,cagr,sharpe,sortino,market_change,backtest_start,backtest_end,position_time_days,mean_open_positions,slot_utilization,time_weighted_gross_capital_exposure
ADX_15M_USDT-trend,ADX_15M_USDT,model3,1603,1603,0,-0.51903469443,-519.03469443,0.715292284745,-0.323789578559,0.528772335337,539.69910282,-0.10824597836,-1.0640554674,-0.796175898935,5.45302345029,2020-04-01T00:00:00+00:00,2026-08-20T23:45:00+00:00,1640.01041667,0.702965168976,0.087870646122,0.0586629299214
AdaptiveRegime-trend,AdaptiveRegime,model0,336,157,179,-0.11692808326,-116.92808326,0.964687652079,-0.348000247798,0.64226845719,1105.44495414,-0.0203916938684,-0.0291151949042,-0.0822349469329,2.1157063636,2020-08-08T00:00:00+00:00,2026-08-20T00:00:00+00:00,7295,3.31139355424,0.413924194281,0.362351918765
AdaptiveRegime-trend,AdaptiveRegime,model1,180,106,74,0.30403748108,304.03748108,1.13271267943,1.68909711711,0.412679087796,690.50456169,0.0449647095316,0.0516293235922,0.189443464813,2.1157063636,2020-08-08T00:00:00+00:00,2026-08-20T00:00:00+00:00,4129,1.8742623695,0.234282796187,0.259974449823
AdaptiveRegime-trend,AdaptiveRegime,model2,170,87,83,-0.00028185432,-0.28185432,0.999835412847,-0.00165796658824,0.427970649397,541.21996172,-4.67040058677e-05,-6.6348018267e-05,-0.000222144061103,2.1157063636,2020-08-08T00:00:00+00:00,2026-08-20T00:00:00+00:00,3848,1.74670903314,0.218338629142,0.182659776037
AdaptiveRegime-trend,AdaptiveRegime,model3,128,71,57,0.31307047523,313.07047523,1.21355848149,2.44586308773,0.284454232979,387.80432693,0.0461605415627,0.0562754983117,0.237876082038,2.1157063636,2020-08-08T00:00:00+00:00,2026-08-20T00:00:00+00:00,2965,1.3458919655,0.168236495688,0.173001437158
BBMod-trend,BBMod,model0,6101,6101,0,1.86494528191,1864.94528191,1.16271316343,0.30567862349,0.286842212989,739.24035957,0.179089952846,1.97217969116,2.09520349268,5.41901353745,2020-04-01T00:00:00+00:00,2026-08-20T23:55:00+00:00,187.111111111,0.0802020529749,0.0100252566219,0.0203401467454
BBMod-trend,BBMod,model1,2089,2089,0,0.96109700143,961.09700143,1.36432069374,0.460075156261,0.133968461469,222.47892221,0.111172215137,1.21578271739,1.41284122054,5.41901353745,2020-04-01T00:00:00+00:00,2026-08-20T23:55:00+00:00,55.4618055556,0.0237727767252,0.00297159709065,0.00416941134263
BBMod-trend,BBMod,model2,2154,2154,0,0.67220214318,672.20214318,1.25110690526,0.312071561365,0.108326299005,170.60448229,0.0837989224716,1.11332902781,1.10659681223,5.41901353745,2020-04-01T00:00:00+00:00,2026-08-20T23:55:00+00:00,59.0138888889,0.0252953179254,0.00316191474067,0.00427481334602
BBMod-trend,BBMod,model3,1351,1351,0,0.47645619592,476.45619592,1.32415000268,0.352669278993,0.108322862087,146.90087486,0.062884481878,0.911937014474,0.837652394162,5.41901353745,2020-04-01T00:00:00+00:00,2026-08-20T23:55:00+00:00,34.8993055556,0.0149590044992,0.0018698755624,0.00223702077559
AlmgrenChrissStrategy-trend,AlmgrenChrissStrategy,model0,11145,5818,5327,-0.96611478341,-966.11478341,0.848529650126,-0.0866859383948,0.967051709834,994.55105186,-0.407158591684,-4.29455263775,-3.17677275941,3.91459338886,2020-03-01T00:00:00+00:00,2026-08-20T23:45:00+00:00,7054.19791667,2.98402241973,0.373002802466,0.0471211377429
AlmgrenChrissStrategy-trend,AlmgrenChrissStrategy,model1,9616,4750,4866,-0.15307835325,-153.07835325,0.987451573648,-0.0159191299137,0.456102799774,643.9919972,-0.0253373376574,-0.312744318637,-0.24435419653,3.91459338886,2020-03-01T00:00:00+00:00,2026-08-20T23:45:00+00:00,9269.52083333,3.92113438176,0.49014179772,0.130318146161
AlmgrenChrissStrategy-trend,AlmgrenChrissStrategy,model2,7819,3858,3961,-0.63942884327,-639.42884327,0.918083622971,-0.0817788519338,0.693895434157,790.75308384,-0.145777982272,-1.70850960002,-1.34667355723,3.91459338886,2020-03-01T00:00:00+00:00,2026-08-20T23:45:00+00:00,7489.57291667,3.16819201297,0.396024001622,0.0846944189769
AlmgrenChrissStrategy-trend,AlmgrenChrissStrategy,model3,5717,2679,3038,-0.14446234852,-144.46234852,0.979644903907,-0.0252689082596,0.286666760421,328.46877807,-0.0238122812193,-0.314406072294,-0.254929272825,3.91459338886,2020-03-01T00:00:00+00:00,2026-08-20T23:45:00+00:00,5595.88541667,2.36713624126,0.295892030157,0.0943723809274
