strategy_id,btc_regime,coin_regime,trades,long_trades,short_trades,profit_abs,mean_profit_ratio,wins,gross_profit,gross_loss,mean_duration_minutes,active_dates,profit_factor,win_rate
BigZ03,SIDEWAYS,TRANSITION,27,27,0,28.26742794,0.00534936864426,24,90.91611041,62.64868247,17527.037037,21,1.45120546555,0.888888888889
BigZ03,TRANSITION,BEAR,29,29,0,105.74770214,0.0146394337427,29,105.74770214,0,478.275862069,21,,1
BigZ03,TRANSITION,BULL,31,31,0,84.41360147,0.0107879149775,29,98.05991011,13.64630864,718.225806452,26,7.18581945469,0.935483870968
BigZ03,TRANSITION,SIDEWAYS,59,59,0,155.96924455,0.0101654324152,56,178.26693606,22.29769151,2433.47457627,39,7.994860633,0.949152542373
BigZ03,TRANSITION,TRANSITION,56,56,0,-71.52077297,-0.0087874188575,51,149.77995423,221.3007272,12140.3571429,42,0.676816367145,0.910714285714
BigZ03HO,BEAR,BEAR,1516,1516,0,147.64943689,0.0021945015409,1245,531.11103052,383.46159363,552.140501319,301,1.38504361152,0.821240105541
BigZ03HO,BEAR,BULL,334,334,0,-141.82436714,-0.00567477812881,255,115.05494296,256.8793101,1941.9760479,106,0.447894939126,0.763473053892
BigZ03HO,BEAR,SIDEWAYS,202,202,0,-76.77833822,-0.0077111820754,158,48.50043631,125.27877453,3309.95049505,81,0.387140092102,0.782178217822
BigZ03HO,BEAR,TRANSITION,283,283,0,-118.89971441,-0.00635036553465,229,116.19598194,235.09569635,3705.86572438,75,0.494249719344,0.809187279152
BigZ03HO,BULL,BEAR,202,202,0,-5.48622733,-0.0007639763952,154,92.43188507,97.9181124,1420.07425743,65,0.94397127155,0.762376237624
BigZ03HO,BULL,BULL,3626,3626,0,-104.42965989,-0.000706702706009,2851,1501.35698539,1605.78664528,1669.95173745,534,0.934966665592,0.786265857694
BigZ03HO,BULL,SIDEWAYS,685,685,0,-97.96582734,-0.00374399046068,524,272.6292776,370.59510494,2874.4379562,227,0.735652667739,0.76496350365
BigZ03HO,BULL,TRANSITION,802,802,0,21.35989802,-0.00086712036697,645,337.20045101,315.84055299,1358.3042394,241,1.06762873804,0.804239401496
BigZ03HO,SIDEWAYS,BEAR,36,36,0,-2.98454419,-0.00109737104122,27,6.09716422,9.08170841,2161.80555556,17,0.671367538434,0.75
BigZ03HO,SIDEWAYS,BULL,563,563,0,-25.72692574,7.21587016229e-05,441,235.54997574,261.27690148,1648.88987567,141,0.901533868496,0.783303730018
BigZ03HO,SIDEWAYS,SIDEWAYS,798,798,0,62.690058,0.00159563348561,647,306.36237114,243.67231314,2231.48496241,217,1.25727197806,0.810776942356
BigZ03HO,SIDEWAYS,TRANSITION,365,365,0,8.87383494,0.000900921516086,294,163.77281926,154.89898432,567.739726027,121,1.05728788332,0.805479452055
BigZ03HO,TRANSITION,BEAR,212,212,0,-223.74390412,-0.00985305218893,165,109.00906354,332.75296766,2682.75943396,46,0.327597569772,0.778301886792
BigZ03HO,TRANSITION,BULL,679,679,0,-146.50156313,-0.00449647428282,526,319.17627305,465.67783618,2268.69661267,141,0.685401469111,0.774668630339
BigZ03HO,TRANSITION,SIDEWAYS,464,464,0,21.84239251,0.000348292195666,386,224.07003924,202.22764673,3608.59913793,124,1.10800893381,0.831896551724
BigZ03HO,TRANSITION,TRANSITION,482,482,0,-248.83383594,-0.00452789581069,375,224.98190922,473.81574516,3759.906639,152,0.474829955564,0.778008298755
BigZ04_TSL3,BEAR,BEAR,308,308,0,-385.46044087,-0.01436861565,144,135.12994063,520.5903815,434.529220779,79,0.259570567248,0.467532467532
BigZ04_TSL3,BEAR,BULL,36,36,0,-46.68823337,-0.0177804796379,12,7.24866454,53.93689791,392.222222222,16,0.134391572761,0.333333333333
BigZ04_TSL3,BEAR,SIDEWAYS,30,30,0,-40.6512862,-0.0195692953038,14,11.62521879,52.27650499,588.833333333,16,0.222379418674,0.466666666667
BigZ04_TSL3,BEAR,TRANSITION,37,37,0,-16.7969041,-0.00603356241314,22,18.70292845,35.49983255,488.378378378,23,0.526845540008,0.594594594595
BigZ04_TSL3,BULL,BEAR,20,20,0,-6.29520184,-0.00217328621425,10,8.34035783,14.63555967,2333.5,9,0.569869415182,0.5
BigZ04_TSL3,BULL,BULL,204,204,0,-35.03670614,-0.00297904361804,118,112.50167858,147.53838472,925.392156863,88,0.762524808669,0.578431372549
BigZ04_TSL3,BULL,SIDEWAYS,84,84,0,-21.31838703,-0.00845170871255,50,44.07169035,65.39007738,1925.77380952,39,0.673981315145,0.595238095238
BigZ04_TSL3,BULL,TRANSITION,41,41,0,-6.15218042,-0.00240569215576,22,20.41615703,26.56833745,567.804878049,30,0.768439390249,0.536585365854
BigZ04_TSL3,SIDEWAYS,BEAR,31,31,0,-7.50943076,-0.00680922600703,22,16.45869286,23.96812362,993.709677419,16,0.68669092003,0.709677419355
BigZ04_TSL3,SIDEWAYS,BULL,23,23,0,-3.98033899,-0.0026048695481,16,13.46760902,17.44794801,370,18,0.771873518438,0.695652173913
BigZ04_TSL3,SIDEWAYS,SIDEWAYS,116,116,0,-20.35794307,-0.00401247817094,86,59.80466247,80.16260554,1400.21551724,58,0.746041899052,0.741379310345
BigZ04_TSL3,SIDEWAYS,TRANSITION,78,78,0,-23.00994961,-0.0092349878861,45,35.9470124,58.95696201,1014.42307692,30,0.609716158609,0.576923076923
BigZ04_TSL3,TRANSITION,BEAR,58,58,0,-29.49368846,-0.0120012043114,33,26.87470865,56.36839711,588.706896552,23,0.476769076785,0.568965517241
BigZ04_TSL3,TRANSITION,BULL,37,37,0,-9.36294098,-0.00231688881639,26,23.87099493,33.23393591,930.675675676,30,0.718271678523,0.702702702703
BigZ04_TSL3,TRANSITION,SIDEWAYS,91,91,0,-24.27176,-0.00377670801817,62,44.85952496,69.13128496,945.494505495,46,0.648903387026,0.681318681319
BigZ04_TSL3,TRANSITION,TRANSITION,109,109,0,-71.88889235,-0.00891689670597,71,53.16714823,125.05604058,2617.33944954,56,0.425146582152,0.651376146789
BigZ04_TSL4,BEAR,BEAR,334,334,0,-387.11802658,-0.0133013193087,159,146.72077882,533.8388054,414.326347305,86,0.274840976969,0.476047904192
BigZ04_TSL4,BEAR,BULL,40,40,0,-44.86586334,-0.0147451284602,16,8.89629324,53.76215658,365.75,18,0.165475007067,0.4
BigZ04_TSL4,BEAR,SIDEWAYS,35,35,0,-37.72958322,-0.0153738146104,18,14.78482211,52.51440533,535.428571429,19,0.281538408692,0.514285714286
BigZ04_TSL4,BEAR,TRANSITION,38,38,0,-16.16642321,-0.00567778424848,23,19.18756191,35.35398512,471.973684211,24,0.542726989472,0.605263157895
BigZ04_TSL4,BULL,BEAR,25,25,0,-0.62664352,0.00115661025243,15,13.97718244,14.60382596,1923.4,12,0.957090455493,0.6
BigZ04_TSL4,BULL,BULL,230,230,0,-40.01568919,-0.00299546362645,138,129.25243613,169.26812532,889.717391304,102,0.763595838766,0.6
BigZ04_TSL4,BULL,SIDEWAYS,84,84,0,-25.21834492,-0.00971428692939,48,42.71159587,67.92994079,2009.10714286,39,0.628759503884,0.571428571429
BigZ04_TSL4,BULL,TRANSITION,41,41,0,-6.06732446,-0.00240569215742,22,20.41019451,26.47751897,567.804878049,30,0.770849962684,0.536585365854
BigZ04_TSL4,SIDEWAYS,BEAR,34,34,0,-5.25878651,-0.00514803616889,25,18.61416924,23.87295575,1079.55882353,19,0.779717829452,0.735294117647
BigZ04_TSL4,SIDEWAYS,BULL,25,25,0,-4.10669938,-0.00217137613172,17,13.8029059,17.90960528,346.4,20,0.77069849861,0.68
BigZ04_TSL4,SIDEWAYS,SIDEWAYS,119,119,0,-18.09921992,-0.0033587477387,89,61.16668786,79.26590778,1441.30252101,60,0.771664509662,0.747899159664
BigZ04_TSL4,SIDEWAYS,TRANSITION,79,79,0,-22.22606894,-0.00891151485146,46,36.20742714,58.43349608,1054.81012658,31,0.619634791155,0.582278481013
BigZ04_TSL4,TRANSITION,BEAR,59,59,0,-28.81092476,-0.0116096249886,34,27.286991,56.09791576,579.237288136,24,0.486417198042,0.576271186441
BigZ04_TSL4,TRANSITION,BULL,43,43,0,-8.40517729,-0.0012810217487,30,28.92209315,37.32727044,889.76744186,33,0.774824754371,0.697674418605
BigZ04_TSL4,TRANSITION,SIDEWAYS,101,101,0,-31.0295837,-0.00461622080051,68,49.59521471,80.62479841,917.623762376,52,0.615135984065,0.673267326733
BigZ04_TSL4,TRANSITION,TRANSITION,111,111,0,-74.1450699,-0.00935403564669,72,53.98203845,128.12710835,2652.52252252,57,0.421316293993,0.648648648649
BinClucMad,BEAR,BEAR,289,289,0,558.6700044,0.00676996268686,210,1213.29607276,654.62606836,249.532871972,119,1.85341851081,0.726643598616
BinClucMad,BEAR,BULL,50,50,0,148.57878934,0.0110819416856,38,299.66274842,151.08395908,136.5,25,1.98341869147,0.76
BinClucMad,BEAR,SIDEWAYS,34,34,0,105.17436234,0.0115484025736,26,189.45823547,84.28387313,258.382352941,21,2.24785867609,0.764705882353
BinClucMad,BEAR,TRANSITION,43,43,0,-4.46666827,0.000358107065126,28,165.01840365,169.48507192,341.860465116,35,0.973645653748,0.651162790698
BinClucMad,BULL,BEAR,38,38,0,47.58362335,0.0075774204667,25,142.49980668,94.91618333,180.526315789,18,1.50132255302,0.657894736842
BinClucMad,BULL,BULL,422,422,0,961.1731,0.00944974085839,335,1644.84449893,683.67139893,233.732227488,197,2.40589923976,0.793838862559
BinClucMad,BULL,SIDEWAYS,179,179,0,269.174022,0.00506326390906,133,635.93927063,366.76524863,298.966480447,93,1.73391364914,0.743016759777
BinClucMad,BULL,TRANSITION,104,104,0,284.79593063,0.011271378418,88,438.13424974,153.33831911,216.490384615,72,2.85730437299,0.846153846154
BinClucMad,SIDEWAYS,BEAR,54,54,0,35.94238183,0.000939846095757,38,168.12103229,132.17865046,313.518518519,37,1.27192274777,0.703703703704
BinClucMad,SIDEWAYS,BULL,62,62,0,111.31553902,0.00818671441532,50,229.04108497,117.72554595,220.967741935,46,1.94555126605,0.806451612903
BinClucMad,SIDEWAYS,SIDEWAYS,238,238,0,269.76775883,0.00382519055755,163,715.62949336,445.86173453,352.710084034,140,1.60504801811,0.68487394958
BinClucMad,SIDEWAYS,TRANSITION,89,89,0,-58.96509084,-0.0013269072716,56,292.94895146,351.9140423,358.202247191,64,0.832444620696,0.629213483146
BinClucMad,TRANSITION,BEAR,57,57,0,-68.04902418,-0.0014375818707,39,187.74193563,255.79095981,390.438596491,33,0.733966265928,0.684210526316
BinClucMad,TRANSITION,BULL,76,76,0,96.99416039,0.00524996449269,55,294.06326674,197.06910635,175.197368421,45,1.49218348927,0.723684210526
BinClucMad,TRANSITION,SIDEWAYS,139,139,0,30.64160784,0.000196059081413,86,444.33730384,413.695696,360.755395683,73,1.07406798798,0.618705035971
BinClucMad,TRANSITION,TRANSITION,155,155,0,-305.02679189,-0.00513056321419,86,337.29714312,642.32393501,445.096774194,95,0.525119997459,0.554838709677
BuyRegions,BEAR,BEAR,3153,3153,0,-718.25813759,-0.0023769238257,2548,2775.13546591,3493.3936035,1067.19314938,490,0.794395301786,0.808119251507
BuyRegions,BEAR,BULL,353,353,0,-581.34578728,-0.0113007015747,246,509.40278197,1090.74856925,744.688385269,120,0.467021269916,0.696883852691
BuyRegions,BEAR,SIDEWAYS,422,422,0,-263.89026922,-0.00259186088636,339,358.7961362,622.68640542,1088.11611374,176,0.576206792178,0.803317535545
BuyRegions,BEAR,TRANSITION,690,690,0,-126.29467808,-0.00189591688021,562,796.85557799,923.15025607,1019.91304348,252,0.863191634028,0.814492753623
BuyRegions,BULL,BEAR,343,343,0,83.80596209,0.00251865804235,287,510.99048449,427.1845224,950.072886297,113,1.19618211264,0.836734693878
BuyRegions,BULL,BULL,3010,3010,0,51.09123168,0.00127359612341,2529,3850.67978794,3799.58855626,1080.6179402,557,1.01344651689,0.840199335548
BuyRegions,BULL,SIDEWAYS,962,962,0,320.136578,0.00163612105021,823,944.04137718,623.90479918,1501.47609148,319,1.51311767183,0.855509355509
BuyRegions,BULL,TRANSITION,787,787,0,75.36082718,0.000208911892026,657,822.47891142,747.11808424,1316.78526048,318,1.10086869635,0.834815756036
BuyRegions,SIDEWAYS,BEAR,396,396,0,35.41560839,6.46597367998e-05,342,142.67361776,107.25800937,1882.26010101,178,1.33019080438,0.863636363636
BuyRegions,SIDEWAYS,BULL,414,414,0,171.29688455,0.00424094513169,360,764.71330453,593.41641998,1085.56763285,158,1.28866219198,0.869565217391
BuyRegions,SIDEWAYS,SIDEWAYS,1544,1544,0,522.80612077,0.00137690018138,1342,1157.21694164,634.41082087,1603.76619171,426,1.8240813422,0.869170984456
BuyRegions,SIDEWAYS,TRANSITION,646,646,0,247.86370226,0.00210943930189,565,647.7279162,399.86421394,1466.43962848,292,1.6198696798,0.874613003096
BuyRegions,TRANSITION,BEAR,634,634,0,-238.34238069,-0.00563809082181,507,337.1765236,575.51890429,1392.6340694,205,0.585865244541,0.799684542587
BuyRegions,TRANSITION,BULL,552,552,0,-282.75773172,-0.00615821811088,419,1217.74776228,1500.505494,1069.36594203,158,0.811558349602,0.759057971014
BuyRegions,TRANSITION,SIDEWAYS,940,940,0,-31.82705949,-0.00476008193238,751,812.7901946,844.61725409,1451.40957447,298,0.962317772534,0.798936170213
BuyRegions,TRANSITION,TRANSITION,934,934,0,-232.51228302,-0.00499740878972,745,914.47600231,1146.98828533,1590.00535332,320,0.797284518078,0.797644539615
Cluc7werk,BEAR,BEAR,404,404,0,-279.92609494,-0.00893476603402,68,58.0407453,337.96684024,2.07178217822,51,0.171735029563,0.168316831683
Cluc7werk,BEAR,BULL,73,73,0,-25.0547653,-0.0104069692449,15,3.03884017,28.09360547,6.30136986301,18,0.108168393453,0.205479452055
Cluc7werk,BEAR,SIDEWAYS,54,54,0,-25.98021046,-0.0140504854524,6,1.44006791,27.42027837,4.40740740741,15,0.0525183548675,0.111111111111
Cluc7werk,BEAR,TRANSITION,48,48,0,-14.93168042,-0.00907063298104,10,2.82827357,17.75995399,2.0625,18,0.159250050512,0.208333333333
Cluc7werk,BULL,BEAR,62,62,0,-36.09011998,-0.0089846949447,9,4.67035479,40.76047477,3.70967741935,14,0.114580480634,0.145161290323
Cluc7werk,BULL,BULL,564,564,0,-264.40556175,-0.00890144962026,121,55.08678555,319.4923473,5.79255319149,97,0.172419734042,0.214539007092
Cluc7werk,BULL,SIDEWAYS,133,133,0,-20.05581981,-0.00875954401317,35,12.39737206,32.45319187,6.84210526316,40,0.382007788622,0.263157894737
Cluc7werk,BULL,TRANSITION,109,109,0,-39.96345634,-0.00904737880171,22,15.38130126,55.3447576,11.6605504587,38,0.2779179443,0.201834862385
Cluc7werk,SIDEWAYS,BEAR,28,28,0,-0.08761973,-0.00647729562367,8,5.72064802,5.80826775,20.3571428571,12,0.984914653771,0.285714285714
Cluc7werk,SIDEWAYS,BULL,53,53,0,-18.03153214,-0.00869207058814,12,6.25898109,24.29051323,4.98113207547,18,0.257671833886,0.22641509434
Cluc7werk,SIDEWAYS,SIDEWAYS,115,115,0,-15.45832234,-0.00648958122203,33,9.40721471,24.86553705,18.652173913,33,0.378323407658,0.286956521739
Cluc7werk,SIDEWAYS,TRANSITION,78,78,0,-12.19523741,-0.00895453870618,18,8.84043385,21.03567126,10.4487179487,30,0.420259175033,0.230769230769
Cluc7werk,TRANSITION,BEAR,64,64,0,-18.05687734,-0.00939335545615,10,2.87208144,20.92895878,13.390625,22,0.137230020384,0.15625
Cluc7werk,TRANSITION,BULL,132,132,0,-46.93604893,-0.00947123285588,29,12.46829468,59.40434361,1.99242424242,37,0.209888602791,0.219696969697
Cluc7werk,TRANSITION,SIDEWAYS,162,162,0,-65.63242436,-0.0110146156388,25,8.61631372,74.24873808,3.84567901235,40,0.116046601502,0.154320987654
Cluc7werk,TRANSITION,TRANSITION,84,84,0,-30.52480471,-0.00874783392112,11,7.10236289,37.6271676,9.05952380952,32,0.188756245634,0.130952380952
ClucHAnix_5M_E0V1E,BEAR,BEAR,1003,1003,0,-245.57299998,-0.00135408154807,667,1617.13348211,1862.70648209,185.259222333,216,0.868163340633,0.665004985045
ClucHAnix_5M_E0V1E,BEAR,BULL,222,222,0,-92.50238334,-0.00209427027828,140,485.84513612,578.34751946,194.054054054,92,0.840057439122,0.630630630631
ClucHAnix_5M_E0V1E,BEAR,SIDEWAYS,133,133,0,-73.4259252,-0.00199510491872,87,311.52777546,384.95370066,186.917293233,71,0.809260373198,0.654135338346
ClucHAnix_5M_E0V1E,BEAR,TRANSITION,238,238,0,123.43663891,0.00449271569521,166,490.15580628,366.71916737,173.949579832,117,1.3365971836,0.697478991597
ClucHAnix_5M_E0V1E,BULL,BEAR,124,124,0,36.89320011,0.00332448070792,85,232.02380266,195.13060255,136.008064516,38,1.1890692676,0.685483870968
ClucHAnix_5M_E0V1E,BULL,BULL,1006,1006,0,474.63128086,0.00409200960919,748,1978.91349368,1504.28221282,145.437375746,228,1.31552010442,0.743538767396
ClucHAnix_5M_E0V1E,BULL,SIDEWAYS,231,231,0,171.51113351,0.0061775799788,173,425.49554227,253.98440876,170.670995671,103,1.67528213384,0.748917748918
ClucHAnix_5M_E0V1E,BULL,TRANSITION,196,196,0,47.6723491,0.00268446187078,143,309.00217865,261.32982955,182.066326531,104,1.18242214898,0.729591836735
ClucHAnix_5M_E0V1E,SIDEWAYS,BEAR,76,76,0,34.43890528,0.00384657591883,60,102.02188328,67.582978,197.828947368,42,1.50957957609,0.789473684211
ClucHAnix_5M_E0V1E,SIDEWAYS,BULL,101,101,0,36.95244687,0.00123267359042,64,182.01085014,145.05840327,218.168316832,44,1.25474185595,0.633663366337
ClucHAnix_5M_E0V1E,SIDEWAYS,SIDEWAYS,233,233,0,-88.44235989,-0.0031803907743,159,358.21106267,446.65342256,221.587982833,85,0.801988845438,0.682403433476
ClucHAnix_5M_E0V1E,SIDEWAYS,TRANSITION,127,127,0,-91.14281911,-0.00676085463964,76,192.26365503,283.40647414,229.527559055,64,0.678402480442,0.59842519685
ClucHAnix_5M_E0V1E,TRANSITION,BEAR,184,184,0,-31.13506755,-0.000638865066156,115,263.33403433,294.46910188,192.119565217,65,0.894267115459,0.625
ClucHAnix_5M_E0V1E,TRANSITION,BULL,263,263,0,49.28665694,0.00178854716779,181,549.88869828,500.60204134,191.406844106,87,1.0984547662,0.688212927757
ClucHAnix_5M_E0V1E,TRANSITION,SIDEWAYS,246,246,0,-179.75415148,-0.0060471315875,144,351.66214759,531.41629907,236.117886179,98,0.661745129394,0.585365853659
ClucHAnix_5M_E0V1E,TRANSITION,TRANSITION,231,231,0,23.46185144,-4.48844673626e-05,156,375.88150864,352.4196572,227.727272727,87,1.06657361745,0.675324675325
ClucHAnix_5m,BEAR,BEAR,310,310,0,197.17546166,0.00291384935419,192,589.38506063,392.20959897,124.370967742,103,1.50272982145,0.61935483871
ClucHAnix_5m,BEAR,BULL,127,127,0,83.32843318,0.00289853160446,86,317.2617189,233.93328572,103.464566929,52,1.35620597096,0.677165354331
ClucHAnix_5m,BEAR,SIDEWAYS,60,60,0,-55.80417402,-0.0034905689811,37,131.25979076,187.06396478,122.166666667,32,0.701683998382,0.616666666667
ClucHAnix_5m,BEAR,TRANSITION,78,78,0,-41.46206528,-0.00145939528203,51,177.28937786,218.75144314,139.679487179,48,0.810460380582,0.653846153846
ClucHAnix_5m,BULL,BEAR,64,64,0,42.42453705,0.00404542809949,38,111.04117152,68.61663447,87.65625,24,1.61828356021,0.59375
ClucHAnix_5m,BULL,BULL,672,672,0,554.68002164,0.00468629812132,398,1148.29367969,593.61365805,76.4955357143,147,1.93441249897,0.592261904762
ClucHAnix_5m,BULL,SIDEWAYS,109,109,0,-71.81748307,-0.00121905623729,61,172.34403716,244.16152023,78.9449541284,48,0.7058607638,0.559633027523
