date,pair,coin_plus_di,coin_minus_di,coin_adx,coin_di_spread,coin_di_spread_normalized,coin_ser_30,coin_return_30d,coin_return_90d,coin_realized_vol_30d,coin_regime,btc_plus_di,btc_minus_di,btc_adx,btc_di_spread,btc_di_spread_normalized,btc_ser_30,btc_return_30d,btc_return_90d,btc_realized_vol_30d,btc_regime,rs_30d,rs_90d,breadth_available_coins,pct_coins_plus_di_gt_minus_di,pct_coins_adx_ge_25,pct_coins_bull_state,pct_coins_bear_state,btc_episode_id,coin_episode_id
2020-03-01T00:00:00Z,ADA/USDT,13.1713712724,24.566732759,25.3242144321,-11.3953614866,-0.30195903528,-0.14067849362,-0.161026006413,0.190596562184,0.903681588653,BEAR,12.9686157708,25.6824306412,24.2207421154,-12.7138148704,-0.328938438946,-0.167806744149,-0.104023773258,0.153258944457,0.508242903979,TRANSITION,-0.0570022331541,0.0373376177267,8,0,0.875,0,0.875,BTC-0001,ADA-0001
2020-03-01T00:00:00Z,BTC/USDT,12.9686157708,25.6824306412,24.2207421154,-12.7138148704,-0.328938438946,-0.167806744149,-0.104023773258,0.153258944457,0.508242903979,TRANSITION,12.9686157708,25.6824306412,24.2207421154,-12.7138148704,-0.328938438946,-0.167806744149,-0.104023773258,0.153258944457,0.508242903979,TRANSITION,0,0,8,0,0.875,0,0.875,BTC-0001,BTC-0001
2020-03-01T00:00:00Z,DASH/USDT,9.68219012117,25.6739381005,32.6453312437,-15.9917479793,-0.452304841725,-0.270680589499,-0.299835931091,0.607950263753,0.996019070692,BEAR,12.9686157708,25.6824306412,24.2207421154,-12.7138148704,-0.328938438946,-0.167806744149,-0.104023773258,0.153258944457,0.508242903979,TRANSITION,-0.195812157833,0.454691319296,8,0,0.875,0,0.875,BTC-0001,DASH-0001
2020-03-01T00:00:00Z,ETH/USDT,16.2346053946,20.8772488142,39.7327716542,-4.64264341969,-0.125098665067,0.112603878116,0.176078834804,0.441053539441,0.955034165115,BEAR,12.9686157708,25.6824306412,24.2207421154,-12.7138148704,-0.328938438946,-0.167806744149,-0.104023773258,0.153258944457,0.508242903979,TRANSITION,0.280102608063,0.287794594984,8,0,0.875,0,0.875,BTC-0001,ETH-0001
2020-03-01T00:00:00Z,LTC/USDT,13.1026199775,22.6843085821,29.0442630954,-9.58168860463,-0.267742692382,-0.119422730006,-0.146072374228,0.223393045311,0.963711560879,BEAR,12.9686157708,25.6824306412,24.2207421154,-12.7138148704,-0.328938438946,-0.167806744149,-0.104023773258,0.153258944457,0.508242903979,TRANSITION,-0.0420486009693,0.0701341008536,8,0,0.875,0,0.875,BTC-0001,LTC-0001
2020-03-01T00:00:00Z,XLM/USDT,13.825516955,23.2295903154,27.1213379927,-9.40407336041,-0.253786159403,-0.0708413926499,-0.0933121019108,-0.00506727240958,0.884232839189,BEAR,12.9686157708,25.6824306412,24.2207421154,-12.7138148704,-0.328938438946,-0.167806744149,-0.104023773258,0.153258944457,0.508242903979,TRANSITION,0.0107116713476,-0.158326216867,8,0,0.875,0,0.875,BTC-0001,XLM-0001
2020-03-01T00:00:00Z,XMR/USDT,12.2953969511,21.2594484577,28.1326172399,-8.9640515066,-0.267146261513,-0.0929577464789,-0.119069891755,0.234919445485,0.901951442632,BEAR,12.9686157708,25.6824306412,24.2207421154,-12.7138148704,-0.328938438946,-0.167806744149,-0.104023773258,0.153258944457,0.508242903979,TRANSITION,-0.0150461184962,0.0816605010279,8,0,0.875,0,0.875,BTC-0001,XMR-0001
2020-03-01T00:00:00Z,XRP/USDT,13.9257230684,23.0169377869,28.2691466817,-9.09121471849,-0.246089873009,-0.0490319170026,-0.0608795536593,0.0184633180585,0.868440858535,BEAR,12.9686157708,25.6824306412,24.2207421154,-12.7138148704,-0.328938438946,-0.167806744149,-0.104023773258,0.153258944457,0.508242903979,TRANSITION,0.0431442195991,-0.134795626399,8,0,0.875,0,0.875,BTC-0001,XRP-0001
2020-03-02T00:00:00Z,ADA/USDT,12.5275997539,26.3888231873,26.0594796741,-13.8612234334,-0.356179278202,-0.130530625098,-0.153803339518,0.202478249407,0.900006185333,BEAR,12.2005866686,26.1276720811,25.0861417774,-13.9270854125,-0.363363373836,-0.142903392565,-0.0877814237097,0.169667191279,0.506169347791,BEAR,-0.0660219158079,0.0328110581282,8,0,1,0,1,BTC-0002,ADA-0001
2020-03-02T00:00:00Z,BTC/USDT,12.2005866686,26.1276720811,25.0861417774,-13.9270854125,-0.363363373836,-0.142903392565,-0.0877814237097,0.169667191279,0.506169347791,BEAR,12.2005866686,26.1276720811,25.0861417774,-13.9270854125,-0.363363373836,-0.142903392565,-0.0877814237097,0.169667191279,0.506169347791,BEAR,0,0,8,0,1,0,1,BTC-0002,BTC-0002
2020-03-02T00:00:00Z,DASH/USDT,9.20482302413,25.8319745803,33.7032542756,-16.6271515561,-0.474562536904,-0.240943425312,-0.269831678895,0.639341085271,0.986031058638,BEAR,12.2005866686,26.1276720811,25.0861417774,-13.9270854125,-0.363363373836,-0.142903392565,-0.0877814237097,0.169667191279,0.506169347791,BEAR,-0.182050255185,0.469673893993,8,0,1,0,1,BTC-0002,DASH-0001
2020-03-02T00:00:00Z,ETH/USDT,15.3243612128,21.3818849425,38.0734812198,-6.05752372979,-0.165027055727,0.132841587636,0.210122784599,0.465253952237,0.948471286583,BEAR,12.2005866686,26.1276720811,25.0861417774,-13.9270854125,-0.363363373836,-0.142903392565,-0.0877814237097,0.169667191279,0.506169347791,BEAR,0.297904208309,0.295586760958,8,0,1,0,1,BTC-0002,ETH-0001
2020-03-02T00:00:00Z,LTC/USDT,12.5281837643,23.4456057921,29.1374062956,-10.9174220278,-0.303482678985,-0.123382846191,-0.151470588235,0.269526952695,0.963505090116,BEAR,12.2005866686,26.1276720811,25.0861417774,-13.9270854125,-0.363363373836,-0.142903392565,-0.0877814237097,0.169667191279,0.506169347791,BEAR,-0.0636891645256,0.0998597614166,8,0,1,0,1,BTC-0002,LTC-0001
2020-03-02T00:00:00Z,XLM/USDT,13.1607243794,24.5416169289,27.3402545094,-11.3808925496,-0.301861692262,-0.0585497305243,-0.0788778877888,0.00305480682839,0.878648504022,BEAR,12.2005866686,26.1276720811,25.0861417774,-13.9270854125,-0.363363373836,-0.142903392565,-0.0877814237097,0.169667191279,0.506169347791,BEAR,0.0089035359209,-0.16661238445,8,0,1,0,1,BTC-0002,XLM-0001
2020-03-02T00:00:00Z,XMR/USDT,11.6532569343,23.2315352395,28.4938620972,-11.5782783053,-0.331900452426,-0.080680977054,-0.105737250554,0.197661469933,0.896728081719,BEAR,12.2005866686,26.1276720811,25.0861417774,-13.9270854125,-0.363363373836,-0.142903392565,-0.0877814237097,0.169667191279,0.506169347791,BEAR,-0.0179558268446,0.0279942786545,8,0,1,0,1,BTC-0002,XMR-0001
2020-03-02T00:00:00Z,XRP/USDT,13.3474814883,23.6178816733,28.2344824654,-10.270400185,-0.277838476525,-0.0416222695791,-0.0522007850998,0.0356849502601,0.866938669632,BEAR,12.2005866686,26.1276720811,25.0861417774,-13.9270854125,-0.363363373836,-0.142903392565,-0.0877814237097,0.169667191279,0.506169347791,BEAR,0.0355806386099,-0.133982241019,8,0,1,0,1,BTC-0002,XRP-0001
2020-03-03T00:00:00Z,ADA/USDT,13.9553352288,24.648315959,26.1766170203,-10.6929807302,-0.276994025209,-0.105806252888,-0.122459893048,0.304105960265,0.931573346828,BEAR,14.9444793884,24.0144037595,24.9571859887,-9.06992437113,-0.232807607361,-0.0769856565276,-0.0500148647626,0.222486565351,0.53180286385,TRANSITION,-0.0724450282855,0.081619394914,8,0,0.875,0,0.875,BTC-0003,ADA-0001
2020-03-03T00:00:00Z,BTC/USDT,14.9444793884,24.0144037595,24.9571859887,-9.06992437113,-0.232807607361,-0.0769856565276,-0.0500148647626,0.222486565351,0.53180286385,TRANSITION,14.9444793884,24.0144037595,24.9571859887,-9.06992437113,-0.232807607361,-0.0769856565276,-0.0500148647626,0.222486565351,0.53180286385,TRANSITION,0,0,8,0,0.875,0,0.875,BTC-0003,BTC-0003
2020-03-03T00:00:00Z,DASH/USDT,10.1572268893,24.3478778358,34.233467286,-14.1906509465,-0.411262364207,-0.196492271106,-0.226563838903,0.759797231429,1.01900089122,BEAR,14.9444793884,24.0144037595,24.9571859887,-9.06992437113,-0.232807607361,-0.0769856565276,-0.0500148647626,0.222486565351,0.53180286385,TRANSITION,-0.176548974141,0.537310666078,8,0,0.875,0,0.875,BTC-0003,DASH-0001
2020-03-03T00:00:00Z,ETH/USDT,16.6676078669,19.9594254651,35.9959039127,-3.29181759821,-0.089873989203,0.16382726503,0.263453159041,0.576204389482,0.967927309816,BEAR,14.9444793884,24.0144037595,24.9571859887,-9.06992437113,-0.232807607361,-0.0769856565276,-0.0500148647626,0.222486565351,0.53180286385,TRANSITION,0.313468023804,0.353717824131,8,0,0.875,0,0.875,BTC-0003,ETH-0001
2020-03-03T00:00:00Z,LTC/USDT,14.0673134524,22.1432680795,28.6492163935,-8.0759546271,-0.223027476651,-0.110085227273,-0.131504524887,0.37251396648,0.98035216291,BEAR,14.9444793884,24.0144037595,24.9571859887,-9.06992437113,-0.232807607361,-0.0769856565276,-0.0500148647626,0.222486565351,0.53180286385,TRANSITION,-0.0814896601243,0.15002740113,8,0,0.875,0,0.875,BTC-0003,LTC-0001
