pair,coin_plus_di__count,coin_plus_di__mean,coin_plus_di__std,coin_plus_di__min,coin_plus_di__median,coin_plus_di__max,coin_minus_di__count,coin_minus_di__mean,coin_minus_di__std,coin_minus_di__min,coin_minus_di__median,coin_minus_di__max,coin_adx__count,coin_adx__mean,coin_adx__std,coin_adx__min,coin_adx__median,coin_adx__max,coin_di_spread__count,coin_di_spread__mean,coin_di_spread__std,coin_di_spread__min,coin_di_spread__median,coin_di_spread__max,coin_di_spread_normalized__count,coin_di_spread_normalized__mean,coin_di_spread_normalized__std,coin_di_spread_normalized__min,coin_di_spread_normalized__median,coin_di_spread_normalized__max,coin_ser_30__count,coin_ser_30__mean,coin_ser_30__std,coin_ser_30__min,coin_ser_30__median,coin_ser_30__max,coin_return_30d__count,coin_return_30d__mean,coin_return_30d__std,coin_return_30d__min,coin_return_30d__median,coin_return_30d__max,coin_return_90d__count,coin_return_90d__mean,coin_return_90d__std,coin_return_90d__min,coin_return_90d__median,coin_return_90d__max,coin_realized_vol_30d__count,coin_realized_vol_30d__mean,coin_realized_vol_30d__std,coin_realized_vol_30d__min,coin_realized_vol_30d__median,coin_realized_vol_30d__max,btc_plus_di__count,btc_plus_di__mean,btc_plus_di__std,btc_plus_di__min,btc_plus_di__median,btc_plus_di__max,btc_minus_di__count,btc_minus_di__mean,btc_minus_di__std,btc_minus_di__min,btc_minus_di__median,btc_minus_di__max,btc_adx__count,btc_adx__mean,btc_adx__std,btc_adx__min,btc_adx__median,btc_adx__max,btc_di_spread__count,btc_di_spread__mean,btc_di_spread__std,btc_di_spread__min,btc_di_spread__median,btc_di_spread__max,btc_di_spread_normalized__count,btc_di_spread_normalized__mean,btc_di_spread_normalized__std,btc_di_spread_normalized__min,btc_di_spread_normalized__median,btc_di_spread_normalized__max,btc_ser_30__count,btc_ser_30__mean,btc_ser_30__std,btc_ser_30__min,btc_ser_30__median,btc_ser_30__max,btc_return_30d__count,btc_return_30d__mean,btc_return_30d__std,btc_return_30d__min,btc_return_30d__median,btc_return_30d__max,btc_return_90d__count,btc_return_90d__mean,btc_return_90d__std,btc_return_90d__min,btc_return_90d__median,btc_return_90d__max,btc_realized_vol_30d__count,btc_realized_vol_30d__mean,btc_realized_vol_30d__std,btc_realized_vol_30d__min,btc_realized_vol_30d__median,btc_realized_vol_30d__max,rs_30d__count,rs_30d__mean,rs_30d__std,rs_30d__min,rs_30d__median,rs_30d__max,rs_90d__count,rs_90d__mean,rs_90d__std,rs_90d__min,rs_90d__median,rs_90d__max,pct_coins_plus_di_gt_minus_di__count,pct_coins_plus_di_gt_minus_di__mean,pct_coins_plus_di_gt_minus_di__std,pct_coins_plus_di_gt_minus_di__min,pct_coins_plus_di_gt_minus_di__median,pct_coins_plus_di_gt_minus_di__max,pct_coins_adx_ge_25__count,pct_coins_adx_ge_25__mean,pct_coins_adx_ge_25__std,pct_coins_adx_ge_25__min,pct_coins_adx_ge_25__median,pct_coins_adx_ge_25__max,pct_coins_bull_state__count,pct_coins_bull_state__mean,pct_coins_bull_state__std,pct_coins_bull_state__min,pct_coins_bull_state__median,pct_coins_bull_state__max,pct_coins_bear_state__count,pct_coins_bear_state__mean,pct_coins_bear_state__std,pct_coins_bear_state__min,pct_coins_bear_state__median,pct_coins_bear_state__max
ADA/USDT,2364,20.0739732909,8.02275932626,4.6200820808,18.7980924374,62.448496535,2364,21.6015557122,7.62581102388,3.38626661089,21.4395874131,55.5337110961,2364,27.3884025703,10.4375986465,7.67147091515,25.0036870352,61.0421745393,2364,-1.5275824213,14.8607855602,-47.5796726612,-2.98881060497,53.7850473595,2364,-0.0397928664695,0.333091150698,-0.823194876337,-0.0741705738216,0.876174007079,2364,-0.00987054932236,0.25786384439,-0.665369649805,-0.0311010840064,0.712617214033,2364,0.0704889969995,0.413460159954,-0.632359905288,-0.0287823930511,2.99123426663,2364,0.32004675186,1.22378312676,-0.623679867987,-0.0905234210852,8.08809476409,2364,0.903209058182,0.396785074663,0.236202779193,0.82154816056,2.4212672307,2364,21.1442024565,8.32762954899,4.13745542647,19.8771406009,59.5007765384,2364,20.4884421732,7.75143995558,3.26291908619,20.42172029,55.5317932632,2364,28.7671279689,11.0276635471,9.44263335224,26.0340042402,69.178238183,2364,0.6557602833,15.2835773038,-48.8105074266,-0.820338253659,52.7302187737,2364,0.0112771811125,0.347556961856,-0.807354621027,-0.0199539818465,0.841854756022,2364,0.0474320725119,0.263928821847,-0.594026448771,0.0289579705274,0.76381838325,2364,0.0416518603837,0.194294159645,-0.530474181949,0.0152179003854,1.1960576577,2364,0.152038131696,0.45392022194,-0.585323775974,0.0597863658322,2.59355524819,2364,0.558759187451,0.260304213093,0.16756111785,0.515902960835,2.11777219408,2364,0.0288371366158,0.325888365628,-0.574845276859,-0.045580594661,2.46727189406,2364,0.168008620164,0.926447679152,-1.18501292892,-0.113644024044,6.23306044735,2364,0.43997008702,0.372790589997,0,0.375,1,2364,0.485564720812,0.316359471034,0,0.5,1,2364,0.212268854242,0.27894059526,0,0.125,1,2364,0.27329586657,0.319642409774,0,0.125,1
BTC/USDT,2364,21.1442024565,8.32762954899,4.13745542647,19.8771406009,59.5007765384,2364,20.4884421732,7.75143995558,3.26291908619,20.42172029,55.5317932632,2364,28.7671279689,11.0276635471,9.44263335224,26.0340042402,69.178238183,2364,0.6557602833,15.2835773038,-48.8105074266,-0.820338253659,52.7302187737,2364,0.0112771811125,0.347556961856,-0.807354621027,-0.0199539818465,0.841854756022,2364,0.0474320725119,0.263928821847,-0.594026448771,0.0289579705274,0.76381838325,2364,0.0416518603837,0.194294159645,-0.530474181949,0.0152179003854,1.1960576577,2364,0.152038131696,0.45392022194,-0.585323775974,0.0597863658322,2.59355524819,2364,0.558759187451,0.260304213093,0.16756111785,0.515902960835,2.11777219408,2364,21.1442024565,8.32762954899,4.13745542647,19.8771406009,59.5007765384,2364,20.4884421732,7.75143995558,3.26291908619,20.42172029,55.5317932632,2364,28.7671279689,11.0276635471,9.44263335224,26.0340042402,69.178238183,2364,0.6557602833,15.2835773038,-48.8105074266,-0.820338253659,52.7302187737,2364,0.0112771811125,0.347556961856,-0.807354621027,-0.0199539818465,0.841854756022,2364,0.0474320725119,0.263928821847,-0.594026448771,0.0289579705274,0.76381838325,2364,0.0416518603837,0.194294159645,-0.530474181949,0.0152179003854,1.1960576577,2364,0.152038131696,0.45392022194,-0.585323775974,0.0597863658322,2.59355524819,2364,0.558759187451,0.260304213093,0.16756111785,0.515902960835,2.11777219408,2364,0,0,0,0,0,2364,0,0,0,0,0,2364,0.43997008702,0.372790589997,0,0.375,1,2364,0.485564720812,0.316359471034,0,0.5,1,2364,0.212268854242,0.27894059526,0,0.125,1,2364,0.27329586657,0.319642409774,0,0.125,1
DASH/USDT,2364,19.6017155228,7.15004376983,4.99942058358,18.6055525007,61.717635463,2364,21.0328902884,6.90664896418,2.20374839502,20.9807248437,50.7028062617,2364,25.0170731784,9.86791411377,5.86485268141,23.0879578555,64.3181290702,2364,-1.43117476559,13.2382034073,-43.1009424364,-2.75550127212,57.2202209609,2364,-0.036669957424,0.307694490352,-0.78516204974,-0.0683951874208,0.901758694605,2364,-0.0235565413489,0.215397335548,-0.53092912597,-0.0381757460292,0.704923431582,2364,0.0260185522602,0.327780942547,-0.656346749226,-0.029855159669,2.77380554627,2364,0.0762000977931,0.559610467538,-0.679429429429,-0.0445338000991,4.73756513501,2364,0.958534707555,0.482701160323,0.278546075387,0.864802075768,2.75563791614,2364,21.1442024565,8.32762954899,4.13745542647,19.8771406009,59.5007765384,2364,20.4884421732,7.75143995558,3.26291908619,20.42172029,55.5317932632,2364,28.7671279689,11.0276635471,9.44263335224,26.0340042402,69.178238183,2364,0.6557602833,15.2835773038,-48.8105074266,-0.820338253659,52.7302187737,2364,0.0112771811125,0.347556961856,-0.807354621027,-0.0199539818465,0.841854756022,2364,0.0474320725119,0.263928821847,-0.594026448771,0.0289579705274,0.76381838325,2364,0.0416518603837,0.194294159645,-0.530474181949,0.0152179003854,1.1960576577,2364,0.152038131696,0.45392022194,-0.585323775974,0.0597863658322,2.59355524819,2364,0.558759187451,0.260304213093,0.16756111785,0.515902960835,2.11777219408,2364,-0.0156333081235,0.283113034417,-1.18271578829,-0.061657822647,2.93853334693,2364,-0.0758380339029,0.507751427157,-2.1771830456,-0.148766005592,4.85492128425,2364,0.43997008702,0.372790589997,0,0.375,1,2364,0.485564720812,0.316359471034,0,0.5,1,2364,0.212268854242,0.27894059526,0,0.125,1,2364,0.27329586657,0.319642409774,0,0.125,1
ETH/USDT,2364,20.6330619937,8.01626370705,4.05552131145,19.7951454018,52.7026014291,2364,20.9028647318,7.65192892787,2.10727993084,20.4707673071,50.467867619,2364,28.9584140076,10.2222993124,10.2168510174,26.9788976597,62.6329557346,2364,-0.269802738052,14.9823828205,-44.2781019647,-1.19661439325,46.5723064942,2364,-0.00966644072162,0.344292402431,-0.832276498902,-0.0280463037293,0.887026235618,2364,0.0368910133149,0.25549062993,-0.652707139091,0.0225286891376,0.751573694046,2364,0.0572855949871,0.260905887524,-0.580866807611,0.0154351155654,1.30378561064,2364,0.198187669722,0.558924658736,-0.69703655119,0.0898123801182,3.05052669166,2364,0.75107648013,0.339045163177,0.149775160713,0.688213435135,2.58454420034,2364,21.1442024565,8.32762954899,4.13745542647,19.8771406009,59.5007765384,2364,20.4884421732,7.75143995558,3.26291908619,20.42172029,55.5317932632,2364,28.7671279689,11.0276635471,9.44263335224,26.0340042402,69.178238183,2364,0.6557602833,15.2835773038,-48.8105074266,-0.820338253659,52.7302187737,2364,0.0112771811125,0.347556961856,-0.807354621027,-0.0199539818465,0.841854756022,2364,0.0474320725119,0.263928821847,-0.594026448771,0.0289579705274,0.76381838325,2364,0.0416518603837,0.194294159645,-0.530474181949,0.0152179003854,1.1960576577,2364,0.152038131696,0.45392022194,-0.585323775974,0.0597863658322,2.59355524819,2364,0.558759187451,0.260304213093,0.16756111785,0.515902960835,2.11777219408,2364,0.0156337346034,0.164310637101,-0.399097633964,-0.0144081659299,0.995450344869,2364,0.0461495380264,0.286531429532,-0.818584811138,-0.0318532579777,1.58154257192,2364,0.43997008702,0.372790589997,0,0.375,1,2364,0.485564720812,0.316359471034,0,0.5,1,2364,0.212268854242,0.27894059526,0,0.125,1,2364,0.27329586657,0.319642409774,0,0.125,1
LTC/USDT,2364,19.3424443069,6.55673556883,3.060884756,18.5912564644,44.7101284888,2364,21.2352315662,7.10437682589,3.33012063587,21.0463710935,49.7129661503,2364,24.9109359097,9.88377393525,7.44674555548,22.7518565413,67.1774428803,2364,-1.89278725938,12.8789836574,-42.1996143311,-2.17596509448,39.1877716502,2364,-0.0430329391502,0.305625819297,-0.842062090225,-0.0520005632318,0.824806425619,2364,-0.00655139194127,0.213157264844,-0.630891950689,-0.00196425775812,0.614713216958,2364,0.0180023663456,0.225916637052,-0.60986136542,-0.00162626323202,1.37295850067,2364,0.0698759609674,0.459695816808,-0.611026850916,-0.0272503442196,2.62491971741,2364,0.805729258076,0.367089336693,0.255120006388,0.722118303749,2.47853487506,2364,21.1442024565,8.32762954899,4.13745542647,19.8771406009,59.5007765384,2364,20.4884421732,7.75143995558,3.26291908619,20.42172029,55.5317932632,2364,28.7671279689,11.0276635471,9.44263335224,26.0340042402,69.178238183,2364,0.6557602833,15.2835773038,-48.8105074266,-0.820338253659,52.7302187737,2364,0.0112771811125,0.347556961856,-0.807354621027,-0.0199539818465,0.841854756022,2364,0.0474320725119,0.263928821847,-0.594026448771,0.0289579705274,0.76381838325,2364,0.0416518603837,0.194294159645,-0.530474181949,0.0152179003854,1.1960576577,2364,0.152038131696,0.45392022194,-0.585323775974,0.0597863658322,2.59355524819,2364,0.558759187451,0.260304213093,0.16756111785,0.515902960835,2.11777219408,2364,-0.0236494940381,0.140832782692,-0.358636575353,-0.038828041284,0.752108169645,2364,-0.0821621707286,0.227170593626,-0.767604988671,-0.0952744730347,1.06239808061,2364,0.43997008702,0.372790589997,0,0.375,1,2364,0.485564720812,0.316359471034,0,0.5,1,2364,0.212268854242,0.27894059526,0,0.125,1,2364,0.27329586657,0.319642409774,0,0.125,1
XLM/USDT,2364,20.3430077855,8.63352896763,5.01599921116,19.1262819872,72.4288399051,2364,21.5264821146,7.29933907681,0.292690481622,21.6805033831,56.0125040973,2364,27.2991461403,11.3226558228,8.27855223338,24.8967998136,71.2643730779,2364,-1.18347432913,15.0991285027,-46.6338209144,-2.6598631566,70.0482968098,2364,-0.0386193684661,0.334749355163,-0.760952557307,-0.0659356426386,0.989618325514,2364,-0.0228190534198,0.223916167995,-0.543278084715,-0.0426019886372,0.838636363636,2364,0.0675771735592,0.483521825544,-0.57131280389,-0.0297348681853,5.0160944206,2364,0.215715137543,0.887166898844,-0.637235354104,-0.0326684649412,6.04906979648,2364,0.86653068955,0.480342297288,0.184784273496,0.740359503208,2.66979853353,2364,21.1442024565,8.32762954899,4.13745542647,19.8771406009,59.5007765384,2364,20.4884421732,7.75143995558,3.26291908619,20.42172029,55.5317932632,2364,28.7671279689,11.0276635471,9.44263335224,26.0340042402,69.178238183,2364,0.6557602833,15.2835773038,-48.8105074266,-0.820338253659,52.7302187737,2364,0.0112771811125,0.347556961856,-0.807354621027,-0.0199539818465,0.841854756022,2364,0.0474320725119,0.263928821847,-0.594026448771,0.0289579705274,0.76381838325,2364,0.0416518603837,0.194294159645,-0.530474181949,0.0152179003854,1.1960576577,2364,0.152038131696,0.45392022194,-0.585323775974,0.0597863658322,2.59355524819,2364,0.558759187451,0.260304213093,0.16756111785,0.515902960835,2.11777219408,2364,0.0259253131755,0.424905866962,-0.965170561938,-0.0562474529538,4.61766622307,2364,0.0636770058472,0.673252968347,-1.26762043988,-0.0956291317345,4.43123045106,2364,0.43997008702,0.372790589997,0,0.375,1,2364,0.485564720812,0.316359471034,0,0.5,1,2364,0.212268854242,0.27894059526,0,0.125,1,2364,0.27329586657,0.319642409774,0,0.125,1
XMR/USDT,1452,19.1412998192,6.80440344695,5.3323918527,18.0051651996,52.1851705629,1452,19.0072766993,6.85848339356,3.93329404135,18.1673660806,46.2580761106,1452,24.9808751542,9.22936964743,9.68306555711,24.2045652156,50.9484595022,1452,0.134023119901,12.4979237496,-39.164558619,-0.13699349239,39.6987195047,1452,0.00420660909577,0.306427989114,-0.770579397231,-0.00345422093195,0.824765025067,1452,0.0321917413793,0.208660060775,-0.553610503282,0.021018290828,0.574468085106,1452,0.0358164662486,0.221776953381,-0.644024171889,0.014819393148,0.954416609209,1452,0.112716689407,0.375634126793,-0.532522134837,0.0386675110629,2.20127540853,1452,0.809726189866,0.476135725908,0.170423634972,0.738441123005,2.67938640516,1452,21.785566294,8.76852990382,4.13745542647,20.4000780625,59.5007765384,1452,19.8882820422,7.8177070733,3.26291908619,19.6358890557,55.5317932632,1452,29.8240485417,11.3555765551,10.9209895825,27.0559830903,69.178238183,1452,1.89728425172,15.8294460141,-48.8105074266,0.597435479425,52.7302187737,1452,0.0382118430404,0.359143788507,-0.807354621027,0.0156740005075,0.82840565641,1452,0.0582347412452,0.272989565619,-0.586879121783,0.0346622569837,0.76381838325,1452,0.0541871317928,0.218503479548,-0.530474181949,0.0187648734376,1.1960576577,1452,0.201294051227,0.530749379562,-0.585323775974,0.0991498653666,2.59355524819,1452,0.627903609624,0.291869162182,0.16756111785,0.58043998938,2.11777219408,1452,-0.0183706655442,0.197330102758,-1.11592928314,-0.0143927102111,0.864952258251,1452,-0.0885773618196,0.45038747715,-2.36720039835,-0.0227773481041,1.70963387436,1452,0.466511707989,0.375685458345,0,0.375,1,1452,0.519886363636,0.302368500389,0,0.5,1,1452,0.246814738292,0.29089342068,0,0.125,1,1452,0.273071625344,0.323867746777,0,0.125,1
XRP/USDT,2364,20.3441400821,8.32299842203,4.4421897305,19.0937632675,70.5432856482,2364,21.3497983198,7.52233114334,1.37504327228,21.2485173826,60.7213450449,2364,26.344801559,11.3300205182,9.05413170123,23.7454458621,70.7516416748,2364,-1.00565823777,15.0298227627,-51.9418420917,-2.25022624851,62.9960319935,2364,-0.0303720344121,0.331431437573,-0.79158864584,-0.0551464835166,0.948415454442,2364,-0.00764987971022,0.238739526782,-0.733115213835,-0.0320091516989,0.86175760878,2364,0.0749321417817,0.448477312577,-0.681738109219,-0.0219320430696,4.33901626494,2364,0.215264461141,0.850256500625,-0.662502452744,0.00315942003777,5.27991140009,2364,0.86125100335,0.510536823336,0.301356494255,0.705586116307,2.68782364605,2364,21.1442024565,8.32762954899,4.13745542647,19.8771406009,59.5007765384,2364,20.4884421732,7.75143995558,3.26291908619,20.42172029,55.5317932632,2364,28.7671279689,11.0276635471,9.44263335224,26.0340042402,69.178238183,2364,0.6557602833,15.2835773038,-48.8105074266,-0.820338253659,52.7302187737,2364,0.0112771811125,0.347556961856,-0.807354621027,-0.0199539818465,0.841854756022,2364,0.0474320725119,0.263928821847,-0.594026448771,0.0289579705274,0.76381838325,2364,0.0416518603837,0.194294159645,-0.530474181949,0.0152179003854,1.1960576577,2364,0.152038131696,0.45392022194,-0.585323775974,0.0597863658322,2.59355524819,2364,0.558759187451,0.260304213093,0.16756111785,0.515902960835,2.11777219408,2364,0.033280281398,0.411708505643,-1.63901745566,-0.0415455661025,3.95752467305,2364,0.0632263294455,0.810748003334,-2.38071522463,-0.0660020888268,4.65355436586,2364,0.43997008702,0.372790589997,0,0.375,1,2364,0.485564720812,0.316359471034,0,0.5,1,2364,0.212268854242,0.27894059526,0,0.125,1,2364,0.27329586657,0.319642409774,0,0.125,1
