,date,open,high,low,close,volume,buy,sell,pair,adx,ao,macd,macdsignal,macdhist,strat_buy_signal_AwesomeMacd,lower,bbdelta,closedelta,tail,bb_lowerband,bb_middleband,ema_slow,volume_mean_slow,strat_buy_signal_CombinedBinHAndCluc,mid,bb_upperband,strat_buy_signal_CombinedBinHAndClucV5,date_x,open_x,high_x,low_x,close_x,volume_x,ema_50_x,ema_200_x,rsi_x,ssl-up,ssl-down,ssl-dir,ema_50,ema_200,sma_5,rsi,strat_buy_signal_CombinedBinHAndClucV6H,date_y,open_y,high_y,low_y,close_y,volume_y,ema_50_y,ema_200_y,sma_200_x,rsi_y,ssl_down_x,ssl_up_x,sma_200,mfi,strat_buy_signal_CombinedBinHAndClucV7,date_x,open_x,high_x,low_x,close_x,volume_x,ema_50,ema_100,ema_200,sma_200_y,sma_200_dec,rsi,ssl_down_y,ssl_up_y,ema_12,ema_26,sma_200_dec,strat_buy_signal_CombinedBinHAndClucV8,ma_offset_buy,ma_offset_sell,strat_buy_signal_SMAOffset,date_y,open_y,high_y,low_y,close_y,volume_y,ema_fast,ema_slow,go_long,sma_30_offset,sma_30_offset_pos,strat_buy_signal_SMAOffsetV2,date_1h_x,open_1h_x,high_1h_x,low_1h_x,close_1h_x,volume_1h_x,ema_20_1h_x,ema_50_1h_x,ema_200_1h_x,rsi_1h_x,ssl_down_1h_x,ssl_up_1h_x,sma_9,strat_buy_signal_NostalgiaForInfinityV1,date_1h_y,open_1h_y,high_1h_y,low_1h_y,close_1h_y,volume_1h_y,ema_20_1h_y,ema_50_1h_y,ema_200_1h_y,rsi_1h_y,ssl_down_1h_y,ssl_up_1h_y,strat_buy_signal_NostalgiaForInfinityV2,date_1h,open_1h,high_1h,low_1h,close_1h,volume_1h,ema_15_1h,ema_50_1h,ema_100_1h,ema_200_1h,sma_50_1h,sma_200_1h,rsi_1h,bb_lowerband_1h,bb_middleband_1h,bb_upperband_1h,volume_mean_30,lips,smma_lips,teeth,smma_teeth,jaw,smma_jaw,volume_mean_4,safe_dips,strat_buy_signal_NostalgiaForInfinityV3
0,2021-05-21 00:00:00+00:00,466.85,476.22,464.94,475.53,1547.527,0,0,AAVE/USDT,,,,,,0,,,,10.589999999999975,,472.23,,,0,475.53,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,False,,,,,,False,0,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,False,0
1,2021-05-21 00:05:00+00:00,476.12,476.22,471.67,474.37,1238.481,0,0,AAVE/USDT,,,,,,0,473.3095122676472,1.6404877323527671,1.1599999999999682,2.6999999999999886,470.5326101525273,473.1583333333334,,,0,474.95,475.78405651413954,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,False,,,,,,False,0,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,False,0
2,2021-05-21 00:10:00+00:00,474.26,478.29,473.63,476.53,910.1689,0,0,AAVE/USDT,,,,,,0,473.31469226040434,2.1619744062622885,2.159999999999968,2.8999999999999773,470.2337400273803,474.15555555555557,,,0,475.47666666666663,478.07737108373084,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,False,,,,,,False,0,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,False,0
3,2021-05-21 00:15:00+00:00,476.62,477.0,470.52,475.97,747.5307,0,0,AAVE/USDT,,,,,,0,473.7671152063846,1.8328847936154489,0.5599999999999454,5.4500000000000455,471.02056706874987,474.2408333333334,,,0,475.6,477.4610995979169,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,False,,,,,,False,0,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,False,0
4,2021-05-21 00:20:00+00:00,475.97,478.78,473.57,477.88,491.3241,0,0,AAVE/USDT,,,,,,0,473.4717554295306,2.584244570469309,1.9099999999999682,4.310000000000002,471.1653591847816,474.7413333333334,,,0,476.0559999999999,478.31730748188517,0,,,,,,,,,,,,,,,476.0559999999999,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,False,,,,,,False,0,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,476.0559999999999,,,,,,1110.9269,False,0
5,2021-05-21 00:25:00+00:00,477.76,480.61,476.6,479.17,710.9241,0,0,AAVE/USDT,,,,,,0,473.1388218905301,3.4361781094698927,1.2900000000000205,2.569999999999993,470.81494138634463,475.4166666666667,,,0,476.575,480.01839194698874,0,,,,,,,,,,,,,,,476.78399999999993,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,False,,,,,,False,0,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,476.78399999999993,,,,,,846.876175,False,0
6,2021-05-21 00:30:00+00:00,479.58,482.7,478.4,481.76,960.9583,0,0,AAVE/USDT,,,,,,0,472.2955701026208,5.020144183093521,2.589999999999975,3.3600000000000136,470.2777352635032,476.20761904761906,,,0,477.3157142857143,482.13750283173493,0,,,,,,,,,,,,,,,478.2619999999999,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,False,,,,,,False,0,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,478.2619999999999,477.03399999999993,,,,,714.98695,False,0
7,2021-05-21 00:35:00+00:00,481.75,483.23,480.25,483.21,335.4866,0,0,AAVE/USDT,,,,,,0,471.8096732593091,6.24282674069093,1.4499999999999886,2.9599999999999795,470.0124171258602,476.9604166666667,,,0,478.0525,483.9084162074731,0,,,,,,,,,,,,,,,479.59799999999984,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,False,,,,,,False,0,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,479.59799999999984,478.2146666666666,478.0525,,,,727.6843,False,0
8,2021-05-21 00:40:00+00:00,483.22,492.21,482.74,488.61,2162.2101,0,0,AAVE/USDT,,,,,,0,470.0800970590605,9.145458496494996,5.400000000000034,5.8700000000000045,468.4251675133281,478.17074074074077,,,0,479.2255555555555,487.9163139681534,0,,,,,,,,,,,,,,,482.12599999999986,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,False,,,,,,False,0,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,479.2255555555555,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,482.12599999999986,479.99533333333324,479.68750000000006,,,,624.673275,False,0
9,2021-05-21 00:45:00+00:00,488.03,488.85,484.05,487.8,887.5685,0,0,AAVE/USDT,,,,,,0,469.89700067630946,10.18599932369051,0.8100000000000023,3.75,468.3243722131942,479.04366666666664,,,0,480.08299999999997,489.7629611201391,0,,,,,,,,,,,,,,,484.10999999999984,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,False,,,,,,False,0,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,480.5888888888889,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,484.10999999999984,481.94466666666654,481.3662500000001,,,,1042.394775,False,0
