candidate_id,btc_regime,coin_regime,trades,long_trades,short_trades,profit_abs,mean_profit_ratio,wins,gross_profit,gross_loss,mean_duration_minutes,active_dates,profit_factor,win_rate
ADXDM-trend,BULL,BEAR,16,16,0,6.02469864,0.00300278559911,13,6.04007712,0.01537848,1108.75,10,392.761646144,0.8125
ADXDM-trend,BULL,BULL,169,169,0,-33.18628712,-0.00137168757898,119,131.88174444,165.06803156,2677.69230769,104,0.798953880976,0.704142011834
ADXDM-trend,BULL,SIDEWAYS,84,84,0,54.68730362,0.00525991280133,68,89.94133165,35.25402803,1706.54761905,65,2.55123560841,0.809523809524
ADXDM-trend,BULL,TRANSITION,55,55,0,46.20686645,0.00645274732069,44,46.26975096,0.06288451,876.636363636,44,735.789321726,0.8
ADXMomentum-trend,BULL,BEAR,5,5,0,6.05461342,0.00997118587139,5,6.05461342,0,72,1,,1
ADXMomentum-trend,BULL,BULL,9,9,0,-24.05839998,-0.0216530901963,5,6.09275406,30.15115404,886.666666667,9,0.202073660329,0.555555555556
ADXMomentum-trend,BULL,SIDEWAYS,1,1,0,1.23946179,0.00999375516342,1,1.23946179,0,420,1,,1
ADXMomentum-trend,BULL,TRANSITION,6,6,0,3.48015305,0.0047441570131,5,6.11050826,2.63035521,240,5,2.32307341486,0.833333333333
ADX_15M_USDT-trend,BEAR,BEAR,1,1,0,-13.5329976,-0.127223347909,0,0,13.5329976,720,1,0,0
ADX_15M_USDT-trend,BULL,BEAR,184,184,0,59.05108384,0.00306243282764,131,206.68306623,147.63198239,1935.24456522,104,1.39998842313,0.711956521739
ADX_15M_USDT-trend,BULL,BULL,1570,1570,0,-509.36974966,-0.00303057535044,1062,1401.54762608,1910.91737574,1455.69745223,542,0.733442295242,0.676433121019
ADX_15M_USDT-trend,BULL,SIDEWAYS,609,609,0,-62.93133224,-0.00107159615661,411,456.79423807,519.72557031,1976.03448276,311,0.878914304327,0.674876847291
ADX_15M_USDT-trend,BULL,TRANSITION,481,481,0,-71.26318589,-0.00282573133291,317,387.73574866,458.99893455,2031.14345114,285,0.84474215401,0.659043659044
