candidate_id,btc_regime,episodes,positive_episodes,negative_episodes,median_episode_profit,worst_episode_profit,best_episode_profit,episode_win_rate
ADXDM-trend,BULL,30,24,6,4.12812635,-70.07506116,26.9320474,0.8
ADXMomentum-trend,BULL,11,6,5,1.20808508,-14.51265633,9.69131993,0.545454545455
ADX_15M_USDT-trend,BEAR,1,0,1,-13.5329976,-13.5329976,-13.5329976,0
ADX_15M_USDT-trend,BULL,38,10,28,-11.16864081,-87.74653609,81.52209328,0.263157894737
ASDTSRockwellTrading-trend,BEAR,1,1,0,0.32942264,0.32942264,0.32942264,1
ASDTSRockwellTrading-trend,BULL,8,0,8,-58.8157959,-376.39988156,-1.41860001,0
ASDTSRockwellTrading-trend,TRANSITION,1,0,1,-0.03926832,-0.03926832,-0.03926832,0
AdaptiveRegime-trend,BEAR,15,6,9,-19.24892701,-488.76281644,135.18872452,0.4
AdaptiveRegime-trend,BULL,20,6,14,-33.16882867,-99.52669905,691.70325012,0.3
AdaptiveRegime-trend,TRANSITION,1,0,1,-8.5171038,-8.5171038,-8.5171038,0
AlmgrenChrissStrategy-trend,BEAR,45,19,26,-3.67107898,-126.64302089,80.95955796,0.422222222222
AlmgrenChrissStrategy-trend,BULL,38,20,18,0.776046135,-171.12881865,265.60579552,0.526315789474
AlmgrenChrissStrategy-trend,TRANSITION,1,0,1,-5.73971385,-5.73971385,-5.73971385,0
BBMod-trend,BEAR,1,1,0,2.48839776,2.48839776,2.48839776,1
BBMod-trend,BULL,31,19,12,3.58179617,-72.96890023,293.4855823,0.612903225806
