candidate_id,btc_regime,trades,long_trades,short_trades,profit_abs,mean_profit_ratio,wins,gross_profit,gross_loss,mean_duration_minutes,active_dates,profit_factor,win_rate
ADXDM-trend,BULL,324,324,0,73.73258159,0.00189186156385,244,274.13290417,200.40032258,2042.70061728,159,1.3679264616,0.753086419753
ADXMomentum-trend,BULL,21,21,0,-13.28417172,-0.00507443738892,16,19.49733753,32.78150925,485.714285714,14,0.594766317234,0.761904761905
ADX_15M_USDT-trend,BEAR,1,1,0,-13.5329976,-0.127223347909,0,0,13.5329976,720,1,0,0
ADX_15M_USDT-trend,BULL,2844,2844,0,-584.51318395,-0.002182241382,1921,2452.76067904,3037.27386299,1695.46940928,639,0.807553348721,0.675457102672
ASDTSRockwellTrading-trend,BEAR,2,2,0,0.32942264,0.030008159219,2,0.32942264,0,40,1,,1
ASDTSRockwellTrading-trend,BULL,13851,13851,0,-965.97322896,-0.00194253792706,3612,1006.33234842,1972.30557738,43.2737708469,172,0.510231457012,0.260775395278
ASDTSRockwellTrading-trend,TRANSITION,2,2,0,-0.03926832,-0.00355355932382,1,0.00369998,0.0429683,30,1,0.0861095272561,0.5
AdaptiveRegime-trend,BEAR,75,1,74,-611.11345108,-0.0447341456547,27,427.34260025,1038.45605133,21427.2,41,0.411517270955,0.36
AdaptiveRegime-trend,BULL,104,104,0,923.66803596,0.0861324736897,40,2167.64011968,1243.97208372,41303.0769231,75,1.74251508378,0.384615384615
AdaptiveRegime-trend,TRANSITION,1,1,0,-8.5171038,-0.0639925344618,0,0,8.5171038,43200,1,0,0
AlmgrenChrissStrategy-trend,BEAR,4868,4,4864,-667.7536925,-0.000249403755518,3454,5734.30423853,6402.05793103,1285.84326212,596,0.895697024348,0.709531635168
AlmgrenChrissStrategy-trend,BULL,4746,4746,0,520.4150531,0.00150340418191,3516,6311.62539152,5791.21033842,1492.36093552,623,1.08986291685,0.740834386852
AlmgrenChrissStrategy-trend,TRANSITION,2,0,2,-5.73971385,-0.0206672526694,0,0,5.73971385,2940,1,0,0
BBMod-trend,BEAR,1,1,0,2.48839776,0.0190166628222,1,2.48839776,0,15,1,,1
BBMod-trend,BULL,2088,2088,0,958.60860367,0.00290490834522,1404,3596.66078668,2638.05218301,38.2423371648,314,1.36337742287,0.672413793103
