candidate_id,coin_phase,episodes,positive_episodes,negative_episodes,median_episode_profit,worst_episode_profit,best_episode_profit,episode_win_rate
ADXDM-trend,bear_trend,11,8,3,0.01746144,-0.01012512,1.31953253,0.727272727273
ADXDM-trend,bull_trend,74,52,22,0.456028085,-35.80018574,8.79324013,0.702702702703
ADXDM-trend,high_vol_shock,12,9,3,1.03508597,-0.0146744,12.19205173,0.75
ADXDM-trend,range_choppy,30,25,5,0.510895305,-0.0352968,8.16207724,0.833333333333
ADXDM-trend,range_quiet,25,21,4,0.63295848,-35.16762392,5.45454748,0.84
ADXDM-trend,transition,45,37,8,0.385801,-0.0092708,9.71405476,0.822222222222
ADXMomentum-trend,bear_trend,2,2,0,3.02730671,1.2027183,4.85189512,1
ADXMomentum-trend,bull_trend,8,5,3,1.20961601,-9.56613512,1.23858863,0.625
ADXMomentum-trend,high_vol_shock,1,0,1,-14.51265633,-14.51265633,-14.51265633,0
ADXMomentum-trend,range_choppy,1,1,0,1.23946179,1.23946179,1.23946179,1
ADXMomentum-trend,transition,5,4,1,1.2349675,-2.63035521,2.417355,0.8
ADX_15M_USDT-trend,bear_trend,51,36,15,0.4593822,-18.34955827,15.50416766,0.705882352941
ADX_15M_USDT-trend,bull_trend,119,58,61,-7.8e-07,-53.22604972,24.65046653,0.487394957983
ADX_15M_USDT-trend,high_vol_shock,35,17,18,-2.1347789,-65.70687003,10.38823789,0.485714285714
ADX_15M_USDT-trend,range_choppy,65,36,29,0.16727915,-24.5158692,18.87285733,0.553846153846
ADX_15M_USDT-trend,range_quiet,62,44,18,0.75090316,-17.73745124,12.25665258,0.709677419355
ADX_15M_USDT-trend,transition,123,78,45,0.0568104,-25.79723035,15.18764912,0.634146341463
ASDTSRockwellTrading-trend,bear_trend,14,1,13,-1.84468653,-25.05825207,0.11307482,0.0714285714286
ASDTSRockwellTrading-trend,bull_trend,35,3,32,-5.13848955,-94.74477062,4.88751121,0.0857142857143
ASDTSRockwellTrading-trend,high_vol_shock,16,4,12,-1.70854113,-19.80631781,0.44756804,0.25
ASDTSRockwellTrading-trend,range_choppy,21,1,20,-1.98766436,-30.94786744,0.15777619,0.047619047619
ASDTSRockwellTrading-trend,range_quiet,10,1,9,-6.545044735,-17.66066851,1.60471681,0.1
ASDTSRockwellTrading-trend,transition,28,1,27,-3.71314999,-27.14967419,0.51536561,0.0357142857143
AdaptiveRegime-trend,bear_trend,38,17,21,-3.50774701,-97.53756535,61.51509085,0.447368421053
AdaptiveRegime-trend,bull_trend,36,12,24,-6.356567895,-41.38613715,326.149831,0.333333333333
AdaptiveRegime-trend,high_vol_shock,17,3,14,-25.23083215,-71.35121285,138.58027494,0.176470588235
AdaptiveRegime-trend,range_choppy,15,6,9,-3.03901828,-37.994684,58.14270549,0.4
AdaptiveRegime-trend,range_quiet,11,5,6,-8.5171038,-31.58902083,179.15921187,0.454545454545
AdaptiveRegime-trend,transition,36,14,22,-7.32837393,-65.46084172,399.37295231,0.388888888889
AlmgrenChrissStrategy-trend,bear_trend,130,63,67,-0.389831935,-36.44667619,45.55556791,0.484615384615
AlmgrenChrissStrategy-trend,bull_trend,137,78,59,0.91409985,-35.40234615,61.9898324,0.569343065693
AlmgrenChrissStrategy-trend,high_vol_shock,49,22,27,-1.67743392,-91.47986752,128.51427636,0.448979591837
AlmgrenChrissStrategy-trend,range_choppy,95,54,41,0.7815832,-14.75811773,20.53504586,0.568421052632
AlmgrenChrissStrategy-trend,range_quiet,69,40,29,0.45319973,-32.73050637,17.13947238,0.579710144928
AlmgrenChrissStrategy-trend,transition,164,84,80,0.16865233,-35.57901336,28.21541549,0.512195121951
BBMod-trend,bear_trend,22,16,6,1.390918735,-7.08193057,9.64646204,0.727272727273
BBMod-trend,bull_trend,102,71,31,1.52816377,-20.52484377,34.29055378,0.696078431373
BBMod-trend,high_vol_shock,32,20,12,3.349127085,-13.5622268,116.58056283,0.625
BBMod-trend,range_choppy,48,31,17,1.153375005,-12.38526823,28.55027471,0.645833333333
BBMod-trend,range_quiet,41,30,11,1.373385,-4.90727095,105.4466244,0.731707317073
BBMod-trend,transition,71,42,29,0.335622,-11.73073923,51.94129973,0.591549295775
