coin_regime,rank,strategy_id,excess_return,trades,episodes
BEAR,1,OversoldReversion-downtrend,0.27369495043,16,10
BEAR,2,CustomStoplossWithPSAR-downtrend,0.2101690268,19,15
BEAR,3,SimpleBollinger-downtrend,0.169716708302,10,10
BEAR,4,Squeeze001-downtrend,0.112449504388,28,22
BEAR,5,MFI2-downtrend,0.107353462044,33,26
BEAR,6,NFI46Z-downtrend,0.103632700133,57,23
BEAR,7,FSampleStrategy-trend,0.101110503655,11,7
BEAR,8,GodCard-downtrend,0.0824383623748,31,21
BEAR,9,ADXDM-downtrend,0.0721103122378,101,45
BEAR,10,cryptotank-downtrend,0.0652659778274,162,50
BEAR,11,FastSupertrend_optim3_rsi_80-trend,0.0540208805878,1038,91
BEAR,12,eltoro1_4_simple-downtrend,0.0313495741235,193,73
BULL,1,FastSupertrend_optim3_rsi_80-uptrend,0.043336579214,1267,88
BULL,2,FastSupertrend_optim3_rsi_80-trend,-0.00943404529294,791,77
BULL,3,FSampleStrategy-trend,-0.11168507115,84,42
SIDEWAYS,1,Hacklemost-sideways,0.195978407909,15,8
SIDEWAYS,2,E0V1E_protections-sideways,0.193563970032,21,15
SIDEWAYS,3,Cenderawasih_3_kucoin-sideways,0.150758971571,21,16
SIDEWAYS,4,SARCross-sideways,0.133088205764,21,20
SIDEWAYS,5,BigTrader-sideways,0.125917260433,20,15
SIDEWAYS,6,BB_RTR-sideways,0.109175748775,51,29
SIDEWAYS,7,FSampleStrategy-sideways,0.0902748874701,199,78
SIDEWAYS,8,TheRealPullbackV2-sideways,0.0748331023306,60,40
SIDEWAYS,9,cryptotank-sideways,0.0710734469162,181,46
SIDEWAYS,10,GodCard-sideways,0.0649663121092,39,33
TRANSITION,1,NostalgiaForInfinityX-transition,0.166260464135,11,7
TRANSITION,2,BigTrader-transition,0.162513129094,11,8
TRANSITION,3,SARCross-transition,0.119711086358,11,11
TRANSITION,4,BB_RTR-transition,0.114858779084,31,19
TRANSITION,5,Hammer-transition,0.094206718335,19,16
TRANSITION,6,adxbbrsi2-transition,0.0938819793178,41,32
TRANSITION,7,BB_RPB_TSL_RNG_2-transition,0.0905800720136,23,14
TRANSITION,8,cryptotank-transition,0.0871467451741,134,48
TRANSITION,9,CryptoFrog_nateema-transition,0.0644987203475,257,61
TRANSITION,10,eltoro1_4-transition,0.0395804265687,218,108
