strategy_id,btc_regime,trades,episodes,mean_profit_ratio,mean_benchmark_return,benchmark_matched_episodes,excess_return,tier,dollar_gain_usd,benchmark_dollar_gain_usd,max_drawdown,episode_excess_lcb,excess_dollar_gain_usd,lcb_grade,profit_factor,worst_trade,liquidation_rate,forced_exit_rate,total_regime_days,sortino,annualized_return,drawdown_since_peak,sortino_pts,drawdown_pts,annualized_return_pts,liquidation_pts,profit_factor_pts,worst_trade_pts,freqforge_score
ADXDM-downtrend,BEAR,63,9,0.00428582708439,-0.0618893459335,33,0.0661751730179,VALIDATION,141.432293785,-2042.3484158,0.0145643577841,0.0292966714665,2183.78070959,A,1.56927286369,-0.247585717488,0,0,984,0.158087858556,0.0524621821458,0.123797041164,5.2695952852,80.4811835342,13.1155455364,100,48.4636431846,75.2414282512,50.7755336789
ADXDM-downtrend,BULL,1,1,-1.18786184437e-07,-0.0332599246038,1,0.0332598058176,EXPLORATORY,-0.000118786184437,-33.2599246038,1.1878618443e-07,,33.2598058176,,0,-1.18786184437e-07,0,0,2,-100,-2.16784786598e-05,1.1878618443e-07,100,99.9999881214,0,100,0,99.9999881214,74.9999958425
ADXDM-downtrend,SIDEWAYS,12,5,0.00981554064349,-0.0383236583585,8,0.048139199002,VALIDATION,78.5243251479,-306.589266868,3.71752437684e-05,-0.0234435539566,385.113592016,D,265.034331681,-0.000175167298455,0,0,132,560.020469152,0.217131656659,0.000105650897489,100,99.9894349103,50.856582833,100,100,99.9824832702,92.6240944795
ADXDM-downtrend,TRANSITION,25,11,0.0117950536317,-0.0525775638097,22,0.0643726174414,VALIDATION,259.491179897,-1156.70640381,9.62812999126e-06,0.0373780801663,1416.19758371,A,1597.52259551,-0.000100659796477,0,0,168,1876.3529104,0.563775480134,0.000100659796477,100,99.9899340204,68.1887740067,100,100,99.9899340204,95.2247930081
BB_RPB_TSL_RNG_2-transition,BEAR,1,1,-0.00360976233069,-0.316507503411,1,0.31289774108,EXPLORATORY,-3.60976233069,-316.507503411,0.00360976233069,,312.89774108,,0,-0.00360976233069,0,0,33,-100,-0.0399261591122,0.00360976233069,100,99.6390237669,0,100,0,99.6390237669,74.8736583184
BB_RPB_TSL_RNG_2-transition,BULL,7,2,0.054698880886,0.0212564309071,3,0.0334424499789,EXPLORATORY,164.096642658,63.7692927213,0.0472630975783,-0.211073095706,100.327349937,F,1.83829505619,-0.189052390313,0,0,73,1.29342745874,0.82048321329,0.189052390313,43.1142486247,54.3790438748,81.0241606645,100,61.9147528093,81.0947609687,65.8278986023
BB_RPB_TSL_RNG_2-transition,SIDEWAYS,13,4,-0.037367721509,-0.163727089027,7,0.126359367518,EXPLORATORY,-261.574050563,-1146.08962319,0.177566246463,-0.0591055955542,884.515572625,F,0.301614926909,-0.177945891229,0,0,161,-1.35154941836,-0.593009493513,0.177566246463,0,58.9735014148,0,100,6.03229853818,82.2054108771,38.5671462952
BB_RPB_TSL_RNG_2-transition,TRANSITION,2,2,0.0123205205759,-0.104365344952,2,0.116685865528,EXPLORATORY,24.6410411518,-208.730689904,0.00252566242259,-0.424435250221,233.371731055,F,10.756268665,-0.00252566242259,0,0,15,-100,0.599598668027,0.00252566242259,100,99.7474337577,69.9799334014,100,100,99.7474337577,95.4085918254
BB_RTR-sideways,BEAR,5,3,0.0264519407364,-0.130510519013,3,0.15696245975,EXPLORATORY,79.3558222091,-391.531557039,0.00165830782503,0.0791143621872,470.887379249,A,16.9511643961,-0.0028563752761,0,0,131,113.544208355,0.221105916842,0.00248746173755,100,99.7512538262,51.0552958421,100,100,99.7143624724,92.5675440801
BB_RTR-sideways,BULL,9,3,0.0471152285948,0.149278927142,6,-0.102163698547,EXPLORATORY,282.691371569,895.673562854,0,-0.539350760133,-612.982191285,F,inf,0.0195129992268,0,0,69,-100,1.49539638583,0,100,100,92.4769819292,100,100,100,98.8715472894
BB_RTR-sideways,SIDEWAYS,20,5,0.0182850845306,-0.0755531010414,11,0.093838185572,VALIDATION,201.135929837,-831.084111455,0.00193552991595,0.0183327784033,1032.22004129,B,12.1526287753,-0.0040389058794,0,0,234,76.5974205436,0.313737668335,0.0035644437703,100,99.643555623,55.6868834167,100,100,99.5961094121,93.2235323595
BB_RTR-sideways,TRANSITION,17,4,0.0281825115682,-0.104676016811,10,0.132858528379,EXPLORATORY,281.825115682,-1046.76016811,0.00333785891898,0.0992750788807,1328.58528379,A,16.3851917117,-0.00467771583997,0,0,77,155.566753193,1.33592424966,0.00333785891898,100,99.6662141081,91.6796212483,100,100,99.532228416,98.6217195559
BB_RTR-transition,BEAR,4,3,0.0177610126653,-0.280000138151,3,0.297761150816,EXPLORATORY,53.2830379958,-840.000414452,0.00120325411023,-0.373647381563,893.283452447,F,15.7608161188,-0.00360976233069,0,0,99,-100,0.196447564328,0.00360976233069,100,99.6390237669,49.111891082,100,100,99.6390237669,92.2404419807
BB_RTR-transition,BULL,3,2,0.0334694308326,0.0212564309071,3,0.0122129999255,EXPLORATORY,100.408292498,63.7692927213,0.001998001998,-0.394470849756,36.6389997765,F,51.2543503952,-0.001998001998,0,0,73,-100,0.502041462489,0.001998001998,100,99.8001998002,65.1020731245,100,100,99.8001998002,94.6953808987
