strategy_id,trades,dollar_gain_usd,benchmark_matched_trades,benchmark_dollar_gain_usd,excess_dollar_gain_usd
AdaptiveRegime-transition,51,3718.13668406,51,5275.16409876,-1557.0274147
AdaptiveRegime-trend,57,2313.57074153,57,4568.57637759,-2255.00563606
BBMod-sideways,402,899.667915138,402,3746.28355519,-2846.61564005
BBMod-trend,560,806.496614125,560,2208.1457737,-1401.64915958
AdaptiveRegime-sideways,67,803.264786661,67,3440.05818896,-2636.79340229
BBMod-transition,242,54.5960409774,242,1291.89938614,-1237.30334516
ADXMomentum-transition,6,20.6360295835,6,-4.59202210839,25.2280516919
ADXDM-trend,44,19.9533330075,44,82.8969414989,-62.9436084914
ADXMomentum-trend,1,9.99882074737,1,7.94284770928,2.05597303809
ADXMomentum-sideways,2,-47.5007563248,2,-26.1420947885,-21.3586615363
ADXDM-sideways,127,-221.035362574,127,-137.813622715,-83.2217398589
ADXDM-transition,85,-730.129478074,85,-469.651408542,-260.478069531
ADX_15M_USDT-transition,746,-1661.55372416,746,-1655.1209966,-6.43272755682
AlmgrenChrissStrategy-trend,1985,-3193.11344592,1985,-1647.35762862,-1545.7558173
ADX_15M_USDT-trend,606,-4106.94696469,606,-3933.10404757,-173.842917114
ADX_15M_USDT-sideways,1193,-4133.39019082,1193,-3513.75956362,-619.6306272
AlmgrenChrissStrategy-transition,1118,-4605.03064615,1118,459.512091636,-5064.54273778
AlmgrenChrissStrategy-sideways,1457,-7488.60354634,1457,1729.35832442,-9217.96187076
