strategy_id,coin_regime,trades,mean_profit_ratio,mean_benchmark_return,benchmark_matched_trades,episodes,excess_return,tier,dollar_gain_usd,benchmark_dollar_gain_usd,excess_dollar_gain_usd
ADXDM-trend,BULL,44,0.00045348484108,0.0018840213977,44,138,-0.00143053655662,VALIDATION,19.9533330075,82.8969414989,-62.9436084914
ADXMomentum-trend,BULL,1,0.00999882074737,0.00794284770928,1,13,0.00205597303809,EXPLORATORY,9.99882074737,7.94284770928,2.05597303809
ADX_15M_USDT-trend,BULL,606,-0.00677714020575,-0.00649027070557,606,275,-0.000286869500187,VALIDATION,-4106.94696469,-3933.10404757,-173.842917114
AdaptiveRegime-trend,BEAR,32,-0.025814707701,0.00708865387926,32,71,-0.0329033615803,VALIDATION,-826.070646432,226.836924136,-1052.90757057
AdaptiveRegime-trend,BULL,25,0.125585655518,0.173669578138,25,80,-0.0480839226196,VALIDATION,3139.64138796,4341.73945345,-1202.09806549
AlmgrenChrissStrategy-trend,BEAR,1045,-0.00184786751947,0.00447161277017,1045,280,-0.00631948028964,VALIDATION,-1931.02155785,4672.83534483,-6603.85690268
AlmgrenChrissStrategy-trend,BULL,940,-0.00134265094476,-0.00672360954622,940,259,0.00538095860147,VALIDATION,-1262.09188807,-6320.19297345,5058.10108538
BBMod-trend,BULL,560,0.00144017252522,0.00394311745304,560,217,-0.00250294492781,VALIDATION,806.496614125,2208.1457737,-1401.64915958
