btc_regime,rank,strategy_id,excess_return,trades,episodes
BEAR,1,BBMod-trend,0.113863053344,147,23
BEAR,2,AdaptiveRegime-trend,0.0610324824263,20,14
BEAR,3,AlmgrenChrissStrategy-trend,-0.00598289709987,830,41
BEAR,4,ADX_15M_USDT-trend,-0.0217640070916,89,25
BULL,1,ADXDM-trend,-0.157449715588,26,28
BULL,2,ADX_15M_USDT-trend,-0.227456086128,392,35
BULL,3,AlmgrenChrissStrategy-trend,-0.238745178755,600,33
BULL,4,AdaptiveRegime-trend,-0.317717971876,21,16
BULL,5,BBMod-trend,-0.322042304475,338,27
SIDEWAYS,1,AlmgrenChrissStrategy-trend,-0.0242431239083,251,36
SIDEWAYS,2,ADX_15M_USDT-trend,-0.0564152612555,56,27
SIDEWAYS,3,BBMod-trend,-0.0780546623149,15,19
TRANSITION,1,AlmgrenChrissStrategy-trend,0.0161283208396,304,71
TRANSITION,2,BBMod-trend,-0.0386638531424,60,40
TRANSITION,3,ADX_15M_USDT-trend,-0.079489415784,69,52
