coin_regime,rank,strategy_id,excess_return,trades,episodes
BEAR,1,AdaptiveRegime-trend,0.0663000741689,32,31
BEAR,2,AlmgrenChrissStrategy-trend,-0.0334363597412,1045,86
BULL,1,ADXDM-trend,-0.0385805306307,44,31
BULL,2,BBMod-trend,-0.0881764508622,560,48
BULL,3,AlmgrenChrissStrategy-trend,-0.0909999702884,940,65
BULL,4,ADX_15M_USDT-trend,-0.110280256506,606,80
BULL,5,AdaptiveRegime-trend,-0.213782666183,25,21
SIDEWAYS,1,BBMod-sideways,0.0222714732268,402,85
SIDEWAYS,2,ADXDM-sideways,0.000412466919279,127,77
SIDEWAYS,3,AdaptiveRegime-sideways,-0.0273574254061,61,54
SIDEWAYS,4,ADX_15M_USDT-sideways,-0.0513974402,1193,134
SIDEWAYS,5,AlmgrenChrissStrategy-sideways,-0.0810750660151,1457,112
TRANSITION,1,AdaptiveRegime-transition,0.0881612787419,38,37
TRANSITION,2,ADXDM-transition,0.0472047458075,85,63
TRANSITION,3,BBMod-transition,0.023605196141,242,99
TRANSITION,4,ADX_15M_USDT-transition,-0.00504403863494,745,221
TRANSITION,5,AlmgrenChrissStrategy-transition,-0.0198021282166,1116,216
