strategy_id,btc_regime,trades,episodes,mean_profit_ratio,mean_benchmark_return,benchmark_matched_episodes,excess_return,tier,dollar_gain_usd,benchmark_dollar_gain_usd,max_drawdown,episode_excess_lcb,excess_dollar_gain_usd,lcb_grade,profit_factor,worst_trade,liquidation_rate,forced_exit_rate,total_regime_days,sortino,annualized_return,drawdown_since_peak,sortino_pts,drawdown_pts,annualized_return_pts,liquidation_pts,profit_factor_pts,worst_trade_pts,freqforge_score
ADXDM-downtrend,BEAR,63,9,0.00428582708121,-0.0618893459335,33,0.0661751730147,VALIDATION,141.43229368,-2042.3484158,0.0145643577841,0.0292966714635,2183.78070948,A,1.5692728633,-0.247585717488,0,0,984,0.158087858438,0.0524621821069,0.123797041164,5.26959528127,80.4811835342,13.1155455267,100,48.463643165,75.2414282512,50.7755336745
BB_RPB_TSL_RNG_2-transition,TRANSITION,2,2,0.0123205205723,-0.104365344952,2,0.116685865524,EXPLORATORY,24.6410411447,-208.730689904,0.00252566242974,-0.424435250247,233.371731048,F,10.7562686345,-0.00252566242974,0,0,15,-100,0.599598667853,0.00252566242974,100,99.747433757,69.9799333927,100,100,99.747433757,95.4085918239
BB_RTR-sideways,SIDEWAYS,20,5,0.0182850845306,-0.0755531010414,11,0.093838185572,VALIDATION,201.135929837,-831.084111455,0.00193552991595,0.0183327784033,1032.22004129,B,12.1526287753,-0.0040389058794,0,0,234,76.5974205436,0.313737668335,0.00359809681844,100,99.6401903182,55.6868834167,100,100,99.5961094121,93.2226910333
BB_RTR-transition,TRANSITION,5,3,0.00147984792589,0.0534609614296,4,-0.0519811135037,EXPLORATORY,5.91939170356,213.843845719,0.0159341615018,-0.453127682872,-207.924454015,F,1.09287265764,-0.0637366460071,0,0,24,-100,0.0900240821583,0.0637366460071,100,93.6263353993,22.5060205396,100,24.6436328819,93.6263353993,78.6094837589
BigTrader-sideways,SIDEWAYS,10,3,0.0389475370585,-0.162667319242,7,0.2016148563,EXPLORATORY,272.632759409,-1138.67123469,0,0.153955402949,1411.3039941,A,inf,0.0221286771555,0,0,119,-100,0.836226530962,0,100,100,81.8113265481,100,100,100,97.2716989822
BigTrader-transition,TRANSITION,2,1,0.0181369012565,-0.159449053753,2,0.17758595501,EXPLORATORY,36.273802513,-318.898107507,0,0.0365461370391,355.17191002,A,inf,0.0115736618893,0,0,14,-100,0.945709851232,0,100,100,87.2854925616,100,100,100,98.0928238842
Cenderawasih_3_kucoin-sideways,SIDEWAYS,10,2,0.00775177612936,-0.15017810799,6,0.157929884119,EXPLORATORY,46.5106567762,-901.068647939,0.00455242800609,0.0795460756488,947.579304715,A,2.40907479586,-0.00782981121903,0,0,129,17.2475450497,0.131599920336,0.00699955403117,100,99.3000445969,32.8999800839,100,71.5340304845,99.2170188781,86.8351130981
CryptoFrog_nateema-transition,TRANSITION,47,13,-0.000905915142207,-0.0410034712774,20,0.0400975561352,VALIDATION,-18.1183028441,-820.069425549,0.0173359916048,-0.0213698168515,801.951122704,D,0.962931361113,-0.086828156747,0,0,140,-0.100297333932,-0.0472370038436,0.0868256801061,0,91.3174319894,0,100,19.2586272223,91.3171843253,48.8869391521
CustomStoplossWithPSAR-downtrend,BEAR,17,6,0.20197537227,-0.0947348807542,13,0.296710253024,VALIDATION,2625.67983951,-1231.5534498,0.201440226906,0.00236269843906,3857.23328931,B,2.4146653761,-0.201560819147,0,0.294117647059,378,12.5229530514,2.53537868101,0.201508430717,100,49.6228923208,97.676893405,100,71.5549951604,79.8439180853,82.1971484155
E0V1E_protections-sideways,SIDEWAYS,8,2,0.0757954561255,-0.170780686033,4,0.246576142159,EXPLORATORY,303.181824502,-683.122744133,0,0.173967805356,986.304568635,A,inf,0.0137860332167,0,0,45,-100,2.45914146541,0,100,100,97.295707327,100,100,100,99.5943560991
