strategy_id,trades,dollar_gain_usd,benchmark_matched_trades,benchmark_dollar_gain_usd,excess_dollar_gain_usd
FastSupertrend_optim3_rsi_80-trend,1172,5958.02677128,1172,1740.6705666,4217.35620467
FastSupertrend_optim3_rsi_80-uptrend,773,5109.24064355,773,-2272.94476289,7382.18540644
FSampleStrategy-sideways,115,4392.67020817,115,7058.30814139,-2665.63793322
CustomStoplossWithPSAR-downtrend,17,2625.67983951,17,2919.24966108,-293.569821569
cryptotank-downtrend,118,1421.82433957,118,-200.595155881,1622.41949545
OversoldReversion-downtrend,11,628.290885357,11,628.216571111,0.0743142463974
TheRealPullbackV2-sideways,24,521.292465805,24,422.307442988,98.9850228168
MFI2-downtrend,16,499.700283415,16,418.056080769,81.6442026451
cryptotank-transition,22,479.932969222,22,82.4740225308,397.458946691
SARCross-sideways,8,308.720596601,8,316.70722364,-7.98662703919
E0V1E_protections-sideways,8,303.181824502,8,192.936134687,110.245689815
cryptotank-sideways,100,295.845236766,100,-1042.99576565,1338.84100242
BigTrader-sideways,10,272.632759409,10,202.416304964,70.2164544454
SimpleBollinger-downtrend,9,240.23548829,9,257.70262338,-17.46713509
BB_RTR-sideways,20,201.135929837,20,382.91890589,-181.782976054
eltoro1_4-transition,50,148.710828428,50,103.742975866,44.9678525614
ADXDM-downtrend,63,141.43229368,63,196.048305831,-54.6160121512
Squeeze001-downtrend,21,133.278761193,21,89.1384622207,44.1402989724
Hacklemost-sideways,6,110.453169079,6,94.8667575677,15.5864115114
GodCard-sideways,14,102.215090072,14,61.3311487697,40.883941302
GodCard-downtrend,22,82.1839890222,22,127.002385606,-44.8183965834
adxbbrsi2-transition,14,80.1076488788,14,27.885376948,52.2222719309
eltoro1_4_simple-downtrend,124,71.7055903618,124,299.795438336,-228.089847974
Cenderawasih_3_kucoin-sideways,10,46.5106567762,10,162.256852107,-115.746195331
BigTrader-transition,2,36.273802513,2,48.6306902654,-12.3568877524
Hammer-transition,3,28.9733848712,3,8.66151197867,20.3118728925
NostalgiaForInfinityX-transition,3,27.3191703536,3,42.8533111393,-15.5341407857
FSampleStrategy-trend,55,25.758661085,55,984.163817972,-958.405156887
BB_RPB_TSL_RNG_2-transition,2,24.6410411447,2,16.9981916817,7.64284946292
BB_RTR-transition,5,5.91939170356,5,39.4013535463,-33.4819618428
SARCross-transition,3,0.449047724195,3,-22.1556292317,22.6046769559
NFI46Z-downtrend,40,-3.29976219501,40,39.1541004994,-42.4538626944
CryptoFrog_nateema-transition,47,-18.1183028441,47,73.5462811692,-91.6645840134
