coin_regime,rank,strategy_id,excess_return,trades,episodes
BEAR,1,CustomStoplossWithPSAR-downtrend,0.285953367078,17,13
BEAR,2,OversoldReversion-downtrend,0.266413502728,11,8
BEAR,3,MFI2-downtrend,0.159105248574,16,16
BEAR,4,Squeeze001-downtrend,0.138855264195,21,16
BEAR,5,NFI46Z-downtrend,0.123564064132,40,19
BEAR,6,GodCard-downtrend,0.0990666673548,22,16
BEAR,7,ADXDM-downtrend,0.0921341962015,63,33
BEAR,8,cryptotank-downtrend,0.0736914088961,118,37
BEAR,9,FastSupertrend_optim3_rsi_80-trend,0.0571446544387,658,63
BEAR,10,eltoro1_4_simple-downtrend,0.0285003711387,124,53
BULL,1,FastSupertrend_optim3_rsi_80-uptrend,-0.00875786983833,770,56
BULL,2,FastSupertrend_optim3_rsi_80-trend,-0.0498207435586,512,51
BULL,3,FSampleStrategy-trend,-0.19749516285,47,29
SIDEWAYS,1,BigTrader-sideways,0.197775322564,10,7
SIDEWAYS,2,Cenderawasih_3_kucoin-sideways,0.164601296081,10,6
SIDEWAYS,3,BB_RTR-sideways,0.139588101628,20,11
SIDEWAYS,4,FSampleStrategy-sideways,0.120668502167,114,55
SIDEWAYS,5,TheRealPullbackV2-sideways,0.120638143869,24,18
SIDEWAYS,6,cryptotank-sideways,0.111163864206,100,22
SIDEWAYS,7,GodCard-sideways,0.0737375959934,14,11
TRANSITION,1,adxbbrsi2-transition,0.106773487484,14,10
TRANSITION,2,cryptotank-transition,0.0878883005807,22,9
TRANSITION,3,CryptoFrog_nateema-transition,0.0612123529608,47,20
TRANSITION,4,eltoro1_4-transition,0.0511124780213,49,36
