strategy_id,coin_regime,trades,episodes,mean_profit_ratio,mean_benchmark_return,benchmark_matched_episodes,excess_return,tier,dollar_gain_usd,benchmark_dollar_gain_usd,max_drawdown,episode_excess_lcb,excess_dollar_gain_usd,lcb_grade,profit_factor,worst_trade,liquidation_rate,forced_exit_rate,total_regime_days,sortino,annualized_return,drawdown_since_peak,sortino_pts,drawdown_pts,annualized_return_pts,liquidation_pts,profit_factor_pts,worst_trade_pts,freqforge_score
Hammer-transition,TRANSITION,3,3,0.00965779495707,-0.0202911897034,3,0.0299489846605,EXPLORATORY,28.9733848712,-60.8735691102,1.04985326661e-05,-0.0710015584094,89.8469539814,F,920.918550934,-3.14955979981e-05,0,0,21,-100,0.503585022761,3.14955979982e-05,100,99.9968504402,65.1792511381,100,100,99.9968504402,94.7757853248
MFI2-downtrend,BEAR,16,16,0.0312312677134,-0.127873980861,16,0.159105248574,VALIDATION,499.700283415,-2045.98369377,5.77677528988e-08,0.0927619346038,2545.68397719,A,786379.147014,-6.35445282034e-07,0,0,640,-100,0.284985317885,6.35445281887e-07,100,99.9999364555,54.2492658942,100,100,99.9999364555,93.1373676436
NFI46Z-downtrend,BEAR,40,19,-0.000173671694474,-0.123737735827,19,0.123564064132,VALIDATION,-3.29976219501,-2351.01698071,0.0091310016805,0.0817500243517,2347.71721851,A,0.98595266373,-0.0592121086179,0,0,710,-0.0169135927476,-0.00169635662138,0.0501312378776,0,94.9868762122,0,100,19.7190532746,94.0787891382,50.1265032943
NostalgiaForInfinityX-transition,TRANSITION,3,2,0.0136595851768,-0.0660726324422,2,0.079732217619,EXPLORATORY,27.3191703536,-132.145264884,0,-0.194285672131,159.464435238,F,inf,0.00100028726638,0,0,4,-100,2.49287429477,0,100,100,97.4643714738,100,100,100,99.6196557211
OversoldReversion-downtrend,BEAR,11,8,0.0785363606696,-0.187877142058,8,0.266413502728,VALIDATION,628.290885357,-1503.01713647,0.0293671358526,0.173961171769,2131.30802182,A,4.95907841648,-0.0858251586794,0,0,339,5.42799034423,0.676478386889,0.0488519124685,100,95.1148087531,73.8239193444,100,81.0965440618,91.4174841321,92.1036929093
SARCross-sideways,SIDEWAYS,8,7,0.0441029423716,-0.0819334738163,7,0.126036416188,EXPLORATORY,308.720596601,-573.534316714,0,-0.0359675340986,882.254913315,D,inf,0.024188639349,0,0,144,-100,0.782520956662,0,100,100,79.1260478331,100,100,100,96.868907175
SARCross-transition,TRANSITION,3,3,0.000149682574732,-0.0869989622837,3,0.0871486448584,EXPLORATORY,0.449047724195,-260.996886851,7.59796406531e-05,-0.0395382185946,261.445934575,D,2.97003530742,-0.000129084398747,0,0,14,61.9288371844,0.0117073156665,0.00011396946098,100,99.9886030539,2.92682891663,100,73.6376324028,99.9870915601,82.7986474973
SimpleBollinger-downtrend,BEAR,9,9,0.0266928320322,-0.169296370671,9,0.195989202703,EXPLORATORY,240.23548829,-1523.66733604,0,0.11282219619,1763.90282433,A,inf,0.00788810001291,0,0,380,-100,0.230752508489,0,100,100,51.5376254245,100,100,100,92.7306438137
Squeeze001-downtrend,BEAR,21,16,0.00832992257456,-0.13052534162,16,0.138855264195,VALIDATION,133.278761193,-2088.40546593,4.40514482091e-05,0.0681996061818,2221.68422712,A,234.714933504,-0.00018510100254,0,0,623,388.809078126,0.0780846674726,0.00018510100254,100,99.9814898997,19.5211668682,100,100,99.9814898997,87.9216964951
TheRealPullbackV2-sideways,SIDEWAYS,24,18,0.0289606925447,-0.0916774513244,18,0.120638143869,VALIDATION,521.292465805,-1650.19412384,0.000735117057863,0.0688921740758,2171.48658964,A,42.7134419157,-0.0065944418276,0,0,504,185.089861661,0.377523313529,0.0065944418276,100,99.3405558172,58.8761656765,100,100,99.3405558172,93.6006193875
adxbbrsi2-transition,TRANSITION,14,10,0.00801076488788,-0.0987627225959,10,0.106773487484,VALIDATION,80.1076488788,-987.627225959,5.61384159583e-09,0.0641733567962,1067.73487484,A,766151.928147,-5.05245743635e-08,0,0,80,2588039.29102,0.36549114801,5.05245743625e-08,100,99.9999949475,58.2745574005,100,100,99.9999949475,93.7411818417
cryptotank-downtrend,BEAR,118,37,0.0384276848532,-0.0352637240429,37,0.0736914088961,VALIDATION,1421.82433957,-1304.75778959,0.00473581488641,0.0220851219827,2726.58212915,A,2.35224843631,-0.208621247485,0,0,1073,0.816549010716,0.483658792118,0.208621247485,27.2183003572,47.8446881288,64.1829396059,100,71.3209316361,79.1378752515,58.4390687511
cryptotank-sideways,SIDEWAYS,100,22,0.0134475107621,-0.0977163534435,22,0.111163864206,VALIDATION,295.845236766,-2149.75977576,0.0276050782615,0.0699135854711,2445.60501252,A,1.18457915147,-0.228624514499,0,0,516,0.266180001828,0.209270370969,0.21210564664,8.8726667276,46.97358834,50.4635185484,100,29.2289575735,77.1375485501,47.1677421615
cryptotank-transition,TRANSITION,22,9,0.0533258854691,-0.0345624151116,9,0.0878883005807,VALIDATION,479.932969222,-311.061736004,0.00179236528962,0.0139642654906,790.994705226,B,38.6353260599,-0.0107541917377,0,0,46,46.5518125068,3.80816377752,0.0107541917377,100,98.9245808262,100,100,100,98.9245808262,99.6236032892
eltoro1_4-transition,BEAR,1,1,0.0292379157586,0.0263025800953,1,0.0029353356633,EXPLORATORY,29.2379157586,26.3025800953,0,,2.9353356633,,inf,0.0292379157586,0,0,7,-100,1.52454846456,0,100,100,92.6227423228,100,100,100,98.8934113484
eltoro1_4-transition,TRANSITION,49,36,0.00331869201859,-0.0477937860027,36,0.0511124780213,VALIDATION,119.472912669,-1720.5762961,0.0462054658465,0.0245583383577,1840.04920877,A,1.12278274779,-0.249009627177,0,0,261,0.193991820797,0.167078977488,0.232130882816,6.46639402655,41.967279296,41.7697443719,100,26.1391373897,75.0990372823,43.4976974536
eltoro1_4_simple-downtrend,BEAR,124,53,0.0013529356672,-0.0271474354715,53,0.0285003711387,VALIDATION,71.7055903618,-1438.81407999,0.0245138735021,-0.00831756681467,1510.51967035,C,1.01859448075,-0.249650899262,0,0.00806451612903,1437,0.0621280007021,0.0182133197509,0.228730706533,2.07093335674,42.8173233668,4.55332993773,100,20.9297240376,75.0349100738,36.5015270827
