candidate_id,btc_regime,episodes,positive_episodes,negative_episodes,median_episode_profit,worst_episode_profit,best_episode_profit,episode_win_rate
ADXDM-trend,BEAR,9,5,4,0.0002964,-0.02088026,23.8264426,0.555555555556
ADXDM-trend,BULL,28,18,10,0.30930465,-50.79107504,15.94172779,0.642857142857
ADXDM-trend,SIDEWAYS,11,9,2,0.59999606,-0.0147895,7.14744998,0.818181818182
ADXDM-trend,TRANSITION,16,11,5,0.009400665,-30.75919834,4.2441702,0.6875
ADXMomentum-trend,BULL,9,5,4,1.19307113,-14.35863875,1.2271425,0.555555555556
ADXMomentum-trend,SIDEWAYS,3,2,1,1.19061649,-3.09710024,1.23468913,0.666666666667
ADXMomentum-trend,TRANSITION,2,1,1,-4.039137975,-9.27695756,1.19868161,0.5
ADX_15M_USDT-trend,BEAR,25,9,16,-3.39624311,-43.02981442,10.30329113,0.36
ADX_15M_USDT-trend,BULL,35,10,25,-7.0462012,-95.44323599,30.42245468,0.285714285714
ADX_15M_USDT-trend,SIDEWAYS,27,18,9,1.79360531,-46.36334924,55.91877648,0.666666666667
ADX_15M_USDT-trend,TRANSITION,52,25,27,-7.4695e-05,-29.47136993,14.33977609,0.480769230769
ASDTSRockwellTrading-trend,BEAR,7,0,7,-4.17237723,-14.69210787,-0.01310854,0
ASDTSRockwellTrading-trend,BULL,9,0,9,-27.29258643,-229.26239463,-0.50500674,0
ASDTSRockwellTrading-trend,SIDEWAYS,8,1,7,-3.185259325,-63.86211769,1.44333235,0.125
ASDTSRockwellTrading-trend,TRANSITION,16,1,15,-3.04153947,-51.11654453,3.50504681,0.0625
AdaptiveRegime-trend,BEAR,14,5,9,-23.491902095,-260.48417203,34.24575245,0.357142857143
AdaptiveRegime-trend,BULL,16,7,9,-8.06358657,-124.42306446,423.15875572,0.4375
AdaptiveRegime-trend,SIDEWAYS,16,5,11,-9.849089135,-47.98915123,29.9154142,0.3125
AdaptiveRegime-trend,TRANSITION,14,4,10,-13.39423532,-81.74177881,77.47321262,0.285714285714
AlmgrenChrissStrategy-trend,BEAR,41,15,26,-5.29504965,-265.25766295,31.30536791,0.365853658537
AlmgrenChrissStrategy-trend,BULL,33,12,21,-2.1650607,-38.32809187,96.76908056,0.363636363636
AlmgrenChrissStrategy-trend,SIDEWAYS,36,13,23,-0.81804181,-35.06666917,42.26957249,0.361111111111
AlmgrenChrissStrategy-trend,TRANSITION,71,33,38,-0.83366664,-136.64832001,33.79210659,0.464788732394
BBMod-trend,BEAR,23,16,7,1.35318422,-25.60416962,86.59109037,0.695652173913
BBMod-trend,BULL,27,19,8,4.74114246,-65.66262045,164.52411024,0.703703703704
BBMod-trend,SIDEWAYS,19,8,11,-0.84226056,-42.47238291,24.24751356,0.421052631579
BBMod-trend,TRANSITION,40,25,15,1.82708696,-11.62243814,24.17853585,0.625
