candidate_id,coin_phase,trades,long_trades,short_trades,profit_abs,mean_profit_ratio,wins,gross_profit,gross_loss,mean_duration_minutes,active_dates,profit_factor,win_rate
ADXDM-trend,bull_trend,212,212,0,-48.60460492,-0.00169109586952,143,139.34218701,187.94679193,3155.37735849,138,0.741391675692,0.674528301887
ADXDM-trend,high_vol_shock,29,29,0,45.75136002,0.0126839699699,23,45.77709835,0.02573833,1773.10344828,21,1778.55744137,0.793103448276
ADXMomentum-trend,bull_trend,12,12,0,-15.10812402,-0.0101609568382,8,9.64316671,24.75129073,635,12,0.389602579324,0.666666666667
ADXMomentum-trend,high_vol_shock,2,2,0,-17.45573899,-0.0717876684991,0,0,17.45573899,1740,2,0,0
ADX_15M_USDT-trend,bull_trend,1844,1844,0,-313.06295264,-0.00256163565102,1234,1239.62960722,1552.69255986,1616.55911063,821,0.798374152918,0.669197396963
ADX_15M_USDT-trend,high_vol_shock,438,438,0,-442.33660338,-0.0134860727475,276,442.98790612,885.3245095,949.760273973,240,0.500367832774,0.630136986301
ASDTSRockwellTrading-trend,bear_trend,1,1,0,-0.36591719,-0.0105735931909,0,0,0.36591719,5,1,0,0
ASDTSRockwellTrading-trend,bull_trend,10661,10661,0,-764.20923953,-0.0018323239696,2820,1032.32908561,1796.53832514,43.9574148767,325,0.574621243067,0.264515523872
ASDTSRockwellTrading-trend,high_vol_shock,3570,3570,0,-201.09494385,-0.00207143641209,1098,352.5179135,553.61285735,40.8039215686,145,0.636758898967,0.30756302521
ASDTSRockwellTrading-trend,transition,2,2,0,-0.01316979,0.000346945550837,1,0.05521853,0.06838832,35,2,0.807426326601,0.5
AdaptiveRegime-trend,bear_trend,75,0,75,-358.54104121,-0.0399299773243,25,336.89829641,695.43933762,25670.4,56,0.484439516411,0.333333333333
AdaptiveRegime-trend,bull_trend,74,74,0,461.08681558,0.0735609515182,28,1129.48106881,668.39425323,44425.9459459,62,1.68984257921,0.378378378378
AdaptiveRegime-trend,high_vol_shock,21,13,8,-102.82762869,-0.0298187058556,6,245.83161457,348.65924326,15634.2857143,19,0.705077003757,0.285714285714
AlmgrenChrissStrategy-trend,bear_trend,2728,1,2727,-275.96382476,-0.00075307143382,1930,1776.91233697,2052.87616173,1921.22067449,859,0.865572103225,0.707478005865
AlmgrenChrissStrategy-trend,bull_trend,2466,2466,0,-68.95311323,0.000383222212965,1854,2321.98813292,2390.94124615,1697.0377129,729,0.971160682706,0.751824817518
AlmgrenChrissStrategy-trend,high_vol_shock,2624,1390,1234,-296.08524432,-0.000668455965642,1967,3065.97044012,3362.05568444,517.905868902,434,0.911933271751,0.749618902439
AlmgrenChrissStrategy-trend,transition,1,1,0,1.57333904,0.0199998482322,1,1.57333904,0,15,1,,1
BBMod-trend,bull_trend,1138,1138,0,207.89556345,0.00133159686623,739,1539.0195351,1331.12397165,40.992970123,342,1.15618046694,0.649384885764
BBMod-trend,high_vol_shock,1016,1016,0,464.30657973,0.00296314242672,675,1810.13863397,1345.83205424,37.7263779528,235,1.34499592893,0.66437007874
