candidate_id,coin_phase,episodes,positive_episodes,negative_episodes,median_episode_profit,worst_episode_profit,best_episode_profit,episode_win_rate
ADXDM-trend,bull_trend,96,65,31,0.30930465,-32.22016716,9.55358175,0.677083333333
ADXDM-trend,high_vol_shock,15,13,2,0.664705,-0.0077757,19.05541678,0.866666666667
ADXMomentum-trend,bull_trend,11,7,4,1.19307113,-9.47908471,1.23468913,0.636363636364
ADXMomentum-trend,high_vol_shock,2,0,2,-8.727869495,-14.35863875,-3.09710024,0
ADX_15M_USDT-trend,bull_trend,160,76,84,-0.050780695,-53.84598205,26.3980741,0.475
ADX_15M_USDT-trend,high_vol_shock,36,7,29,-7.747913875,-62.24630136,8.1206634,0.194444444444
ASDTSRockwellTrading-trend,bear_trend,1,0,1,-0.36591719,-0.36591719,-0.36591719,0
ASDTSRockwellTrading-trend,bull_trend,50,3,47,-5.895956895,-100.56569541,8.87690976,0.06
ASDTSRockwellTrading-trend,high_vol_shock,16,1,15,-5.51548944,-44.00013374,0.20249924,0.0625
ASDTSRockwellTrading-trend,transition,2,1,1,-0.006584895,-0.06838832,0.05521853,0.5
AdaptiveRegime-trend,bear_trend,63,23,40,-4.90988643,-72.09596735,41.92408871,0.365079365079
AdaptiveRegime-trend,bull_trend,62,20,42,-5.175798335,-50.99160342,293.5348479,0.322580645161
AdaptiveRegime-trend,high_vol_shock,15,5,10,-19.90722447,-54.24793396,113.6970764,0.333333333333
AlmgrenChrissStrategy-trend,bear_trend,151,59,92,-1.209817,-18.33302792,36.42681313,0.390728476821
AlmgrenChrissStrategy-trend,bull_trend,155,68,87,-0.58171354,-37.23271914,45.7615386,0.438709677419
AlmgrenChrissStrategy-trend,high_vol_shock,46,17,29,-1.966974825,-91.4825532,88.01792725,0.369565217391
AlmgrenChrissStrategy-trend,transition,1,1,0,1.57333904,1.57333904,1.57333904,1
BBMod-trend,bull_trend,131,85,46,1.01484555,-28.2674229,33.95807854,0.648854961832
BBMod-trend,high_vol_shock,35,24,11,6.35551791,-25.35162859,105.55022079,0.685714285714
