candidate_id,btc_regime,trades,long_trades,short_trades,profit_abs,mean_profit_ratio,wins,gross_profit,gross_loss,mean_duration_minutes,active_dates,profit_factor,win_rate
ADXDM-sideways,BEAR,25,25,0,-23.83512094,-0.00727377843798,16,39.89085587,63.72597681,1159.2,21,0.625974804418,0.64
ADXDM-sideways,BULL,86,86,0,55.92158395,0.00518625629854,69,85.91355577,29.99197182,1678.72093023,67,2.86455176357,0.802325581395
ADXDM-sideways,SIDEWAYS,137,137,0,-6.98470953,-0.000347295197722,101,85.99666311,92.98137264,3069.6350365,87,0.924880550462,0.737226277372
ADXDM-sideways,TRANSITION,96,96,0,-72.75523432,-0.00570165586961,70,82.04873701,154.80397133,1743.22916667,68,0.530017003473,0.729166666667
ADXDM-transition,BEAR,44,44,0,34.0660611,0.0061560230757,35,67.14781793,33.08175683,673.75,38,2.02975368796,0.795454545455
ADXDM-transition,BULL,55,55,0,45.41404658,0.00645274732233,44,45.47439339,0.06034681,876.636363636,44,753.550906668,0.8
ADXDM-transition,SIDEWAYS,60,60,0,-63.25658144,-0.00830836447403,42,57.38209457,120.63867601,1709.83333333,43,0.475652555779,0.7
ADXDM-transition,TRANSITION,124,124,0,-82.10031989,-0.0050988109339,80,77.31634936,159.41666925,3392.74193548,81,0.484995388022,0.645161290323
ADXMomentum-sideways,BULL,1,1,0,1.23946179,0.00999375516342,1,1.23946179,0,420,1,inf,1
ADXMomentum-sideways,SIDEWAYS,7,7,0,1.64843629,0.00190585198966,4,4.96467083,3.31623454,608.571428571,6,1.49708073121,0.571428571429
ADXMomentum-sideways,TRANSITION,2,2,0,-4.59110495,-0.0184444612278,1,1.23363625,5.8247412,240,2,0.211792456976,0.5
ADXMomentum-transition,BEAR,1,1,0,1.23730674,0.00993922598707,1,1.23730674,0,60,1,inf,1
ADXMomentum-transition,BULL,6,6,0,3.54249797,0.00474415701039,5,6.24800619,2.70550822,240,5,2.30936507375,0.833333333333
ADXMomentum-transition,SIDEWAYS,5,5,0,6.23302221,0.0100371258057,5,6.23302221,0,168,4,inf,1
ADXMomentum-transition,TRANSITION,3,3,0,-1.18075922,-0.0031649481354,2,2.4919211,3.67268032,2180,3,0.678502042889,0.666666666667
ADX_15M_USDT-sideways,BEAR,269,269,0,-178.35510059,-0.00601750330988,174,244.2338954,422.58899599,1595.24163569,187,0.577946651989,0.646840148699
ADX_15M_USDT-sideways,BULL,622,622,0,-131.22167339,-0.00180657241321,423,641.51119556,772.73286895,2056.20578778,322,0.830184946619,0.680064308682
ADX_15M_USDT-sideways,SIDEWAYS,1123,1123,0,108.25114258,0.000513266901547,768,879.65592514,771.40478256,1888.29029386,446,1.14032988261,0.683882457703
ADX_15M_USDT-sideways,TRANSITION,621,621,0,-333.83578965,-0.00548404857566,388,566.04997136,899.88576101,2024.27536232,300,0.629024256062,0.624798711755
ADX_15M_USDT-transition,BEAR,402,402,0,-200.62661622,-0.00319490616282,281,456.15817654,656.78479276,1443.50746269,244,0.69453218401,0.699004975124
ADX_15M_USDT-transition,BULL,526,526,0,-120.84466397,-0.00330809092094,351,589.07595041,709.92061438,2042.53802281,310,0.829777215195,0.667300380228
ADX_15M_USDT-transition,SIDEWAYS,533,533,0,158.33574329,0.0025269726626,384,427.45256076,269.11681747,1654.58724203,315,1.5883532095,0.720450281426
ADX_15M_USDT-transition,TRANSITION,667,667,0,-219.9437239,-0.00278156849593,453,536.15192631,756.09565021,2168.86056972,346,0.709105952615,0.67916041979
