candidate_id,coin_regime,episodes,positive_episodes,negative_episodes,median_episode_profit,worst_episode_profit,best_episode_profit,episode_win_rate
ADXDM-sideways,SIDEWAYS,192,156,36,0.54081066,-32.4335313,19.26014551,0.8125
ADXDM-transition,TRANSITION,215,159,56,0.11142318,-33.66817012,19.8318396,0.739534883721
ADXMomentum-sideways,SIDEWAYS,9,6,3,1.23946179,-5.8247412,1.24239261,0.666666666667
ADXMomentum-transition,TRANSITION,13,11,2,1.24749663,-3.67268032,2.48815264,0.846153846154
ADX_15M_USDT-sideways,SIDEWAYS,322,183,139,0.600709795,-59.1289192,33.00314521,0.568322981366
ADX_15M_USDT-sideways,TRANSITION,2,2,0,3.66691996,3.04098702,4.2928529,1
ADX_15M_USDT-transition,SIDEWAYS,1,1,0,0.05175345,0.05175345,0.05175345,1
ADX_15M_USDT-transition,TRANSITION,614,409,205,0.6310935,-37.4829564,22.00616336,0.666123778502
ASDTSRockwellTrading-sideways,SIDEWAYS,115,9,106,-3.43992405,-70.22549904,9.80336817,0.0782608695652
ASDTSRockwellTrading-sideways,TRANSITION,4,3,1,0.16697894,-0.088894,0.33335579,0.75
ASDTSRockwellTrading-transition,BEAR,5,1,4,-0.06459437,-0.25722064,0.0170046,0.2
ASDTSRockwellTrading-transition,BULL,2,0,2,-0.260798215,-0.37767972,-0.14391671,0
ASDTSRockwellTrading-transition,SIDEWAYS,6,1,5,-0.09641622,-0.14834399,0.0115424,0.166666666667
ASDTSRockwellTrading-transition,TRANSITION,229,17,212,-1.93367164,-38.86278667,8.88927186,0.0742358078603
AdaptiveRegime-sideways,SIDEWAYS,106,38,68,-7.421491145,-83.0251835,328.05829636,0.358490566038
AdaptiveRegime-sideways,TRANSITION,21,7,14,-5.62580255,-79.85993907,91.54192557,0.333333333333
AdaptiveRegime-transition,BEAR,16,4,12,-5.479605945,-35.78251059,20.69533252,0.25
AdaptiveRegime-transition,BULL,14,7,7,-0.047095805,-35.29634706,75.51614258,0.5
AdaptiveRegime-transition,TRANSITION,99,35,64,-6.69107655,-54.13022949,323.27439169,0.353535353535
AlmgrenChrissStrategy-sideways,SIDEWAYS,301,106,195,-0.85397892,-53.66949318,19.32269033,0.352159468439
AlmgrenChrissStrategy-sideways,TRANSITION,2,1,1,-0.037048045,-0.92173589,0.8476398,0.5
AlmgrenChrissStrategy-transition,BEAR,3,3,0,1.17966048,0.95501706,2.1671091,1
AlmgrenChrissStrategy-transition,BULL,4,2,2,-1.3916093,-8.3780176,2.37538896,0.5
AlmgrenChrissStrategy-transition,SIDEWAYS,3,1,2,-0.44881962,-3.35844902,1.22000937,0.333333333333
AlmgrenChrissStrategy-transition,TRANSITION,624,306,318,-0.0795581,-97.91419849,28.13364789,0.490384615385
BBMod-sideways,SIDEWAYS,227,136,91,0.66650365,-24.65873689,69.38258487,0.599118942731
BBMod-transition,BEAR,1,1,0,1.3492869,1.3492869,1.3492869,1
BBMod-transition,TRANSITION,334,195,139,0.393642465,-26.5611902,37.44965039,0.583832335329
