strategy_id,btc_regime,trades,episodes,mean_profit_ratio,mean_benchmark_return,benchmark_matched_episodes,excess_return,tier,dollar_gain_usd,benchmark_dollar_gain_usd,max_drawdown,episode_excess_lcb,excess_dollar_gain_usd,lcb_grade,profit_factor,worst_trade,liquidation_rate,forced_exit_rate,total_regime_days,sortino,annualized_return,drawdown_since_peak,sortino_pts,drawdown_pts,annualized_return_pts,liquidation_pts,profit_factor_pts,worst_trade_pts,freqforge_score
AdaptiveRegime-trend,BEAR,30,7,-0.0158645842191,-0.135635035545,29,0.119770451325,VALIDATION,-460.072942355,-3933.41603079,0.190673061612,0.0606497403096,3473.34308844,A,0.658241154494,-0.190673061612,0,0,1038,-0.872609182438,-0.161779021156,0.190673061612,0,53.7307753552,0,100,13.1648230899,80.9326938388,37.8424455317
AdaptiveRegime-trend,BULL,37,8,0.108292041924,0.294265062781,34,-0.185973020857,VALIDATION,3681.92942541,10005.0121346,0.0549324963174,-0.282580942949,-6323.08270915,F,2.24639754028,-0.351394643683,0,0,892,4.59980982395,1.50661910345,0.219289143395,100,45.1777141513,92.5330955172,100,70.9239907761,64.8605356317,78.7528455062
AlmgrenChrissStrategy-sideways,SIDEWAYS,1430,20,-0.0479252655525,0.0234263324172,145,-0.0713515979697,VALIDATION,-6949.16350511,3396.81820049,0.0104100433632,-0.0958725034031,-10345.9817056,F,0.692475324662,-0.108059717122,0,0.0041958041958,2081,-1.85090378262,-1.21885856769,0.10147709668,0,89.409161328,0,100,13.8495064932,89.1940282878,47.6566438101
AlmgrenChrissStrategy-transition,SIDEWAYS,1,1,0.0171611829417,0,1,0.0171611829417,EXPLORATORY,17.1611829417,0,0,,17.1611829417,,inf,0.0171611829417,0,0,39,-100,0.160611071121,0,100,100,40.1527677803,100,100,100,91.022915167
AlmgrenChrissStrategy-transition,TRANSITION,1161,37,-0.0153315937896,-0.0139687646477,241,-0.00136282914186,VALIDATION,-3694.91410328,-3366.4722801,0.0288906386829,-0.0183742624021,-328.441823189,C,0.802175679659,-0.109657137857,0,0,1544,-1.32089372307,-0.87347386509,0.0770417031545,0,92.2958296846,0,100,16.0435135932,89.0342862143,48.5817374019
AlmgrenChrissStrategy-trend,BEAR,1747,16,-0.005029873621,-0.0117653218625,99,0.00673544824149,VALIDATION,-497.957488479,-1164.76686439,0.0129477591988,-0.0283113305292,666.809375907,D,0.970791976877,-0.118909458299,0,0,1989,-0.140407242473,-0.0913798307164,0.0997992942454,0,90.0200705755,0,100,19.4158395375,88.1090541701,48.2575070146
AlmgrenChrissStrategy-trend,BULL,1311,15,-0.00517171630109,0.0784230832708,104,-0.0835947995719,VALIDATION,-537.858495314,8156.00066017,0.00797699316587,-0.14632476905,-8693.85915548,F,0.96244991491,-0.106800469754,0,0,1442,-0.188555772354,-0.136143100409,0.102264067228,0,89.0943731088,0,100,19.2489982982,89.3199530246,48.1304884095
BBMod-sideways,SIDEWAYS,304,15,-0.0194207072098,-0.00835963664696,59,-0.0110610705628,VALIDATION,-1145.82172538,-493.21856217,0.0161263749296,-0.0470105375051,-652.603163207,D,0.693650221531,-0.108874499584,0,0,1193,-1.02314756568,-0.350565741628,0.0555113037851,0,94.4488696215,0,100,13.8730044306,89.1125500416,48.9107728526
BBMod-transition,TRANSITION,280,29,0.00593508617773,-0.0408433143689,117,0.0467784005466,VALIDATION,694.405082794,-4778.66778116,0.10305740846,0.0215500555331,5473.07286395,A,1.42761964512,-0.10305740846,0,0,882,1.07876263939,0.287367182789,0.10305740846,35.9587546463,88.777036616,54.3683591395,100,41.3809822558,89.694259154,67.4467258275
BBMod-trend,BULL,508,12,0.0294193288241,0.14729050722,55,-0.117871178396,VALIDATION,1618.06308533,8100.97789709,0.0158070039847,-0.244680104197,-6482.91481176,F,1.40355668898,-0.121828878907,0,0,1016,1.46448597859,0.581292348567,0.0999699225506,48.8161992862,90.0030077449,69.0646174284,100,40.1778344491,87.8171121093,72.8639890279
