strategy_id,coin_regime,trades,episodes,mean_profit_ratio,mean_benchmark_return,benchmark_matched_episodes,excess_return,tier,dollar_gain_usd,benchmark_dollar_gain_usd,max_drawdown,episode_excess_lcb,excess_dollar_gain_usd,lcb_grade,profit_factor,worst_trade,liquidation_rate,forced_exit_rate,total_regime_days,sortino,annualized_return,drawdown_since_peak,sortino_pts,drawdown_pts,annualized_return_pts,liquidation_pts,profit_factor_pts,worst_trade_pts,freqforge_score
ADXDM-sideways,BEAR,12,7,0.0112177607421,-0.071754959449,7,0.0829727201911,VALIDATION,78.5243251948,-502.284716143,3.71752437684e-05,-0.0171429560562,580.809041338,C,265.034331839,-0.000175167298455,0,0,214,439.829120727,0.13393167615,0.000105650897489,100,99.9894349103,33.4829190375,100,100,99.9824832702,90.0180449102
ADXDM-sideways,BULL,6,5,0.0183107771529,0.000685089598518,5,0.0176256875543,EXPLORATORY,91.5538857643,3.42544799259,1.28406298074e-06,-0.173586249414,88.1284377717,F,35651.0760239,-2.56812596144e-06,0,0,107,-100,0.312309984149,2.56812596149e-06,100,99.9997431874,55.6154992075,100,100,99.9997431874,93.3422349967
ADXDM-sideways,SIDEWAYS,64,48,-0.00231824695651,-0.0255108643049,48,0.0231926173484,VALIDATION,-111.275853912,-1224.52148664,0.0252684716235,-0.00969121352454,1113.24563272,C,0.780826899132,-0.254258728285,0,0,1343,-0.0861585772427,-0.0302425068339,0.252684716235,0,36.8288209413,0,100,15.6165379826,74.5741271715,33.2262717507
ADXDM-sideways,TRANSITION,22,15,-0.0345557465211,-0.0878902011995,15,0.0533344546785,VALIDATION,-518.336197816,-1318.35301799,0.0665249027426,0.0108136415358,800.016820177,B,0.269177357006,-0.250526306849,0,0,146,-1.37843264427,-1.29584049454,0.0931348638396,0,90.686513616,0,100,5.38354714012,74.9473693151,45.7047200495
ADXDM-transition,BEAR,25,19,0.0136574305194,-0.0440301576146,19,0.057687588134,VALIDATION,259.491179868,-836.572994678,9.62812999126e-06,-0.0024586195327,1096.06417455,C,1597.52174808,-0.000100659796477,0,0,651,953.188611214,0.14549044647,0.000100659796477,100,99.9899340204,36.3726116174,100,100,99.9899340204,90.4523686497
ADXDM-transition,BULL,7,6,0.00132807373215,0.117323064754,6,-0.115994991022,EXPLORATORY,7.96844239291,703.938388527,1.54144628462e-05,-0.293593737063,-695.969946134,F,67.2803073343,-4.90032655455e-05,0,0,171,288.129161233,0.0170086635872,2.36236486463e-05,100,99.9976376351,4.2521658968,100,100,99.9950996734,85.6367442606
ADXDM-transition,SIDEWAYS,36,27,-0.00263066068209,-0.00798091094739,27,0.0053502502653,VALIDATION,-71.0278384164,-215.48459558,0.0227543315962,-0.0659000274431,144.456757163,F,0.716756459652,-0.250297647558,0,0,784,-0.102070261517,-0.033067807426,0.250297647558,0,37.4255881105,0,100,14.335129193,74.9702352442,33.2869334713
ADXDM-transition,TRANSITION,37,28,-0.0129688790046,-0.052414671734,28,0.0394457927294,VALIDATION,-363.128612128,-1467.61080855,0.0174668717502,0.0193556431832,1104.48219642,B,0.27239509649,-0.25266489019,0,0,250,-0.770202036167,-0.530167773707,0.25266489019,0,36.8337774525,0,100,5.4479019298,74.733510981,32.2265856542
ADXDM-trend,BEAR,1,1,-1.18790545084e-07,-0.387893662807,1,0.387893544016,EXPLORATORY,-0.000118790545084,-387.893662807,1.18790545116e-07,,387.893544016,,0,-1.18790545084e-07,0,0,78,-100,-5.55878832765e-07,1.18790545116e-07,100,99.9999881209,0,100,0,99.9999881209,74.9999958423
ADXDM-trend,BULL,26,20,-0.00446340604854,0.0686815957565,20,-0.0731450018051,VALIDATION,-89.2681209709,1373.63191513,0.00974387723301,-0.184646316864,-1462.9000361,F,0.647877429003,-0.253219465218,0,0,382,-0.234133701764,-0.0852954559015,0.0422234680097,0,95.777653199,0,100,12.9575485801,74.6780534782,47.7079735056
ADXDM-trend,SIDEWAYS,21,17,-0.00414493959762,0.0557963215826,17,-0.0599412611802,VALIDATION,-70.4639731595,948.537466903,0.0118276320884,-0.157138778521,-1019.00144006,F,0.716429516613,-0.248378011649,0,0,499,-0.105909474107,-0.0515417839744,0.124190136928,0,80.3239452289,0,100,14.3285903323,75.1621988351,44.030065224
ADXDM-trend,TRANSITION,15,14,0.00575544108891,-0.0656891671925,14,0.0714446082814,VALIDATION,80.5761752448,-919.648340695,3.26635135489e-06,0.0256076216205,1000.22451594,A,982.180811294,-4.57289189684e-05,0,0,98,2052.38168526,0.300105142493,4.57289189685e-05,100,99.9954271081,55.0052571247,100,100,99.9954271081,93.2491880565
ADXMomentum-sideways,BEAR,1,1,-0.0173234578042,-0.0716810659152,1,0.054357608111,EXPLORATORY,-17.3234578042,-71.6810659152,0.0173234578042,,54.357608111,,0,-0.0173234578042,0,0,21,-100,-0.301098195168,0.0173234578042,100,98.2676542196,0,100,0,98.2676542196,74.3936789769
ADXMomentum-sideways,SIDEWAYS,1,1,-0.000672718052904,0.0826096653533,1,-0.0832823834062,EXPLORATORY,-0.672718052904,82.6096653533,0.000672718052904,,-83.2823834062,,0,-0.000672718052904,0,0,30,-100,-0.00818473631033,0.000672718052904,100,99.9327281947,0,100,0,99.9327281947,74.9764548681
ADXMomentum-sideways,TRANSITION,2,1,0.020000294651,-0.167353661431,1,0.187353956082,EXPLORATORY,20.000294651,-167.353661431,0,,187.353956082,,inf,0.00999978099046,0,0,32,-100,0.228128360863,0,100,100,51.4064180431,100,100,100,92.7109627065
ADXMomentum-transition,SIDEWAYS,1,1,-0.0468280382719,-0.186660892161,1,0.139832853889,EXPLORATORY,-46.8280382719,-186.660892161,0.0468280382719,,139.832853889,,0,-0.0468280382719,0,0,27,-100,-0.633045702565,0.0468280382719,100,95.3171961728,0,100,0,95.3171961728,73.3610186605
ADXMomentum-transition,TRANSITION,2,2,-0.0097473471328,0.0112208656227,2,-0.0209682127555,EXPLORATORY,-19.4946942656,22.4417312453,0.0294924965265,-0.244132590544,-41.9364255109,F,0.338994776245,-0.0294924965265,0,0,33,-100,-0.215623133544,0.0294924965265,100,97.0507503474,0,100,6.7798955249,97.0507503474,74.6457521741
ADXMomentum-trend,BULL,1,1,0.00999882069771,0.326052450699,1,-0.316053630001,EXPLORATORY,9.99882069771,326.052450699,0,,-316.053630001,,inf,0.00999882069771,0,0,29,-100,0.125847226023,0,100,100,31.4618065057,100,100,100,89.7192709759
ADXMomentum-trend,TRANSITION,2,2,0.0100652145286,-0.0414051518949,2,0.0514703664235,EXPLORATORY,20.1304290573,-82.8103037898,0,-0.20010108751,102.940732847,F,inf,0.00999927650308,0,0,35,-100,0.209931617312,0,100,100,50.4965808656,100,100,100,92.5744871298
ADX_15M_USDT-sideways,BEAR,160,33,-0.007848944582,-0.0117575576135,33,0.00390861303153,VALIDATION,-259.015171206,-387.999401247,0.0169532002108,-0.0255587416914,128.984230041,D,0.815138796871,-0.12724636122,0,0,772,-0.258888242435,-0.122461836127,0.127149001581,0,79.1403993676,0,100,16.3027759374,87.275363878,45.1429138234
ADX_15M_USDT-sideways,BULL,62,15,0.0156341246147,0.0252671272853,15,-0.00963300267062,VALIDATION,234.51186922,379.00690928,0.021207604546,-0.0561179438061,-144.495040059,F,1.46072205588,-0.127245627276,0,0,253,0.685391368149,0.338327400259,0.127245627276,22.8463789383,79.1017490896,56.9163700129,100,43.0361027939,87.2754372724,62.0556415155
ADX_15M_USDT-sideways,SIDEWAYS,629,100,-0.00650778807925,0.0293438038265,100,-0.0358515919058,VALIDATION,-650.778807925,2934.38038265,0.0112952056719,-0.0646713338684,-3585.15919058,F,0.866352685738,-0.127247244129,0,0,2361,-0.208074045673,-0.100607481954,0.127247244129,0,79.1011023484,0,100,17.3270537148,87.2752755871,45.2355085173
ADX_15M_USDT-sideways,TRANSITION,209,75,0.00811608086763,0.00177176240035,75,0.00634431846728,VALIDATION,608.706065072,132.882180027,0.00908845938882,-0.0111213816132,475.823885046,C,1.47751141017,-0.127246471539,0,0.00478468899522,514,0.747945381848,0.432252361384,0.127246471539,24.9315127283,79.1014113844,61.6126180692,100,43.8755705083,87.2753528461,63.365216074
ADX_15M_USDT-transition,BEAR,164,41,-0.0111605614782,-0.0191331577023,41,0.00797259622419,VALIDATION,-457.583020605,-784.459465796,0.0061099870345,-0.0305553525909,326.876445192,D,0.723819213615,-0.127246398781,0,0,1194,-0.364853672235,-0.139880906634,0.101762728488,0,89.2949086048,0,100,14.4763842723,87.2753601219,47.4989015906
ADX_15M_USDT-transition,BULL,75,24,-0.0410007755279,0.0313204661096,24,-0.0723212416375,VALIDATION,-984.018612669,751.69118663,0.127094836851,-0.178641071105,-1735.7097993,F,0.405141917948,-0.127247023659,0,0,502,-1.52714451671,-0.715471700447,0.127094836851,0,79.1620652596,0,100,8.10283835896,87.2752976341,44.3283299142
ADX_15M_USDT-transition,SIDEWAYS,302,72,-0.0277833030531,-0.00228710221086,72,-0.0254962008423,VALIDATION,-2000.39781982,-164.671359182,0.0334692174691,-0.0642650266949,-1835.72646064,F,0.438595524923,-0.127246133551,0,0,1921,-0.908490079542,-0.380085999082,0.127220790573,0,79.1116837708,0,100,8.77191049846,87.2753866449,44.382650657
ADX_15M_USDT-transition,TRANSITION,260,104,-0.00480440562068,-0.00365035785521,104,-0.00115404776547,VALIDATION,-499.65818455,-379.637216942,0.010158241942,-0.0150223175334,-120.020967609,C,0.719530799033,-0.12724722071,0,0,764,-0.451489404929,-0.238711043666,0.127247121979,0,79.1011512084,0,100,14.3906159807,87.275277929,44.9418771931
ADX_15M_USDT-trend,BEAR,38,19,-0.00368735212674,-0.0526099032798,19,0.0489225511531,VALIDATION,-70.059690408,-999.588162317,0.00800465209231,-0.00506732976122,929.528471909,C,0.774697297812,-0.127245091342,0,0.0263157894737,524,-0.189837183981,-0.0488011202269,0.127245091342,0,79.1019634632,0,100,15.4939459562,87.2754908658,45.052434548
ADX_15M_USDT-trend,BULL,386,49,-0.0225477117493,0.120419101425,49,-0.142966813174,VALIDATION,-1104.83787572,5900.53596982,0.0136127221226,-0.249052771502,-7005.37384553,F,0.782957723049,-0.127247242153,0,0,833,-0.641415073783,-0.484112634618,0.127242516997,0,79.1029932012,0,100,15.659154461,87.2752757847,45.0691913249
ADX_15M_USDT-trend,SIDEWAYS,180,41,0.000414081160082,0.0857223008584,41,-0.0853082196983,VALIDATION,16.9773275634,3514.6143352,0.00965119107482,-0.133197403332,-3497.63700763,F,1.00889376176,-0.12724510944,0,0,886,0.0146378905119,0.00699404577949,0.127012615357,0.487929683729,79.1949538572,1.74851144487,100,20.4446880879,87.275489056,45.9550153163
ADX_15M_USDT-trend,TRANSITION,120,54,-0.0314338779729,0.00709499626271,54,-0.0385288742356,VALIDATION,-1697.42941054,383.129798187,0.0168460493729,-0.059533151113,-2080.55920872,F,0.259487808391,-0.127245440487,0,0,335,-2.61304154242,-1.84943801446,0.063607642539,0,93.6392357461,0,100,5.18975616781,87.2754559513,47.6563301484
AdaptiveRegime-sideways,BEAR,7,7,-0.0831381634455,-0.0787010827492,7,-0.00443708069625,EXPLORATORY,-581.967144118,-550.907579245,0.137767889462,-0.126427843272,-31.0595648737,F,0.0819093212954,-0.182181859718,0,0,237,-7.45903413055,-0.896278513094,0.137767889462,0,74.8928442152,0,100,1.63818642591,81.7818140282,42.0652110992
AdaptiveRegime-sideways,BULL,3,2,-0.21104536303,0.101700668967,2,-0.312746031997,EXPLORATORY,-422.090726061,203.401337934,0.174991246797,-2.40024886771,-625.492063995,F,0,-0.174991246797,0,0,61,-13.9303148553,-2.52562483626,0.174991246797,0,60.0035012812,0,100,0,82.5008753203,38.2509628523
AdaptiveRegime-sideways,SIDEWAYS,29,25,-0.00364190457572,0.0169338785262,25,-0.0205757831019,VALIDATION,-91.0476143931,423.346963155,0.0680025229441,-0.101732895576,-514.394577548,F,0.958592933321,-0.343307478887,0,0,635,-0.151820066402,-0.0523344555173,0.19148478343,0,53.4060866281,0,100,19.1718586664,65.6692521113,36.8356327348
AdaptiveRegime-sideways,TRANSITION,12,12,-0.0335157937001,0.0370258158755,12,-0.0705416095756,VALIDATION,-402.189524401,444.309790506,0.294606271776,-0.147105508434,-846.499314908,F,0.552903066073,-0.294606271776,0,0,77,-3.00966641959,-1.90648281047,0.294606271776,0,26.348432056,0,100,11.0580613215,70.5393728224,29.7468514284
AdaptiveRegime-transition,BEAR,13,13,0.0150970969379,-0.129604674053,13,0.144701770991,VALIDATION,196.262260193,-1684.86076269,0.0796553346941,0.00919870021014,1881.12302288,B,1.34807958454,-0.216451989639,0,0,478,0.609829047252,0.149865533411,0.0995691683676,20.3276349084,90.0430831632,37.4663833527,100,37.4039792269,78.3548010361,59.7885150471
AdaptiveRegime-transition,BULL,5,5,0.0713360444827,0.25035072231,5,-0.179014677827,EXPLORATORY,356.680222413,1251.75361155,0.0587493651769,-0.32221360333,-895.073389135,F,2.51780458112,-0.13880463543,0,0,195,7.24282792803,0.667632211184,0.117498730354,100,83.0005078585,73.3816105592,100,71.9417671792,86.119536457,87.5634989121
AdaptiveRegime-transition,SIDEWAYS,17,17,0.0622182401543,0.0197730275934,17,0.0424452125609,VALIDATION,1057.71008262,336.141469087,0.0890380438696,-0.0760496362099,721.568613536,F,2.34925301155,-0.163572017641,0,0.0588235294118,513,4.09218673652,0.752561754692,0.0890380438696,100,91.096195613,77.6280877346,100,71.3096987933,83.6427982359,89.9135117664
AdaptiveRegime-transition,TRANSITION,14,14,0.0378022189787,-0.0390497872181,14,0.0768520061967,VALIDATION,529.231065701,-546.697021053,0.0785081484677,0.00267904650651,1075.92808675,B,1.96667174058,-0.127104970897,0,0,89,7.39450932851,2.17044201102,0.127104970897,100,79.1580116412,95.8522100551,100,68.3335870289,87.2895029103,89.7296434125
AdaptiveRegime-trend,BEAR,21,21,-0.0211224581451,-0.11644829412,21,0.0953258359745,VALIDATION,-443.571621047,-2445.41417651,0.190673061612,0.0219313023311,2001.84255546,A,0.552451114384,-0.190673061612,0,0,833,-1.09551277233,-0.194362114864,0.190673061612,0,53.7307753552,0,100,11.0490222877,80.9326938388,37.6308654514
AdaptiveRegime-trend,BULL,16,15,0.04626934517,0.242005425703,15,-0.195736080533,VALIDATION,694.04017755,3630.08138555,0.0522368126026,-0.3591155943,-2936.041208,F,1.63130537563,-0.219289143395,0,0,406,2.3092620994,0.623952376369,0.219289143395,76.9754033134,45.1777141512,71.1976188184,100,51.5652687817,78.0710856605,69.1815576332
AdaptiveRegime-trend,SIDEWAYS,14,12,-0.0896064720764,0.124424801149,12,-0.214031273225,VALIDATION,-1075.27766492,1493.09761379,0.0826887080056,-0.396954534482,-2568.3752787,F,0.089380501207,-0.18508073489,0,0,318,-4.95336775695,-1.23420235124,0.159486743794,0,66.2053024823,0,100,1.78761002414,81.491926511,39.8792792741
AdaptiveRegime-trend,TRANSITION,11,11,0.39505788695,0.0365468740149,11,0.358511012936,VALIDATION,4345.63675645,402.015614163,0.0672192001637,-0.112316532024,3943.62114229,F,8.61917160021,-0.351394643683,0,0,50,22.0142424378,31.7231483221,0.351394643683,100,12.1513390792,100,100,94.8218935008,64.8605356317,74.0060776831
AlmgrenChrissStrategy-sideways,BEAR,217,35,-0.0267542491397,-0.00597604452314,35,-0.0207782046165,VALIDATION,-936.398719888,-209.16155831,0.02470778221,-0.0564950774873,-727.237161578,F,0.714943235505,-0.103163332253,0,0,788,-1.10492914798,-0.433737985735,0.101693476405,0,89.322609438,0,100,14.2988647101,89.6836667747,47.728905508
AlmgrenChrissStrategy-sideways,BULL,80,14,-0.0531573104083,0.0330752226437,14,-0.086232533052,VALIDATION,-744.202345716,463.053117012,0.0438271763376,-0.185602216776,-1207.25546273,F,0.575797492788,-0.103135273307,0,0.0125,258,-2.59380838345,-1.05284440382,0.103135273307,0,88.7458906772,0,100,11.5159498558,89.6864726693,47.3067149218
AlmgrenChrissStrategy-sideways,SIDEWAYS,650,85,-0.0460893642948,0.018570836385,85,-0.0646602006798,VALIDATION,-3917.59596506,1578.52109273,0.0128371935904,-0.105581703483,-5496.11705779,F,0.636827209554,-0.104519250796,0,0.00461538461538,2093,-1.51072472196,-0.683192798494,0.10147709668,0,89.409161328,0,100,12.7365441911,89.5480749204,47.5807522431
AlmgrenChrissStrategy-sideways,TRANSITION,325,77,-0.0162498904903,0.00244489445076,77,-0.018694784941,VALIDATION,-1251.24156775,188.256872708,0.0232713731117,-0.0402793939041,-1439.49844046,D,0.749193331749,-0.108059717122,0,0.00615384615385,527,-1.37527414652,-0.866609434971,0.0930854924469,0,90.6914507553,0,100,14.983866635,89.1940282878,48.0906521811
AlmgrenChrissStrategy-transition,BEAR,229,44,-0.0140009093678,-0.0112546527585,44,-0.00274625660931,VALIDATION,-616.040012185,-495.204721375,0.0325322129158,-0.043412765292,-120.83529081,D,0.827882851245,-0.103025735706,0,0,1193,-0.576767738052,-0.188478293753,0.101769316491,0,89.2922734038,0,100,16.5576570249,89.6974264294,47.9485766964
AlmgrenChrissStrategy-transition,BULL,229,22,-0.037058888342,0.0412766846427,22,-0.0783355729847,VALIDATION,-815.295543524,908.087062139,0.0135627565042,-0.216445458795,-1723.38260566,F,0.795504191463,-0.103795032216,0,0,495,-1.21672789645,-0.601177521993,0.103795032216,0,88.4819871136,0,100,15.9100838293,89.6204967784,47.6735548392
AlmgrenChrissStrategy-transition,SIDEWAYS,364,69,-0.014445624055,0.00385218387213,69,-0.0182978079272,VALIDATION,-996.748059796,265.800687177,0.0254191606202,-0.0686703980444,-1262.54874697,F,0.81333289409,-0.10460749978,0,0,1842,-0.58456772059,-0.197509794694,0.102136493212,0,89.1454027152,0,100,16.2666578818,89.539250022,47.8669414692
AlmgrenChrissStrategy-transition,TRANSITION,182,71,-0.0132514914524,-0.00727268716591,71,-0.00597880428646,VALIDATION,-940.855893118,-516.36078878,0.051161476987,-0.0260300418151,-424.495104339,D,0.717031458006,-0.106692288325,0,0,526,-1.38405241861,-0.65287528705,0.102322953974,0,89.0708184104,0,100,14.3406291601,89.3307711675,47.6348446354
AlmgrenChrissStrategy-trend,BEAR,889,69,-0.0167769194561,-0.0097071999062,69,-0.0070697195499,VALIDATION,-1157.60744247,-669.796793528,0.0188590364624,-0.0474459579706,-487.810648943,D,0.880430495163,-0.10387412371,0,0,1641,-0.495185040261,-0.257481241013,0.10387412371,0,88.450350516,0,100,17.6086099033,89.612587629,47.8347073822
AlmgrenChrissStrategy-trend,BULL,882,63,0.00447228600803,0.0685145199632,63,-0.0640422339552,VALIDATION,281.754018506,4316.41475768,0.0243267499032,-0.147714487543,-4034.66073917,F,1.02515637331,-0.118909458299,0,0,908,0.142366632833,0.113260150611,0.102264067228,4.74555442778,89.0943731088,28.3150376527,100,21.2578186656,88.1090541701,53.6439248156
AlmgrenChrissStrategy-trend,SIDEWAYS,447,58,-0.00126796343678,0.0350781713866,58,-0.0363461348234,VALIDATION,-73.5418793333,2034.53394042,0.00427348526718,-0.083595820834,-2108.07581976,F,0.97942841307,-0.101936036895,0,0,1377,-0.059280326087,-0.0194936717187,0.0578121295643,0,94.2187870436,0,100,19.5885682614,89.8063963105,49.4941932181
AlmgrenChrissStrategy-trend,TRANSITION,387,97,-0.00789990067083,0.00292272506436,97,-0.0108226257352,VALIDATION,-766.29036507,283.504331243,0.011048127511,-0.028605699139,-1049.79469631,D,0.812116961899,-0.102801443677,0,0,584,-0.862232549248,-0.478931478169,0.10195533334,0,89.217866664,0,100,16.242339238,89.7198556323,47.900686153
BBMod-sideways,BEAR,52,17,-0.00470874944202,-0.0308483811946,17,0.0261396317526,VALIDATION,-80.0487405144,-524.422480308,0.00931011570883,-0.0166899755305,444.373739794,C,0.792640203421,-0.104164393107,0,0,480,-0.379494337239,-0.0608703964328,0.0174508274462,0,98.2549172554,0,100,15.8528040684,89.5835606893,50.1073657896
BBMod-sideways,BULL,15,9,-0.0121858152706,0.0653986941555,9,-0.077584509426,VALIDATION,-109.672337435,588.588247399,0.0188874568066,-0.204255893727,-698.260584834,F,0.459015963704,-0.0482665582396,0,0,187,-2.14762883124,-0.214066327079,0.0465415939992,0,95.3458406001,0,100,9.18031927407,95.173344176,49.271826495
BBMod-sideways,SIDEWAYS,159,40,-0.0122015734104,-0.00126165402255,40,-0.0109399193878,VALIDATION,-488.062936415,-50.466160902,0.0299410758549,-0.06503028387,-437.596775513,F,0.743713313508,-0.0999969089784,0,0,993,-0.635968434815,-0.179398763133,0.0999318445383,0,90.0068155462,0,100,14.8742662702,90.0003091022,47.9891614238
BBMod-sideways,TRANSITION,78,26,-0.0180014504236,-0.0438505471331,26,0.0258490967095,VALIDATION,-468.037711013,-1140.11422546,0.0316328591642,-0.00590217365621,672.076514448,C,0.624702592878,-0.108874499584,0,0,177,-1.92364906257,-0.965162511412,0.0442860028299,0,95.571399717,0,100,12.4940518576,89.1125500416,49.0535101192
BBMod-transition,BEAR,73,26,0.00738930730024,-0.0552274198839,26,0.0626167271841,VALIDATION,192.121989806,-1435.91291698,0.0182489443968,-0.00304620249389,1628.03490679,C,1.46791529267,-0.0999966707527,0,0,876,0.510259258797,0.0800508290859,0.0218987332761,17.0086419599,97.8101266724,20.0127072715,100,43.3957646333,90.0003329247,60.0462080046
BBMod-transition,BULL,60,15,0.00301030444011,0.0829329389708,15,-0.0799226345307,VALIDATION,45.1545666016,1243.99408456,0.102160233962,-0.25149645206,-1198.83951796,F,1.08985453343,-0.102160233962,0,0,418,0.1989808833,0.0394292268172,0.102160233962,6.63269611002,89.1359064152,9.8573067043,100,24.4927266714,89.7839766038,51.8484169645
BBMod-transition,SIDEWAYS,88,40,0.00779694192883,-0.00228630404301,40,0.0100832459718,VALIDATION,311.877677153,-91.4521617203,0.10305740846,-0.0532568216569,403.329838874,F,1.77270137885,-0.10305740846,0,0,1204,0.67343571995,0.0945476346852,0.10305740846,22.4478573317,88.777036616,23.6369086713,100,58.6350689424,89.694259154,61.1846925973
BBMod-transition,TRANSITION,59,31,0.00468551126559,-0.0355688642592,31,0.0402543755248,VALIDATION,145.250849233,-1102.63479203,0.00919232517521,0.0148399819094,1247.88564127,B,1.47290808505,-0.0524297620188,0,0,196,1.99916191189,0.270492652909,0.0324965903022,66.6387303963,96.7503409698,53.5246326454,100,43.6454042524,94.7570237981,77.7162055434
BBMod-trend,BEAR,25,8,-0.0235485294749,0.0271371695517,8,-0.0506856990266,VALIDATION,-188.388235799,217.097356414,0.011881933329,-0.12201842917,-405.485592213,F,0.389830195244,-0.0998027598985,0,0,131,-1.93238496375,-0.524898519592,0.0388158603307,0,96.1184139669,0,100,7.79660390489,90.0197240102,48.8112362832
BBMod-trend,BULL,337,27,0.0263057303758,0.204289497488,27,-0.177983767112,VALIDATION,710.254720145,5515.81643217,0.0250525712347,-0.34553652669,-4805.56171203,F,1.30429325304,-0.121828878907,0,0,589,1.12973664915,0.440140870718,0.0999699225506,37.6578883051,90.0030077449,62.0070435359,100,35.2146626522,87.8171121093,68.5194580191
