candidate_id,btc_regime,episodes,positive_episodes,negative_episodes,median_episode_profit,worst_episode_profit,best_episode_profit,episode_win_rate
ADXDM-sideways,SIDEWAYS,33,28,5,1.19476649,-31.31544062,8.37930546,0.848484848485
ADXDM-transition,TRANSITION,45,34,11,0.12642087,-51.49199919,9.39075629,0.755555555556
ADXMomentum-sideways,SIDEWAYS,5,3,2,1.23759322,-3.22590602,2.47733848,0.6
ADXMomentum-transition,TRANSITION,3,2,1,1.23408515,-3.65543769,1.23694038,0.666666666667
ADX_15M_USDT-sideways,SIDEWAYS,41,26,15,12.39129567,-117.61659155,115.32006336,0.634146341463
ADX_15M_USDT-sideways,TRANSITION,1,1,0,3.94306489,3.94306489,3.94306489,1
ADX_15M_USDT-transition,BEAR,1,1,0,3.64295988,3.64295988,3.64295988,1
ADX_15M_USDT-transition,BULL,1,0,1,-8.145e-05,-8.145e-05,-8.145e-05,0
ADX_15M_USDT-transition,SIDEWAYS,2,2,0,2.20159149,0.0022035,4.40097948,1
ADX_15M_USDT-transition,TRANSITION,84,54,30,0.80324765,-57.44381684,22.47568486,0.642857142857
ASDTSRockwellTrading-sideways,SIDEWAYS,32,0,32,-11.01737397,-127.31412507,-0.74963609,0
ASDTSRockwellTrading-sideways,TRANSITION,5,1,4,-0.03645438,-0.41096662,0.71407825,0.2
ASDTSRockwellTrading-transition,BEAR,1,0,1,-0.115702,-0.115702,-0.115702,0
ASDTSRockwellTrading-transition,BULL,1,0,1,-0.75247882,-0.75247882,-0.75247882,0
ASDTSRockwellTrading-transition,SIDEWAYS,3,0,3,-0.03507253,-0.154068,-0.00941374,0
ASDTSRockwellTrading-transition,TRANSITION,85,3,82,-4.16395787,-90.18313088,16.67021862,0.0352941176471
AdaptiveRegime-sideways,SIDEWAYS,21,7,14,-7.20471002,-118.51736329,570.4198702,0.333333333333
AdaptiveRegime-sideways,TRANSITION,3,2,1,28.15818847,-34.29886902,55.98865473,0.666666666667
AdaptiveRegime-transition,BEAR,2,0,2,-34.70192035,-51.73618635,-17.66765435,0
AdaptiveRegime-transition,BULL,3,2,1,16.57736826,-3.28168349,18.56419316,0.666666666667
AdaptiveRegime-transition,SIDEWAYS,1,0,1,-33.22008292,-33.22008292,-33.22008292,0
AdaptiveRegime-transition,TRANSITION,23,8,15,-7.28281066,-66.3503619,52.53690566,0.347826086957
AlmgrenChrissStrategy-sideways,SIDEWAYS,41,10,31,-8.99028451,-93.47781967,12.83283449,0.243902439024
AlmgrenChrissStrategy-sideways,TRANSITION,1,0,1,-3.37917011,-3.37917011,-3.37917011,0
AlmgrenChrissStrategy-transition,SIDEWAYS,2,1,1,-0.590670075,-1.68655404,0.50521389,0.5
AlmgrenChrissStrategy-transition,TRANSITION,86,41,45,-0.92340303,-61.00220988,34.06193704,0.476744186047
BBMod-sideways,SIDEWAYS,29,18,11,0.77735749,-54.69114078,30.07935757,0.620689655172
BBMod-transition,TRANSITION,50,29,21,0.442805415,-35.84486453,27.30905283,0.58
