candidate_id,coin_phase,trades,long_trades,short_trades,profit_abs,mean_profit_ratio,wins,gross_profit,gross_loss,mean_duration_minutes,active_dates,profit_factor,win_rate
ADXDM-sideways,high_vol_shock,1,1,0,-0.00141496,-1.14341990431e-05,0,0,0.00141496,11950,1,0,0
ADXDM-sideways,range_choppy,47,47,0,-29.31118002,-0.00491788226124,36,34.07542291,63.38660293,1399.25531915,32,0.53758083467,0.765957446809
ADXDM-sideways,range_quiet,91,91,0,22.1294023,0.00201853454618,67,54.35826706,32.22886476,3797.85714286,63,1.68663300631,0.736263736264
ADXDM-transition,high_vol_shock,3,3,0,4.72137973,0.0129903537039,3,4.72137973,0,1285,3,inf,1
ADXDM-transition,transition,121,121,0,-82.72777835,-0.00554730262107,77,69.04702987,151.77480822,3445,80,0.454930766705,0.636363636364
ADXMomentum-sideways,range_choppy,1,1,0,1.2406373,0.0100164252365,1,1.2406373,0,0,1,inf,1
ADXMomentum-sideways,range_quiet,6,6,0,0.40563405,0.000554089782956,3,3.7149317,3.30929765,710,5,1.12257406039,0.5
ADXMomentum-transition,transition,3,3,0,-1.18441216,-0.00316494815038,2,2.47102553,3.65543769,2180,3,0.675986226426,0.666666666667
ADX_15M_USDT-sideways,high_vol_shock,22,22,0,-1.66095912,-0.000971719036327,18,33.45344991,35.11440903,1362.95454545,15,0.952698645203,0.818181818182
ADX_15M_USDT-sideways,range_choppy,497,497,0,96.77703154,0.00131084756937,350,645.41988967,548.64285813,1605.81488934,217,1.17639349552,0.704225352113
ADX_15M_USDT-sideways,range_quiet,689,689,0,-77.28420971,-0.000337811688113,457,564.27625824,641.56046795,2157.5616836,322,0.879537138632,0.66328011611
ADX_15M_USDT-sideways,transition,1,1,0,3.94306489,0.0276553559931,1,3.94306489,0,540,1,inf,1
ADX_15M_USDT-transition,high_vol_shock,37,37,0,6.625054,0.00118937697817,25,53.58384493,46.95879093,1448.10810811,23,1.14108229511,0.675675675676
ADX_15M_USDT-transition,transition,694,694,0,-248.02633549,-0.00309182353384,474,497.75592143,745.78225692,2268.0259366,349,0.667427948052,0.682997118156
ASDTSRockwellTrading-sideways,high_vol_shock,317,317,0,-44.76961395,-0.00222714008268,91,75.37324021,120.14285416,41.7350157729,21,0.627363489381,0.287066246057
ASDTSRockwellTrading-sideways,range_choppy,4810,4810,0,-480.74771625,-0.00182344806484,1149,628.73241041,1109.48012666,46.3336798337,169,0.566691007168,0.238877338877
ASDTSRockwellTrading-sideways,range_quiet,8365,8365,0,-440.3694288,-0.00210155499758,1476,209.54057018,649.90999898,48.2719665272,292,0.322414750518,0.176449491931
ASDTSRockwellTrading-sideways,transition,6,6,0,0.06321442,-0.00238844988727,2,1.04743404,0.98421962,42.5,6,1.06422796164,0.333333333333
ASDTSRockwellTrading-transition,bear_trend,1,1,0,-0.115702,-0.00115237699468,0,0,0.115702,70,1,0,0
ASDTSRockwellTrading-transition,bull_trend,1,1,0,-0.75247882,-0.0104109256266,0,0,0.75247882,10,1,0,0
ASDTSRockwellTrading-transition,high_vol_shock,521,521,0,-95.11167737,-0.00241114693884,147,164.74787866,259.85955603,42.1689059501,31,0.633988147971,0.282149712092
ASDTSRockwellTrading-transition,range_choppy,1,1,0,-0.33807454,-0.00908889524223,0,0,0.33807454,30,1,0,0
ASDTSRockwellTrading-transition,range_quiet,3,3,0,-0.19855427,-0.00386979652496,0,0,0.19855427,31.6666666667,3,0,0
ASDTSRockwellTrading-transition,transition,11308,11308,0,-862.41642854,-0.0021824391529,2302,758.39804111,1620.81446965,47.1997700743,499,0.467911692122,0.2035726919
AdaptiveRegime-sideways,high_vol_shock,2,2,0,59.51742278,0.228449240197,2,59.51742278,0,60480,2,inf,1
AdaptiveRegime-sideways,range_choppy,20,9,11,-160.74256727,-0.00756909231838,3,301.00236116,461.74492843,30960,13,0.651880167224,0.15
AdaptiveRegime-sideways,range_quiet,24,14,10,702.2554783,0.200002154564,12,830.87580331,128.62032501,48720,20,6.45991061868,0.5
