repo,local_kind,local_only_patch_commit,local_sha,local_date,remote_default_branch,remote_head_sha,remote_pushed_at,remote_status,ahead_by,behind_by
DonaldSimpson/remora-freqtrade,harvest_files,,,2026-08-25T05:36:25.068036+00:00,main,219863a624617e6e54f39ec5d5eb075e5256b847,2025-12-22T18:15:03Z,current_by_pushed_at,,
djienne/YOUTUBE_STRATEGIES_FREQTRADE,harvest_files,,,2026-09-22T08:43:45.177684+00:00,master,47937b19b9bd16b9aa2aae1a53a994c43696b82c,2025-12-22T21:37:49Z,current_by_pushed_at,,
Mohamed-sm/Freqtrade-RLStrategy-IA,harvest_files,,,2026-08-24T21:23:52.805319+00:00,master,fff3bf63308a8baecf64097f870e64ea98b131c4,2025-07-16T01:02:17Z,current_by_pushed_at,,
davidzr/freqtrade-strategies,harvest_files,,,2026-09-21T04:37:27.470294+00:00,main,9623c1f3d8c7f60c8b411010fa26377e6ca99ab9,2024-02-10T20:25:41Z,current_by_pushed_at,,
shadowp2810/technical_indicators_cryptos,harvest_files,,,2026-09-12T21:33:02.620125+00:00,master,7baeb44b7704a77646ff0cbde7b29ee6371d4757,2021-12-30T22:22:19Z,current_by_pushed_at,,
Lijunnan0113/Lijunnan0113-Lijunnan_Freqtrade_Strategy,harvest_files,,,2026-08-24T21:22:20.298429+00:00,main,7d7ef2a0f61b119220b7d0f16343ecdb96c919e0,2024-09-24T05:53:13Z,current_by_pushed_at,,
PeetCrypto/freqtrade-stuff,harvest_files,,,2026-09-22T08:43:45.176507+00:00,main,f6c38def0b2fe01d8d42e47740cdeab53511527b,2022-02-18T16:53:53Z,current_by_pushed_at,,
keithorange/FreqTradeCustomOrders,harvest_files,,,2026-08-24T22:56:37.923009+00:00,main,272d50e7d4c0eb7933caf035172c91ce54cb31d0,2024-08-09T14:41:49Z,current_by_pushed_at,,
Kureshi25/cryptobot,harvest_files,,,2026-09-21T03:45:03.139526+00:00,main,c8ffbaabee9f63630e179c698c53df4916b93f8e,2026-09-07T15:23:05Z,current_by_pushed_at,,
djienne/AVELLANEDA_MARKET_MAKING_FREQTRADE,harvest_files,,,2026-09-09T11:11:55.497492+00:00,main,1c28e95041454b9a32e61207e31e94e3775cd7af,2025-12-10T11:38:34Z,current_by_pushed_at,,
obseries/freqtrade-strategy-ichiv1,harvest_files,,,2026-08-24T22:49:23.680408+00:00,main,d0082584bda39341a8dbd8c27aa3a4e4ec930c18,2023-11-26T10:51:33Z,current_by_pushed_at,,
audit-authored/lookahead-rewrites,harvest_files,,,2026-09-22T23:23:27.348056+00:00,,,,api_error_or_not_found,,
Foxel05/freqtrade-stuff,harvest_files,,,2026-08-24T21:17:53.072046+00:00,master,57009a85e072b616c1ac98736f091afbda4e7933,2021-11-19T07:51:14Z,current_by_pushed_at,,
Rikj000/MoniGoMani,harvest_files,,,2026-08-25T05:36:25.220388+00:00,development,6572c167c2e8fab999ded4ce2b5c035868f89e95,2023-03-11T14:05:58Z,current_by_pushed_at,,
ShahAnuj2610/my-freqtrade,harvest_files,,,2026-09-16T17:28:38.260658+00:00,master,65f9f4c02e6cdc15a6a7ae85356529134bb965c5,2025-05-18T04:25:02Z,current_by_pushed_at,,
XXA222/HPRL,harvest_files,,,2026-09-20T17:52:44.683450+00:00,master,b05a5214ffb64cdf3e5385c8deca5fa6fc0f9917,2026-08-25T11:26:29Z,current_by_pushed_at,,
bustillo/freqtrade-strategies,harvest_files,,,2026-08-24T21:48:45.934138+00:00,main,4734aa619a460347f22607de9e3018ec24a7890d,2025-06-24T03:17:57Z,current_by_pushed_at,,
phuchust/freqtrade_strategy,harvest_files,,,2026-08-26T18:58:15.200166+00:00,main,4a0176ed284379a060262d5943394f2ca056d3d7,2022-03-24T05:55:38Z,current_by_pushed_at,,
beanbocchi/money-generator,harvest_files,,,2026-09-14T17:32:11.666130+00:00,main,b5ceb4ecb521f576efa2bb1cc2d4eef938790f22,2026-07-30T01:33:02Z,current_by_pushed_at,,
anakein/beastbotXB,harvest_files,,,2026-08-24T21:51:27.976585+00:00,main,6f1db09e4bfcabccb397ccd56e492c9b0e7bbe07,2022-05-23T17:15:12Z,current_by_pushed_at,,
brookmiles/freqtrade-stuff,harvest_files,,,2026-09-13T05:21:05.964519+00:00,main,1f52e1feb037b0f1851ce85c8471e7b3e6969bd4,2021-05-20T23:42:45Z,current_by_pushed_at,,
thinkong/freqtradestrategies,harvest_files,,,2026-09-20T22:20:53.529084+00:00,main,b24fedd886ed71042a90b9528d66244d47d6fb66,2022-11-28T07:11:49Z,current_by_pushed_at,,
markdregan/FreqAI-Marcos-Lopez-De-Prado,harvest_files,,,2026-09-22T08:43:45.213825+00:00,litmus-ai,8b5dec0e7741a53a7b8d20c6658d3dd7112c1819,2024-04-15T13:05:14Z,current_by_pushed_at,,
jaredrsommer/freqtradestrategies,harvest_files,,,2026-08-26T18:58:15.197337+00:00,main,9d66f71ce21f2f65feaad6bb967215be22a3cfd6,2026-05-18T19:51:14Z,current_by_pushed_at,,
ShahAnuj2610/my-freqtrade-nfi-nextgen,harvest_files,,,2026-09-16T17:28:44.397362+00:00,master,879392464b980db990485cddc99ff17388e2d0f0,2025-05-18T06:54:04Z,current_by_pushed_at,,
HeyMrRobot/Freqtrade-Adaptive-Renko-Strategy,harvest_files,,,2026-08-24T21:22:26.231035+00:00,master,d8c383f049712ce921a16ecbb57925094dd0d47f,2023-05-24T12:01:58Z,current_by_pushed_at,,
titouannwtt/freqtrade-france-strategies-kac-index,harvest_files,,,2026-09-09T05:15:03.310641+00:00,main,7a1ad9598a9930c9aa7e561a86fea5dd4f700510,2026-05-19T20:21:20Z,current_by_pushed_at,,
titouannwtt/freqtrade-ultimate,harvest_files,,,2026-09-16T17:48:54.582308+00:00,main,4dc76a642afbe39da83abfec319822818cf45ac8,2026-09-22T13:43:04Z,pushed_after_local_fetch,,
miwtoo/ft-action-zone,harvest_files,,,2026-09-13T05:27:31.670578+00:00,main,f86730cc979e8dba3481ff13cb24fdd2001ab05d,2022-05-07T08:27:03Z,current_by_pushed_at,,
TheoBrigitte/freqtrade,harvest_files,,,2026-09-21T04:12:02.333975+00:00,main,b9feaaa2f845aed5612b3c7726a0590ee233c846,2025-04-15T20:40:15Z,current_by_pushed_at,,
yeboster/liquidity-sweep-freqtrade,harvest_files,,,2026-09-13T05:01:38.577002+00:00,main,c42bc356d17cb7db66daae91b707590e4307ff0a,2026-09-02T15:55:38Z,current_by_pushed_at,,
Vijay190899/Trade-Bot,harvest_files,,,2026-09-12T21:21:04.264580+00:00,main,02b899cec471d234c60d529eca6560ecc53b14f2,2026-09-02T18:17:03Z,current_by_pushed_at,,
eovie/freqtrade_strs,harvest_files,,,2026-09-16T17:50:34.979222+00:00,main,3ed699f6773bd3db4526eb31bd6d459b95fd2bc2,2026-07-24T22:19:13Z,current_by_pushed_at,,
AlexCryptoKing/freqailstm,harvest_files,,,2026-09-09T05:09:49.189620+00:00,main,b85398f096b3ee6f2ee60571dc640fd897ffa0e2,2024-11-14T05:14:55Z,current_by_pushed_at,,
cyberjunky/freqtrade_strategy,harvest_files,,,2026-08-24T21:49:17.634753+00:00,main,a533274c4daa2448d2f7c21d2129702da44d6a0b,2024-04-12T05:44:29Z,current_by_pushed_at,,
mikedigriz/freqtrade-strategy-mikedigriz,harvest_files,,,2026-08-24T22:10:40.756906+00:00,main,6e5f5b38436404a5166e0ea9cb239b2694c580f7,2024-11-17T09:12:11Z,current_by_pushed_at,,
