btc_regime,rank,strategy_id,excess_return,trades,episodes
BEAR,1,AdaptiveRegime-trend,0.0907116198563,23,5
BEAR,2,AlmgrenChrissStrategy-trend,0.0064312072501,862,13
BULL,1,ADXDM-trend,-0.157449715585,26,9
BULL,2,AlmgrenChrissStrategy-trend,-0.204256782062,647,14
BULL,3,ADX_15M_USDT-trend,-0.227339956351,393,14
BULL,4,BBMod-trend,-0.32204230447,338,10
BULL,5,AdaptiveRegime-trend,-0.325404084287,21,5
SIDEWAYS,1,BBMod-sideways,-0.0298551077162,159,12
SIDEWAYS,2,ADXDM-sideways,-0.0348171925946,64,16
SIDEWAYS,3,ADX_15M_USDT-sideways,-0.0416799392672,670,20
SIDEWAYS,4,AlmgrenChrissStrategy-sideways,-0.0841003422319,746,20
SIDEWAYS,5,AdaptiveRegime-sideways,-0.103180919551,31,12
SIDEWAYS,6,ASDTSRockwellTrading-sideways,-0.149952623675,3587,11
TRANSITION,1,AdaptiveRegime-transition,0.0567830447158,15,10
TRANSITION,2,ADXDM-transition,0.0250950981959,37,18
TRANSITION,3,BBMod-transition,0.0212878803724,59,18
TRANSITION,4,ADX_15M_USDT-transition,0.0122568416282,280,36
TRANSITION,5,AlmgrenChrissStrategy-transition,0.00393344697,392,36
TRANSITION,6,ASDTSRockwellTrading-transition,-0.0703750236544,4766,37
