strategy_id,btc_regime,trades,episodes,mean_profit_ratio,mean_benchmark_return,benchmark_matched_episodes,excess_return,tier,dollar_gain_usd,benchmark_dollar_gain_usd,max_drawdown,episode_excess_lcb,excess_dollar_gain_usd,lcb_grade,profit_factor,worst_trade,liquidation_rate,forced_exit_rate,total_regime_days,sortino,annualized_return,drawdown_since_peak,sortino_pts,drawdown_pts,annualized_return_pts,liquidation_pts,profit_factor_pts,worst_trade_pts,freqforge_score
ADXDM-sideways,SIDEWAYS,64,16,-0.0024190402984,0.0323981522962,46,-0.0348171925946,VALIDATION,-111.275853727,1490.31500563,0.0252684716235,-0.0793078058198,-1601.59085935,F,0.780826899486,-0.254258728285,0,0,1016,-0.0990580262592,-0.0399760694982,0.252684716235,0,36.8288209413,0,100,15.6165379897,74.5741271715,33.2262717514
ADXDM-transition,TRANSITION,37,18,-0.0129688790045,-0.0380639772005,28,0.0250950981959,VALIDATION,-363.128612127,-1065.79136161,0.0174668717501,0.00045278939737,702.662749486,B,0.272395096602,-0.252664890205,0,0,218,-0.824795760339,-0.607990566177,0.252664890205,0,36.8337774488,0,100,5.44790193205,74.7335109795,32.2265856533
ADXDM-trend,BULL,26,9,-0.00446340604973,0.152986309536,20,-0.157449715585,VALIDATION,-89.2681209946,3059.72619071,0.00974387723272,-0.263409343778,-3148.99431171,F,0.647877428937,-0.253219465207,0,0,416,-0.224361816672,-0.0783241926996,0.0422234680084,0,95.7776531992,0,100,12.9575485787,74.6780534793,47.7079735056
ADXMomentum-sideways,SIDEWAYS,1,1,-0.000672718068166,0.0826096653533,1,-0.0832823834215,EXPLORATORY,-0.672718068166,82.6096653533,0.000672718068166,,-83.2823834215,,0,-0.000672718068166,0,0,30,-100,-0.00818473649602,0.000672718068166,100,99.9327281932,0,100,0,99.9327281932,74.9764548676
ADXMomentum-transition,TRANSITION,2,2,-0.00974734710084,0.00821706577771,2,-0.0179644128786,EXPLORATORY,-19.4946942017,16.4341315554,0.0294924965115,-0.222163544739,-35.9288257571,F,0.338994778076,-0.0294924965115,0,0,33,-100,-0.215623132837,0.0294924965115,100,97.0507503489,0,100,6.77989556151,97.0507503489,74.6457521782
ADXMomentum-trend,BULL,1,1,0.00999882076382,0.14114682471,1,-0.131148003946,EXPLORATORY,9.99882076382,141.14682471,0,,-131.148003946,,inf,0.00999882076382,0,0,34,-100,0.107340281729,0,100,100,26.8350704323,100,100,100,89.0252605648
ADX_15M_USDT-sideways,SIDEWAYS,670,20,-0.00488824573563,0.0367916935316,100,-0.0416799392672,VALIDATION,-488.824573563,3679.16935316,0.00931926733483,-0.0645299899947,-4167.99392672,F,0.902160202627,-0.12724724413,0,0,1656,-0.181323388813,-0.10774213125,0.12724724413,0,79.101102348,0,100,18.0432040525,87.275275587,45.307123551
ADX_15M_USDT-transition,BULL,1,1,-8.37001389142e-07,-0.0200544807601,1,0.0200536437587,EXPLORATORY,-0.000837001389142,-20.0544807601,8.37001389186e-07,,20.0536437587,,0,-8.37001389142e-07,0,0,2,-100,-0.000152752753518,8.37001389186e-07,100,99.9999162999,0,100,0,99.9999162999,74.999970705
ADX_15M_USDT-transition,SIDEWAYS,1,1,2.26681089629e-05,-0.00418235048097,1,0.00420501858993,EXPLORATORY,0.0226681089629,-4.18235048097,0,,4.20501858993,,inf,2.26681089629e-05,0,0,30,-100,0.000275795325715,0,100,100,0.0689488314288,100,100,100,85.0103423247
ADX_15M_USDT-transition,TRANSITION,280,36,-0.00410387563921,-0.0163607172674,113,0.0122568416282,VALIDATION,-463.73794723,-1848.76105122,0.00883227544009,0.00122682755225,1385.02310399,B,0.757192842545,-0.127247220697,0,0,758,-0.410848656769,-0.223303892796,0.127247121937,0,79.1011512252,0,100,15.1438568509,87.2752779303,45.0172012844
ADX_15M_USDT-trend,BULL,393,14,-0.0293020100978,0.198037946253,49,-0.227339956351,VALIDATION,-1435.79849479,9703.85936639,0.0175283640196,-0.373444431867,-11139.6578612,F,0.737596481689,-0.127247242203,0,0,936,-0.769764239759,-0.55990005406,0.127242516997,0,79.1029932012,0,100,14.7519296338,87.2752757797,44.9784688416
ASDTSRockwellTrading-sideways,SIDEWAYS,3587,11,-0.14316126913,0.00679135454506,53,-0.149952623675,VALIDATION,-7587.54726388,359.941790888,0.0045296846397,-0.186177856295,-7947.48905476,F,0.325936306313,-0.0395369195057,0,0,612,-40.0705161624,-4.52525286163,0.0045296846397,0,99.547031536,0,100,6.51872612627,96.0463080494,50.1432613016
ASDTSRockwellTrading-sideways,TRANSITION,1,1,-0.00339735298808,0.184718469194,1,-0.188115822182,EXPLORATORY,-3.39735298808,184.718469194,0.00339735298808,,-188.115822182,,0,-0.00339735298808,0,0,11,-100,-0.11273034915,0.00339735298808,100,99.6602647012,0,100,0,99.6602647012,74.8810926454
ASDTSRockwellTrading-transition,SIDEWAYS,2,2,-0.0034497128129,0.0921650949017,2,-0.0956148077146,EXPLORATORY,-6.89942562579,184.330189803,0.00344971281289,-0.168829869579,-191.229615429,F,0,-0.00549040986124,0,0,60,-4.16941584456,-0.0419715058902,0.00344971281289,0,99.6550287187,0,100,0,99.4509590139,49.8588530811
ASDTSRockwellTrading-transition,TRANSITION,4766,37,-0.084136970965,-0.0137619473107,126,-0.0703750236544,VALIDATION,-10601.2583416,-1734.00536114,0.00237039737585,-0.08687996061,-8867.25298045,F,0.318515009404,-0.0308293398819,0,0,827,-37.4421875699,-4.67891087628,0.00540768654623,0,99.4592313454,0,100,6.37030018809,96.9170660118,50.1935444563
