coin_regime,rank,strategy_id,excess_return,trades,episodes
BEAR,1,AdaptiveRegime-trend,0.0883376357337,23,23
BEAR,2,AlmgrenChrissStrategy-trend,-0.00233294794207,863,69
BULL,1,ADXDM-trend,-0.0731450018063,26,20
BULL,2,AlmgrenChrissStrategy-trend,-0.11199035408,646,51
BULL,3,ADX_15M_USDT-trend,-0.136612433842,393,52
BULL,4,BBMod-trend,-0.17760577352,338,27
BULL,5,AdaptiveRegime-trend,-0.190228853262,21,19
SIDEWAYS,1,ADXDM-sideways,0.0231926173523,64,48
SIDEWAYS,2,BBMod-sideways,-0.0109399193889,159,40
SIDEWAYS,3,AdaptiveRegime-sideways,-0.02057578311,29,25
SIDEWAYS,4,ADX_15M_USDT-sideways,-0.0342320495622,670,100
SIDEWAYS,5,AlmgrenChrissStrategy-sideways,-0.0751773701464,746,94
SIDEWAYS,6,ASDTSRockwellTrading-sideways,-0.195695337777,3587,45
TRANSITION,1,AdaptiveRegime-transition,0.0764350578212,13,13
TRANSITION,2,BBMod-transition,0.0402543755264,59,31
TRANSITION,3,ADXDM-transition,0.0394457927294,37,28
TRANSITION,4,ADX_15M_USDT-transition,-0.000326286671283,282,111
TRANSITION,5,AlmgrenChrissStrategy-transition,-0.00364087868701,392,118
TRANSITION,6,ASDTSRockwellTrading-transition,-0.0791955131356,4766,123
