candidate_id,coin_regime,trades,long_trades,short_trades,profit_abs,mean_profit_ratio,wins,gross_profit,gross_loss,mean_duration_minutes,active_dates,profit_factor,win_rate
E0V1E_protections-sideways,TRANSITION,13,13,0,37.64615712,0.0224963580977,9,47.10934016,9.46318304,33.0769230769,7,4.97817066001,0.692307692308
FSampleStrategy-sideways,BEAR,53,50,3,997.99784404,0.0912035176399,16,1594.86281392,596.86496988,42736.9811321,42,2.67206637079,0.301886792453
FSampleStrategy-sideways,BULL,31,27,4,-352.54819376,-0.0184010814629,1,118.87970713,471.42790089,8088.38709677,22,0.252169434405,0.0322580645161
FSampleStrategy-sideways,SIDEWAYS,166,156,10,2108.16697695,0.0581511469966,35,4323.40216623,2215.23518928,27810,87,1.9516673386,0.210843373494
FSampleStrategy-sideways,TRANSITION,73,64,9,-258.65811401,0.01188124334,9,876.59115087,1135.24926488,28368.4931507,52,0.772157426557,0.123287671233
FSampleStrategy-trend,BEAR,54,40,14,-165.74622918,-0.0113053537551,11,264.62662267,430.37285185,20692.2222222,40,0.61487759168,0.203703703704
FSampleStrategy-trend,BULL,182,181,1,562.16950476,0.0232509512251,24,2020.76310621,1458.59360145,16575.1648352,97,1.38541887487,0.131868131868
FSampleStrategy-trend,SIDEWAYS,71,70,1,-251.75026329,-0.00696384583943,5,454.53632728,706.28659057,21904.2253521,52,0.643557917351,0.0704225352113
FSampleStrategy-trend,TRANSITION,53,51,2,-22.93057429,0.0080481370927,4,399.78235964,422.71293393,16965.2830189,36,0.945753790695,0.0754716981132
FastSupertrend_optim3_rsi_80-trend,BEAR,2425,174,2251,2472.1693941,0.00259711072939,1855,31345.8646383,28873.6952442,1029.42680412,371,1.08562012493,0.764948453608
FastSupertrend_optim3_rsi_80-trend,BULL,2033,1749,284,3665.55805216,0.00420724499405,1597,21337.1267812,17671.568729,1114.26463355,471,1.20742686223,0.785538612887
FastSupertrend_optim3_rsi_80-trend,SIDEWAYS,1032,720,312,2756.46299545,0.00539990254684,808,12695.5964924,9939.13349699,1277.6744186,305,1.27733433667,0.782945736434
FastSupertrend_optim3_rsi_80-trend,TRANSITION,986,503,483,619.47037343,0.00302365639675,771,11022.418008,10402.9476346,1143.8336714,349,1.05954758163,0.781947261663
FastSupertrend_optim3_rsi_80-uptrend,BEAR,366,174,192,-218.53491007,-0.000997762498102,268,2134.78222581,2353.31713588,1135.90163934,104,0.907137501046,0.732240437158
FastSupertrend_optim3_rsi_80-uptrend,BULL,2810,1749,1061,2272.17198735,0.00285763935416,2154,17442.845732,15170.6737447,1181.40213523,523,1.1497739669,0.766548042705
FastSupertrend_optim3_rsi_80-uptrend,SIDEWAYS,1149,720,429,1782.04630273,0.00450491537313,876,8019.23756186,6237.19125913,1534.36031332,308,1.28571294814,0.762402088773
FastSupertrend_optim3_rsi_80-uptrend,TRANSITION,816,503,313,713.33808144,0.00339398537683,626,5077.57601954,4364.2379381,1410.22058824,290,1.16345077687,0.767156862745
GodCard-downtrend,BEAR,42,42,0,8.02110972,0.00162360980701,38,29.88183549,21.86072577,272.380952381,23,1.36691872925,0.904761904762
GodCard-downtrend,BULL,3,3,0,4.76619573,0.0128631059293,3,4.76619573,0,30,3,inf,1
GodCard-downtrend,SIDEWAYS,7,7,0,-31.95707185,-0.0366237574444,3,1.13843808,33.09550993,606.428571429,5,0.0343985659205,0.428571428571
GodCard-downtrend,TRANSITION,9,9,0,8.72357563,0.00782902462039,9,8.72357563,0,282.222222222,8,inf,1
GodCard-sideways,BEAR,12,12,0,18.07811211,0.0116866556761,12,18.07811211,0,9.58333333333,9,inf,1
GodCard-sideways,BULL,6,6,0,13.97161298,0.0183667106966,6,13.97161298,0,8.33333333333,5,inf,1
GodCard-sideways,SIDEWAYS,32,32,0,37.77446898,0.00905603830373,32,37.77446898,0,10.9375,21,inf,1
GodCard-sideways,TRANSITION,18,18,0,21.02217945,0.00922829050412,17,32.88657745,11.864398,15.5555555556,12,2.77187072197,0.944444444444
Hacklemost-sideways,BEAR,1,1,0,1.58130331,0.0126613885066,1,1.58130331,0,100,1,inf,1
Hacklemost-sideways,SIDEWAYS,8,8,0,17.2970254,0.0172483280878,8,17.2970254,0,67.5,4,inf,1
Hacklemost-sideways,TRANSITION,3,3,0,7.96725967,0.0213624735773,3,7.96725967,0,271.666666667,3,inf,1
Hammer-transition,BEAR,12,12,0,5.21552599,0.00439743026012,8,34.91393152,29.69840553,906.666666667,8,1.17561636381,0.666666666667
Hammer-transition,BULL,28,28,0,48.15568003,0.0138410944055,24,104.30758643,56.1519064,224.464285714,14,1.85759652908,0.857142857143
Hammer-transition,SIDEWAYS,22,22,0,-25.11362928,-0.00856855273439,17,35.52218549,60.63581477,1201.59090909,14,0.585828451794,0.772727272727
Hammer-transition,TRANSITION,19,19,0,21.32477285,0.00906614751065,12,46.70772803,25.38295518,323.947368421,13,1.84012175489,0.631578947368
MFI2-downtrend,BEAR,160,160,0,335.52245577,0.0162526620139,125,680.7305616,345.20810583,461,51,1.97194257639,0.78125
MFI2-downtrend,BULL,55,55,0,71.17925596,0.0122868688448,43,296.10886024,224.92960428,416.818181818,24,1.31645125677,0.781818181818
MFI2-downtrend,SIDEWAYS,32,32,0,4.72801159,0.00446925956856,25,150.25794424,145.52993265,350.9375,16,1.03248824145,0.78125
MFI2-downtrend,TRANSITION,40,40,0,60.19120202,0.0129953642276,33,146.37923976,86.18803774,398.875,29,1.69837072056,0.825
NFI46Z-downtrend,BEAR,66,66,0,19.48329639,0.00248621472469,54,64.56459267,45.08129628,98.3333333333,32,1.43218137005,0.818181818182
NFI46Z-downtrend,BULL,15,15,0,-3.97431037,-0.00218570834109,13,21.49978048,25.47409085,27,5,0.84398617429,0.866666666667
NFI46Z-downtrend,SIDEWAYS,9,9,0,-15.49131262,-0.0138001456175,5,7.87546374,23.36677636,193.888888889,7,0.337036808958,0.555555555556
NFI46Z-downtrend,TRANSITION,8,8,0,6.53945667,0.00673404176115,7,7.34758329,0.80812662,69.375,7,9.0921188687,0.875
NostalgiaForInfinityX-transition,BEAR,9,9,0,46.87348418,0.0383217413708,9,46.87348418,0,900.555555556,5,inf,1
NostalgiaForInfinityX-transition,BULL,25,25,0,76.41072404,0.0237377400683,25,76.41072404,0,123.8,6,inf,1
NostalgiaForInfinityX-transition,SIDEWAYS,11,11,0,44.44968003,0.031112221822,10,51.83167923,7.3819992,506.818181818,5,7.02136072163,0.909090909091
NostalgiaForInfinityX-transition,TRANSITION,11,11,0,-15.0039902,-0.0103277722401,9,25.15190578,40.15589598,3678.63636364,9,0.626356483056,0.818181818182
OversoldReversion-downtrend,BEAR,89,89,0,480.65754889,0.0568261119835,61,701.94227711,221.28472822,4320,50,3.1721225534,0.685393258427
OversoldReversion-downtrend,SIDEWAYS,9,9,0,20.96819214,0.0234954987332,6,48.82574684,27.8575547,4320,9,1.75269320534,0.666666666667
