candidate_id,coin_phase,episodes,positive_episodes,negative_episodes,median_episode_profit,worst_episode_profit,best_episode_profit,episode_win_rate
ADXDM-downtrend,bear_trend,72,58,14,0.701829085,-31.63964357,8.0484683,0.805555555556
ADXDM-downtrend,bull_trend,6,3,3,0.001860285,-0.0205668,0.4761567,0.5
ADXDM-downtrend,high_vol_shock,15,8,7,0.00026052,-37.12008619,53.70138465,0.533333333333
ADXDM-downtrend,range_choppy,15,10,5,0.29581916,-33.6637325,4.150692,0.666666666667
ADXDM-downtrend,range_quiet,3,3,0,0.475136,0.0380912,4.15628745,1
ADXDM-downtrend,transition,30,26,4,0.26833075,-33.7081971,10.84671187,0.866666666667
BB_RPB_TSL_RNG_2-transition,bear_trend,8,5,3,2.58778284,-1.13646684,5.560349,0.625
BB_RPB_TSL_RNG_2-transition,bull_trend,6,4,2,2.61645529,-23.52628996,11.86549163,0.666666666667
BB_RPB_TSL_RNG_2-transition,high_vol_shock,5,3,2,3.22724102,-3.39181712,6.84851469,0.6
BB_RPB_TSL_RNG_2-transition,range_choppy,9,4,5,-0.25490421,-23.5144762,3.680569,0.444444444444
BB_RPB_TSL_RNG_2-transition,range_quiet,7,5,2,3.2513172,-0.83772367,13.46583272,0.714285714286
BB_RPB_TSL_RNG_2-transition,transition,10,7,3,2.37557466,-0.69773867,6.21303712,0.7
BB_RTR-sideways,bear_trend,7,4,3,1.47542116,-0.5027022,4.19033833,0.571428571429
BB_RTR-sideways,bull_trend,6,4,2,2.475270315,-8.36763334,5.70559922,0.666666666667
BB_RTR-sideways,high_vol_shock,6,5,1,3.12031128,-9.11141072,15.7523923,0.833333333333
BB_RTR-sideways,range_choppy,12,10,2,2.96665039,-0.45145142,5.9050816,0.833333333333
BB_RTR-sideways,range_quiet,7,4,3,1.56469878,-0.53305477,18.54066259,0.571428571429
BB_RTR-sideways,transition,12,5,7,-0.29565705,-9.23658242,24.38626082,0.416666666667
BB_RTR-transition,bear_trend,13,9,4,2.38647157,-9.28829476,11.2355646,0.692307692308
BB_RTR-transition,bull_trend,10,7,3,2.61489848,-7.93571575,6.67121281,0.7
BB_RTR-transition,high_vol_shock,7,5,2,2.60980335,-35.08529993,20.03592951,0.714285714286
BB_RTR-transition,range_choppy,14,12,2,2.98254447,-0.29721842,14.37470721,0.857142857143
BB_RTR-transition,range_quiet,7,5,2,3.72895716,-0.94326069,16.04513184,0.714285714286
BB_RTR-transition,transition,16,12,4,2.778585025,-9.14156382,6.2855207,0.75
BigTrader-sideways,bear_trend,3,3,0,3.8584815,3.189363,5.13045074,1
BigTrader-sideways,high_vol_shock,1,1,0,3.66172347,3.66172347,3.66172347,1
BigTrader-sideways,range_choppy,6,6,0,5.39203703,3.30898408,7.177376,1
BigTrader-sideways,range_quiet,3,3,0,4.10676692,3.32366526,4.24889888,1
BigTrader-sideways,transition,6,6,0,3.854504375,3.29085677,7.29818613,1
BigTrader-transition,bear_trend,5,5,0,3.41397675,2.77937967,4.80603714,1
BigTrader-transition,bull_trend,2,2,0,3.50150651,2.80968043,4.19333259,1
BigTrader-transition,high_vol_shock,4,4,0,4.8815206,2.80181138,14.00463372,1
BigTrader-transition,range_choppy,6,6,0,3.20854145,2.20673079,9.4527812,1
BigTrader-transition,range_quiet,4,4,0,3.48971236,3.176796,3.553875,1
BigTrader-transition,transition,7,7,0,3.35853336,1.57388692,4.1030451,1
Cenderawasih_3_kucoin-sideways,bear_trend,2,0,2,-1.24487531,-1.4691313,-1.02061932,0
Cenderawasih_3_kucoin-sideways,bull_trend,1,0,1,-1.4831388,-1.4831388,-1.4831388,0
Cenderawasih_3_kucoin-sideways,high_vol_shock,2,0,2,-2.47734605,-2.7170757,-2.2376164,0
Cenderawasih_3_kucoin-sideways,range_choppy,6,5,1,0.911176335,-0.5060852,2.6021891,0.833333333333
Cenderawasih_3_kucoin-sideways,range_quiet,2,0,2,-1.153707875,-1.31869815,-0.9887176,0
