candidate_id,coin_regime,episodes,positive_episodes,negative_episodes,median_episode_profit,worst_episode_profit,best_episode_profit,episode_win_rate
ADXDM-downtrend,BEAR,128,98,30,0.381366765,-45.56141629,12.46031512,0.765625
BB_RPB_TSL_RNG_2-transition,TRANSITION,45,27,18,2.46425296,-25.95983908,30.14861598,0.6
BB_RTR-sideways,SIDEWAYS,65,51,14,3.31949765,-38.16306539,44.56267477,0.784615384615
BB_RTR-sideways,TRANSITION,1,0,1,-0.38535315,-0.38535315,-0.38535315,0
BB_RTR-transition,TRANSITION,59,37,22,1.7701578,-13.3915413,32.42467367,0.627118644068
BigTrader-sideways,SIDEWAYS,26,26,0,4.0823858,2.19445281,14.59605546,1
BigTrader-transition,TRANSITION,23,23,0,3.94499264,1.55122562,12.80386954,1
Cenderawasih_3_kucoin-sideways,SIDEWAYS,31,15,16,-0.4983172,-18.82982487,7.7365791,0.483870967742
CryptoFrog_nateema-transition,BULL,2,1,1,-5.2494768,-11.9849688,1.4860152,0.5
CryptoFrog_nateema-transition,TRANSITION,245,170,75,1.7261728,-45.6773797,23.64315171,0.69387755102
CustomStoplossWithPSAR-downtrend,BEAR,43,21,22,-30.73306902,-438.98970549,3298.71171451,0.488372093023
E0V1E_protections-sideways,SIDEWAYS,39,32,7,5.265396,-8.2395201,35.36626238,0.820512820513
FSampleStrategy-sideways,SIDEWAYS,189,51,138,-15.20365009,-90.74017421,231.10219225,0.269841269841
FSampleStrategy-sideways,TRANSITION,2,1,1,6.138927135,-11.46756511,23.74541938,0.5
FSampleStrategy-trend,BEAR,18,7,11,-2.45589716,-14.08932198,21.09974628,0.388888888889
FSampleStrategy-trend,BULL,170,30,140,-11.147359585,-60.12748359,312.8575401,0.176470588235
FastSupertrend_optim3_rsi_80-trend,BEAR,283,123,160,-4.59605893,-81.95316394,412.4899033,0.434628975265
FastSupertrend_optim3_rsi_80-trend,BULL,266,114,152,-4.652562395,-156.79750362,551.09258442,0.428571428571
FastSupertrend_optim3_rsi_80-trend,TRANSITION,2,2,0,13.656897005,6.40342083,20.91037318,1
FastSupertrend_optim3_rsi_80-uptrend,BEAR,14,10,4,3.80574943,-31.463584,17.00401458,0.714285714286
FastSupertrend_optim3_rsi_80-uptrend,BULL,297,160,137,2.79230775,-194.90278833,680.45801693,0.538720538721
FastSupertrend_optim3_rsi_80-uptrend,TRANSITION,7,6,1,8.21812863,-22.18704556,14.92496692,0.857142857143
GodCard-downtrend,BEAR,56,50,6,0.821889595,-11.11192584,5.76699324,0.892857142857
GodCard-sideways,SIDEWAYS,74,66,8,0.4854967,-11.4870357,8.1855872,0.891891891892
Hacklemost-sideways,SIDEWAYS,19,18,1,1.85904558,-23.54892456,11.80174047,0.947368421053
Hammer-transition,TRANSITION,51,40,11,2.4553655,-32.4770856,25.1600488,0.78431372549
MFI2-downtrend,BEAR,85,67,18,4.90625966,-48.28150962,60.3859981,0.788235294118
NFI46Z-downtrend,BEAR,55,38,17,0.63739269,-17.13301065,12.427071,0.690909090909
NostalgiaForInfinityX-transition,TRANSITION,28,24,4,2.470647115,-45.88255785,22.6444868,0.857142857143
OversoldReversion-downtrend,BEAR,37,31,6,10.4527116,-33.98180109,57.77388265,0.837837837838
SARCross-sideways,SIDEWAYS,46,40,6,2.22622998,-42.03106814,9.6845681,0.869565217391
SARCross-transition,TRANSITION,33,27,6,1.45957144,-31.83052834,20.56745057,0.818181818182
SimpleBollinger-downtrend,BEAR,38,32,6,1.586619275,-26.37009326,4.99875465,0.842105263158
Squeeze001-downtrend,BEAR,58,44,14,2.69390444,-33.6213075,17.34321514,0.758620689655
TheRealPullbackV2-sideways,SIDEWAYS,102,68,34,1.542803215,-20.78959813,17.885878,0.666666666667
adxbbrsi2-transition,BULL,1,1,0,1.6501672,1.6501672,1.6501672,1
adxbbrsi2-transition,TRANSITION,96,74,22,0.0977278,-38.57304548,8.3375235,0.770833333333
cryptotank-downtrend,BEAR,159,135,24,6.2437374,-127.8374602,55.63535706,0.849056603774
cryptotank-sideways,SIDEWAYS,107,77,30,3.8819104,-157.21700517,33.12837769,0.719626168224
cryptotank-transition,BEAR,2,2,0,5.48489884,4.79457288,6.1752248,1
cryptotank-transition,SIDEWAYS,1,1,0,10.0826927,10.0826927,10.0826927,1
cryptotank-transition,TRANSITION,166,146,20,6.3214795,-88.44360063,42.69945628,0.879518072289
eltoro1_4-transition,BEAR,3,2,1,3.37056368,-1.5625734,3.55139408,0.666666666667
eltoro1_4-transition,SIDEWAYS,2,1,1,1.03034754,-1.46349034,3.52418542,0.5
eltoro1_4-transition,TRANSITION,284,239,45,3.21638451,-72.61899991,24.85148088,0.841549295775
eltoro1_4_simple-downtrend,BEAR,225,180,45,6.4650148,-94.89294837,50.10031177,0.8
